UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2718,2023-03-19,雲林縣,古坑鄉,25-29,681
2719,2023-03-19,雲林縣,古坑鄉,70+,1117
2720,2023-03-19,雲林縣,古坑鄉,35-39,702
2721,2023-03-19,雲林縣,古坑鄉,20-24,579
2722,2023-03-18,雲林縣,古坑鄉,0,58
2723,2023-03-18,雲林縣,古坑鄉,15-19,535
2724,2023-03-17,雲林縣,古坑鄉,65-69,401
2725,2023-03-17,雲林縣,古坑鄉,55-59,497
2726,2023-03-17,雲林縣,古坑鄉,50-54,492
2727,2023-03-17,雲林縣,古坑鄉,5-9,495
2728,2023-03-16,雲林縣,古坑鄉,45-49,560
2729,2023-03-15,雲林縣,古坑鄉,10-14,485
2730,2023-03-15,雲林縣,古坑鄉,40-44,660
2731,2023-03-15,雲林縣,古坑鄉,2,82
2732,2023-03-14,雲林縣,古坑鄉,30-34,598
2733,2023-03-13,雲林縣,古坑鄉,60-64,432
2734,2023-03-11,雲林縣,古坑鄉,1,69
2735,2023-03-06,雲林縣,古坑鄉,3,86
2736,2023-02-28,雲林縣,古坑鄉,4,88
