UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1068,2023-03-19,雲林縣,台西鄉,4,5018,4.71
1396,2023-03-18,雲林縣,台西鄉,4,5014,4.86
1739,2023-03-17,雲林縣,台西鄉,5,5010,6.00
2093,2023-03-16,雲林縣,台西鄉,6,5005,5.43
2446,2023-03-15,雲林縣,台西鄉,6,4999,5.14
2794,2023-03-14,雲林縣,台西鄉,3,4993,4.71
3152,2023-03-13,雲林縣,台西鄉,5,4990,4.71
3507,2023-03-12,雲林縣,台西鄉,5,4985,4.71
3857,2023-03-11,雲林縣,台西鄉,12,4980,4.14
4208,2023-03-10,雲林縣,台西鄉,1,4968,3.71
4565,2023-03-09,雲林縣,台西鄉,4,4967,4.00
4921,2023-03-08,雲林縣,台西鄉,3,4963,4.29
5277,2023-03-07,雲林縣,台西鄉,3,4960,4.71
5640,2023-03-06,雲林縣,台西鄉,5,4957,5.71
5999,2023-03-05,雲林縣,台西鄉,1,4952,5.57
6339,2023-03-04,雲林縣,台西鄉,9,4951,6.29
6694,2023-03-03,雲林縣,台西鄉,3,4942,6.14
7053,2023-03-02,雲林縣,台西鄉,6,4939,7.14
7418,2023-03-01,雲林縣,台西鄉,6,4933,7.43
7788,2023-02-28,雲林縣,台西鄉,10,4927,7.29
8154,2023-02-27,雲林縣,台西鄉,4,4917,8.00
8506,2023-02-26,雲林縣,台西鄉,6,4913,8.57
8856,2023-02-25,雲林縣,台西鄉,8,4907,8.86
9224,2023-02-24,雲林縣,台西鄉,10,4899,9.29
9587,2023-02-23,雲林縣,台西鄉,8,4889,10.71
9958,2023-02-22,雲林縣,台西鄉,5,4881,10.43
10332,2023-02-21,雲林縣,台西鄉,15,4876,13.00
10702,2023-02-20,雲林縣,台西鄉,8,4861,12.29
11079,2023-02-19,雲林縣,台西鄉,8,4853,12.43
11440,2023-02-18,雲林縣,台西鄉,11,4845,11.86
11807,2023-02-17,雲林縣,台西鄉,20,4834,12.00
12180,2023-02-16,雲林縣,台西鄉,6,4814,11.00
12554,2023-02-15,雲林縣,台西鄉,23,4808,11.86
12927,2023-02-14,雲林縣,台西鄉,10,4785,9.14
13299,2023-02-13,雲林縣,台西鄉,9,4775,8.29
13677,2023-02-12,雲林縣,台西鄉,4,4766,7.86
14035,2023-02-11,雲林縣,台西鄉,12,4762,8.86
14406,2023-02-10,雲林縣,台西鄉,13,4750,8.14
14780,2023-02-09,雲林縣,台西鄉,12,4737,7.57
15158,2023-02-08,雲林縣,台西鄉,4,4725,7.43
15536,2023-02-07,雲林縣,台西鄉,4,4721,8.86
15916,2023-02-06,雲林縣,台西鄉,6,4717,9.71
16293,2023-02-05,雲林縣,台西鄉,11,4711,13.14
16665,2023-02-04,雲林縣,台西鄉,7,4700,14.14
17045,2023-02-03,雲林縣,台西鄉,9,4693,16.29
17430,2023-02-02,雲林縣,台西鄉,11,4684,16.86
17812,2023-02-01,雲林縣,台西鄉,14,4673,17.71
18191,2023-01-31,雲林縣,台西鄉,10,4659,16.57
18576,2023-01-30,雲林縣,台西鄉,30,4649,16.86
18962,2023-01-29,雲林縣,台西鄉,18,4619,13.14
19340,2023-01-28,雲林縣,台西鄉,22,4601,10.86
19716,2023-01-27,雲林縣,台西鄉,13,4579,8.57
20097,2023-01-26,雲林縣,台西鄉,17,4566,8.43
20470,2023-01-25,雲林縣,台西鄉,6,4549,6.29
20838,2023-01-24,雲林縣,台西鄉,12,4543,6.86
21211,2023-01-23,雲林縣,台西鄉,4,4531,5.86
21579,2023-01-22,雲林縣,台西鄉,2,4527,7.29
21945,2023-01-21,雲林縣,台西鄉,6,4525,7.43
22318,2023-01-20,雲林縣,台西鄉,12,4519,8.00
22684,2023-01-19,雲林縣,台西鄉,2,4507,7.29
23056,2023-01-18,雲林縣,台西鄉,10,4505,7.71
23425,2023-01-17,雲林縣,台西鄉,5,4495,6.71
23790,2023-01-16,雲林縣,台西鄉,14,4490,6.43
24167,2023-01-15,雲林縣,台西鄉,3,4476,5.29
24532,2023-01-14,雲林縣,台西鄉,10,4473,5.43
24898,2023-01-13,雲林縣,台西鄉,7,4463,5.00
25268,2023-01-12,雲林縣,台西鄉,5,4456,4.43
25643,2023-01-11,雲林縣,台西鄉,3,4451,5.43
26019,2023-01-10,雲林縣,台西鄉,3,4448,6.00
26392,2023-01-09,雲林縣,台西鄉,6,4445,7.57
26766,2023-01-08,雲林縣,台西鄉,4,4439,7.57
27127,2023-01-07,雲林縣,台西鄉,7,4435,7.43
27499,2023-01-06,雲林縣,台西鄉,3,4428,6.71
27876,2023-01-05,雲林縣,台西鄉,12,4425,7.86
28255,2023-01-04,雲林縣,台西鄉,7,4413,8.00
28636,2023-01-03,雲林縣,台西鄉,14,4406,8.57
29017,2023-01-02,雲林縣,台西鄉,6,4392,8.43
29390,2023-01-01,雲林縣,台西鄉,3,4386,8.43
29751,2022-12-31,雲林縣,台西鄉,2,4383,8.71
30117,2022-12-30,雲林縣,台西鄉,11,4381,8.86
30491,2022-12-29,雲林縣,台西鄉,13,4370,7.71
30863,2022-12-28,雲林縣,台西鄉,11,4357,6.29
31232,2022-12-27,雲林縣,台西鄉,13,4346,5.86
31608,2022-12-26,雲林縣,台西鄉,6,4333,4.71
31976,2022-12-25,雲林縣,台西鄉,5,4327,4.57
32334,2022-12-24,雲林縣,台西鄉,3,4322,4.86
32693,2022-12-23,雲林縣,台西鄉,3,4319,4.71
33059,2022-12-22,雲林縣,台西鄉,3,4316,4.86
33425,2022-12-21,雲林縣,台西鄉,8,4313,5.29
33793,2022-12-20,雲林縣,台西鄉,5,4305,5.14
34159,2022-12-19,雲林縣,台西鄉,5,4300,5.14
34528,2022-12-18,雲林縣,台西鄉,7,4295,4.71
34876,2022-12-17,雲林縣,台西鄉,2,4288,4.29
35238,2022-12-16,雲林縣,台西鄉,4,4286,4.57
35602,2022-12-15,雲林縣,台西鄉,6,4282,4.29
35970,2022-12-14,雲林縣,台西鄉,7,4276,3.57
36330,2022-12-13,雲林縣,台西鄉,5,4269,3.43
36709,2022-12-12,雲林縣,台西鄉,2,4264,4.00
37073,2022-12-11,雲林縣,台西鄉,4,4262,5.00
37430,2022-12-10,雲林縣,台西鄉,4,4258,5.57
37799,2022-12-09,雲林縣,台西鄉,2,4254,5.86
38164,2022-12-08,雲林縣,台西鄉,1,4252,7.43
38537,2022-12-07,雲林縣,台西鄉,6,4251,8.71
38908,2022-12-06,雲林縣,台西鄉,9,4245,8.14
39281,2022-12-05,雲林縣,台西鄉,9,4236,9.43
39659,2022-12-04,雲林縣,台西鄉,8,4227,9.71
40023,2022-12-03,雲林縣,台西鄉,6,4219,9.14
40394,2022-12-02,雲林縣,台西鄉,13,4213,9.14
40759,2022-12-01,雲林縣,台西鄉,10,4200,8.00
41132,2022-11-30,雲林縣,台西鄉,2,4190,8.29
41505,2022-11-29,雲林縣,台西鄉,18,4188,9.71
41885,2022-11-28,雲林縣,台西鄉,11,4170,8.57
42261,2022-11-27,雲林縣,台西鄉,4,4159,7.86
42619,2022-11-26,雲林縣,台西鄉,6,4155,8.29
42979,2022-11-25,雲林縣,台西鄉,5,4149,9.57
43348,2022-11-24,雲林縣,台西鄉,12,4144,11.00
43717,2022-11-23,雲林縣,台西鄉,12,4132,10.86
44091,2022-11-22,雲林縣,台西鄉,10,4120,12.86
44466,2022-11-21,雲林縣,台西鄉,6,4110,13.14
44846,2022-11-20,雲林縣,台西鄉,7,4104,16.00
45212,2022-11-19,雲林縣,台西鄉,15,4097,17.71
45584,2022-11-18,雲林縣,台西鄉,15,4082,17.71
45957,2022-11-17,雲林縣,台西鄉,11,4067,17.29
46330,2022-11-16,雲林縣,台西鄉,26,4056,19.00
46712,2022-11-15,雲林縣,台西鄉,12,4030,17.71
47090,2022-11-14,雲林縣,台西鄉,26,4018,17.86
47470,2022-11-13,雲林縣,台西鄉,19,3992,15.86
47840,2022-11-12,雲林縣,台西鄉,15,3973,14.43
48218,2022-11-11,雲林縣,台西鄉,12,3958,14.57
48596,2022-11-10,雲林縣,台西鄉,23,3946,15.14
48980,2022-11-09,雲林縣,台西鄉,17,3923,14.43
49366,2022-11-08,雲林縣,台西鄉,13,3906,14.14
49751,2022-11-07,雲林縣,台西鄉,12,3893,14.14
50131,2022-11-06,雲林縣,台西鄉,9,3881,16.86
50502,2022-11-05,雲林縣,台西鄉,16,3872,17.00
50880,2022-11-04,雲林縣,台西鄉,16,3856,16.00
51265,2022-11-03,雲林縣,台西鄉,18,3840,16.29
51644,2022-11-02,雲林縣,台西鄉,15,3822,15.71
52032,2022-11-01,雲林縣,台西鄉,13,3807,17.57
52415,2022-10-31,雲林縣,台西鄉,31,3794,16.71
52799,2022-10-30,雲林縣,台西鄉,10,3763,14.29
53176,2022-10-29,雲林縣,台西鄉,9,3753,15.57
53558,2022-10-28,雲林縣,台西鄉,18,3744,16.00
53945,2022-10-27,雲林縣,台西鄉,14,3726,17.71
54329,2022-10-26,雲林縣,台西鄉,28,3712,19.29
