UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2680,2023-03-19,雲林縣,四湖鄉,0,37
2681,2023-03-19,雲林縣,四湖鄉,50-54,203
2682,2023-03-18,雲林縣,四湖鄉,30-34,248
2683,2023-03-17,雲林縣,四湖鄉,35-39,261
2684,2023-03-17,雲林縣,四湖鄉,25-29,243
2685,2023-03-15,雲林縣,四湖鄉,20-24,294
2686,2023-03-15,雲林縣,四湖鄉,1,41
2687,2023-03-15,雲林縣,四湖鄉,60-64,210
2688,2023-03-15,雲林縣,四湖鄉,15-19,278
2689,2023-03-14,雲林縣,四湖鄉,5-9,201
2690,2023-03-13,雲林縣,四湖鄉,45-49,284
2691,2023-03-13,雲林縣,四湖鄉,4,38
2692,2023-03-11,雲林縣,四湖鄉,40-44,275
2693,2023-03-11,雲林縣,四湖鄉,55-59,235
2694,2023-03-10,雲林縣,四湖鄉,70+,570
2695,2023-03-09,雲林縣,四湖鄉,65-69,210
2696,2023-03-08,雲林縣,四湖鄉,10-14,212
2697,2023-02-19,雲林縣,四湖鄉,3,49
2698,2023-01-24,雲林縣,四湖鄉,2,43
