UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1181,2023-03-19,雲林縣,四湖鄉,2,3932,3.14
1517,2023-03-18,雲林縣,四湖鄉,1,3930,3.00
1869,2023-03-17,雲林縣,四湖鄉,3,3929,3.14
2217,2023-03-16,雲林縣,四湖鄉,1,3926,3.00
2571,2023-03-15,雲林縣,四湖鄉,5,3925,3.14
2925,2023-03-14,雲林縣,四湖鄉,4,3920,2.86
3284,2023-03-13,雲林縣,四湖鄉,6,3916,2.71
3632,2023-03-12,雲林縣,四湖鄉,1,3910,2.29
3988,2023-03-11,雲林縣,四湖鄉,2,3909,2.43
4340,2023-03-10,雲林縣,四湖鄉,2,3907,2.29
4693,2023-03-09,雲林縣,四湖鄉,2,3905,2.43
5052,2023-03-08,雲林縣,四湖鄉,3,3903,2.71
5408,2023-03-07,雲林縣,四湖鄉,3,3900,4.71
5773,2023-03-06,雲林縣,四湖鄉,3,3897,4.71
6117,2023-03-05,雲林縣,四湖鄉,2,3894,4.86
6470,2023-03-04,雲林縣,四湖鄉,1,3892,5.14
6825,2023-03-03,雲林縣,四湖鄉,3,3891,6.29
7189,2023-03-02,雲林縣,四湖鄉,4,3888,6.43
7555,2023-03-01,雲林縣,四湖鄉,17,3884,6.86
7922,2023-02-28,雲林縣,四湖鄉,3,3867,4.86
8281,2023-02-27,雲林縣,四湖鄉,4,3864,5.14
8629,2023-02-26,雲林縣,四湖鄉,4,3860,5.57
8996,2023-02-25,雲林縣,四湖鄉,9,3856,5.71
9358,2023-02-24,雲林縣,四湖鄉,4,3847,5.57
9725,2023-02-23,雲林縣,四湖鄉,7,3843,6.43
10100,2023-02-22,雲林縣,四湖鄉,3,3836,6.14
10472,2023-02-21,雲林縣,四湖鄉,5,3833,7.57
10845,2023-02-20,雲林縣,四湖鄉,7,3828,8.86
11206,2023-02-19,雲林縣,四湖鄉,5,3821,9.00
11575,2023-02-18,雲林縣,四湖鄉,8,3816,9.00
11947,2023-02-17,雲林縣,四湖鄉,10,3808,8.86
12321,2023-02-16,雲林縣,四湖鄉,5,3798,8.14
12693,2023-02-15,雲林縣,四湖鄉,13,3793,9.29
13068,2023-02-14,雲林縣,四湖鄉,14,3780,8.86
13443,2023-02-13,雲林縣,四湖鄉,8,3766,7.86
13807,2023-02-12,雲林縣,四湖鄉,5,3758,8.57
14178,2023-02-11,雲林縣,四湖鄉,7,3753,8.57
14546,2023-02-10,雲林縣,四湖鄉,5,3746,8.43
14921,2023-02-09,雲林縣,四湖鄉,13,3741,10.29
15299,2023-02-08,雲林縣,四湖鄉,10,3728,10.29
15681,2023-02-07,雲林縣,四湖鄉,7,3718,9.57
16060,2023-02-06,雲林縣,四湖鄉,13,3711,10.86
16431,2023-02-05,雲林縣,四湖鄉,5,3698,11.14
16809,2023-02-04,雲林縣,四湖鄉,6,3693,11.14
17190,2023-02-03,雲林縣,四湖鄉,18,3687,11.71
17575,2023-02-02,雲林縣,四湖鄉,13,3669,11.29
17956,2023-02-01,雲林縣,四湖鄉,5,3656,10.00
18339,2023-01-31,雲林縣,四湖鄉,16,3651,10.00
18724,2023-01-30,雲林縣,四湖鄉,15,3635,9.29
