UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
294,2023-03-27,雲林縣,土庫鎮,1,28,0.14
1472,2023-02-27,雲林縣,土庫鎮,1,27,0.29
1541,2023-02-26,雲林縣,土庫鎮,1,26,0.14
3964,2023-01-15,雲林縣,土庫鎮,1,25,0.43
4161,2023-01-11,雲林縣,土庫鎮,2,24,0.29
4729,2022-12-31,雲林縣,土庫鎮,1,22,0.14
5307,2022-12-16,雲林縣,土庫鎮,1,21,0.14
5688,2022-12-06,雲林縣,土庫鎮,1,20,0.14
6066,2022-11-26,雲林縣,土庫鎮,1,19,0.14
6699,2022-11-13,雲林縣,土庫鎮,1,18,0.29
6823,2022-11-11,雲林縣,土庫鎮,1,17,0.14
7603,2022-10-29,雲林縣,土庫鎮,1,16,0.14
8310,2022-10-19,雲林縣,土庫鎮,1,15,0.43
8528,2022-10-16,雲林縣,土庫鎮,1,14,0.29
8739,2022-10-13,雲林縣,土庫鎮,1,13,0.14
9347,2022-10-04,雲林縣,土庫鎮,1,12,0.14
9787,2022-09-27,雲林縣,土庫鎮,1,11,0.29
9840,2022-09-26,雲林縣,土庫鎮,1,10,0.14
11506,2022-08-22,雲林縣,土庫鎮,1,9,0.14
12886,2022-07-22,雲林縣,土庫鎮,1,8,0.14
15229,2022-06-23,雲林縣,土庫鎮,1,7,0.43
15343,2022-06-22,雲林縣,土庫鎮,2,6,0.43
16056,2022-06-16,雲林縣,土庫鎮,1,4,0.43
16684,2022-06-11,雲林縣,土庫鎮,2,3,0.29
17770,2022-06-02,雲林縣,土庫鎮,1,1,0.14
