UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
159,2023-04-05,雲林縣,斗六市,1,96,0.14
477,2023-03-20,雲林縣,斗六市,1,95,0.29
601,2023-03-17,雲林縣,斗六市,1,94,0.29
809,2023-03-12,雲林縣,斗六市,1,93,0.29
900,2023-03-10,雲林縣,斗六市,1,92,0.29
1148,2023-03-05,雲林縣,斗六市,1,91,0.14
1935,2023-02-19,雲林縣,斗六市,1,90,0.14
3413,2023-01-26,雲林縣,斗六市,1,89,0.43
3523,2023-01-24,雲林縣,斗六市,1,88,0.43
3578,2023-01-23,雲林縣,斗六市,1,87,0.29
3763,2023-01-19,雲林縣,斗六市,1,86,0.14
4410,2023-01-06,雲林縣,斗六市,1,85,0.43
4562,2023-01-03,雲林縣,斗六市,1,84,0.29
4625,2023-01-02,雲林縣,斗六市,1,83,0.29
4894,2022-12-27,雲林縣,斗六市,1,82,0.29
4945,2022-12-26,雲林縣,斗六市,1,81,0.14
5616,2022-12-08,雲林縣,斗六市,1,80,0.43
5686,2022-12-06,雲林縣,斗六市,1,79,0.57
5715,2022-12-05,雲林縣,斗六市,1,78,0.43
5879,2022-12-01,雲林縣,斗六市,1,77,0.43
5914,2022-11-30,雲林縣,斗六市,1,76,0.29
5992,2022-11-28,雲林縣,斗六市,1,75,0.29
6205,2022-11-23,雲林縣,斗六市,1,74,0.57
6291,2022-11-21,雲林縣,斗六市,1,73,0.43
6400,2022-11-19,雲林縣,斗六市,1,72,0.57
6497,2022-11-17,雲林縣,斗六市,1,71,0.71
6638,2022-11-14,雲林縣,斗六市,1,70,0.57
6696,2022-11-13,雲林縣,斗六市,1,69,0.43
6759,2022-11-12,雲林縣,斗六市,1,68,0.29
6818,2022-11-11,雲林縣,斗六市,1,67,0.14
7288,2022-11-03,雲林縣,斗六市,2,66,0.43
7538,2022-10-30,雲林縣,斗六市,1,64,0.29
7885,2022-10-25,雲林縣,斗六市,1,63,0.43
8166,2022-10-21,雲林縣,斗六市,1,62,0.43
8307,2022-10-19,雲林縣,斗六市,1,61,0.43
8380,2022-10-18,雲林縣,斗六市,1,60,0.29
8664,2022-10-14,雲林縣,斗六市,1,59,0.14
9193,2022-10-06,雲林縣,斗六市,1,58,0.29
9415,2022-10-03,雲林縣,斗六市,1,57,0.29
9784,2022-09-27,雲林縣,斗六市,1,56,0.14
10233,2022-09-19,雲林縣,斗六市,2,55,0.57
10401,2022-09-16,雲林縣,斗六市,1,53,0.57
10560,2022-09-13,雲林縣,斗六市,1,52,0.43
10662,2022-09-11,雲林縣,斗六市,2,51,0.29
11065,2022-09-02,雲林縣,斗六市,1,49,0.57
11099,2022-09-01,雲林縣,斗六市,1,48,0.57
11232,2022-08-29,雲林縣,斗六市,2,47,0.43
11347,2022-08-26,雲林縣,斗六市,1,45,0.43
11538,2022-08-21,雲林縣,斗六市,1,44,0.43
11574,2022-08-20,雲林縣,斗六市,1,43,0.29
11672,2022-08-17,雲林縣,斗六市,1,42,0.14
12026,2022-08-08,雲林縣,斗六市,2,41,0.71
12061,2022-08-07,雲林縣,斗六市,1,39,0.43
12143,2022-08-05,雲林縣,斗六市,1,38,0.29
12183,2022-08-04,雲林縣,斗六市,1,37,0.14
12597,2022-07-27,雲林縣,斗六市,1,36,0.14
13065,2022-07-19,雲林縣,斗六市,1,35,0.43
13394,2022-07-14,雲林縣,斗六市,1,34,0.57
13464,2022-07-13,雲林縣,斗六市,1,33,0.43
13679,2022-07-10,雲林縣,斗六市,2,32,0.57
13981,2022-07-06,雲林縣,斗六市,1,30,0.71
14169,2022-07-04,雲林縣,斗六市,1,29,0.57
14256,2022-07-03,雲林縣,斗六市,1,28,0.43
14529,2022-06-30,雲林縣,斗六市,2,27,0.71
14927,2022-06-26,雲林縣,斗六市,2,25,1.14
15115,2022-06-24,雲林縣,斗六市,1,23,1.43
15223,2022-06-23,雲林縣,斗六市,1,22,1.57
15333,2022-06-22,雲林縣,斗六市,1,21,1.43
15448,2022-06-21,雲林縣,斗六市,2,20,1.29
15564,2022-06-20,雲林縣,斗六市,1,18,1.14
15669,2022-06-19,雲林縣,斗六市,2,17,1.00
15793,2022-06-18,雲林縣,斗六市,2,15,1.00
15930,2022-06-17,雲林縣,斗六市,2,13,1.00
16307,2022-06-14,雲林縣,斗六市,1,11,1.00
16547,2022-06-12,雲林縣,斗六市,2,10,1.00
16676,2022-06-11,雲林縣,斗六市,2,8,0.71
16802,2022-06-10,雲林縣,斗六市,1,6,0.43
17043,2022-06-08,雲林縣,斗六市,1,5,0.43
17297,2022-06-06,雲林縣,斗六市,1,4,0.43
17760,2022-06-02,雲林縣,斗六市,1,3,0.43
17889,2022-06-01,雲林縣,斗六市,1,2,0.29
18365,2022-05-28,雲林縣,斗六市,1,1,0.14
