UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
739,2023-03-20,雲林縣,斗六市,14,47255,36.14
1036,2023-03-19,雲林縣,斗六市,34,47241,43.57
1364,2023-03-18,雲林縣,斗六市,50,47207,42.57
1705,2023-03-17,雲林縣,斗六市,28,47157,40.86
2059,2023-03-16,雲林縣,斗六市,48,47129,42.00
2412,2023-03-15,雲林縣,斗六市,43,47081,40.57
2761,2023-03-14,雲林縣,斗六市,36,47038,41.14
3120,2023-03-13,雲林縣,斗六市,66,47002,44.29
3475,2023-03-12,雲林縣,斗六市,27,46936,44.57
3824,2023-03-11,雲林縣,斗六市,38,46909,45.71
4174,2023-03-10,雲林縣,斗六市,36,46871,49.14
4531,2023-03-09,雲林縣,斗六市,38,46835,55.29
4888,2023-03-08,雲林縣,斗六市,47,46797,59.57
5243,2023-03-07,雲林縣,斗六市,58,46750,63.43
5605,2023-03-06,雲林縣,斗六市,68,46692,65.86
5966,2023-03-05,雲林縣,斗六市,35,46624,64.86
6305,2023-03-04,雲林縣,斗六市,62,46589,64.29
6659,2023-03-03,雲林縣,斗六市,79,46527,66.00
7019,2023-03-02,雲林縣,斗六市,68,46448,62.86
7383,2023-03-01,雲林縣,斗六市,74,46380,60.86
7755,2023-02-28,雲林縣,斗六市,75,46306,58.00
8119,2023-02-27,雲林縣,斗六市,61,46231,61.29
8475,2023-02-26,雲林縣,斗六市,31,46170,66.71
8821,2023-02-25,雲林縣,斗六市,74,46139,71.57
9191,2023-02-24,雲林縣,斗六市,57,46065,75.14
9553,2023-02-23,雲林縣,斗六市,54,46008,76.14
9923,2023-02-22,雲林縣,斗六市,54,45954,79.43
10298,2023-02-21,雲林縣,斗六市,98,45900,82.57
10668,2023-02-20,雲林縣,斗六市,99,45802,84.86
11045,2023-02-19,雲林縣,斗六市,65,45703,84.71
11405,2023-02-18,雲林縣,斗六市,99,45638,83.71
11772,2023-02-17,雲林縣,斗六市,64,45539,84.29
12145,2023-02-16,雲林縣,斗六市,77,45475,86.29
12518,2023-02-15,雲林縣,斗六市,76,45398,88.43
12892,2023-02-14,雲林縣,斗六市,114,45322,93.00
13264,2023-02-13,雲林縣,斗六市,98,45208,91.00
13643,2023-02-12,雲林縣,斗六市,58,45110,94.14
14000,2023-02-11,雲林縣,斗六市,103,45052,94.43
14372,2023-02-10,雲林縣,斗六市,78,44949,96.00
14744,2023-02-09,雲林縣,斗六市,92,44871,97.00
15122,2023-02-08,雲林縣,斗六市,108,44779,103.86
15502,2023-02-07,雲林縣,斗六市,100,44671,106.43
15881,2023-02-06,雲林縣,斗六市,120,44571,112.29
16261,2023-02-05,雲林縣,斗六市,60,44451,121.71
16631,2023-02-04,雲林縣,斗六市,114,44391,121.43
17010,2023-02-03,雲林縣,斗六市,85,44277,119.43
17396,2023-02-02,雲林縣,斗六市,140,44192,123.86
17779,2023-02-01,雲林縣,斗六市,126,44052,119.29
18156,2023-01-31,雲林縣,斗六市,141,43926,112.43
18540,2023-01-30,雲林縣,斗六市,186,43785,102.57
18928,2023-01-29,雲林縣,斗六市,58,43599,85.86
19305,2023-01-28,雲林縣,斗六市,100,43541,82.86
19683,2023-01-27,雲林縣,斗六市,116,43441,78.29
20063,2023-01-26,雲林縣,斗六市,108,43325,74.57
20436,2023-01-25,雲林縣,斗六市,78,43217,70.57
20803,2023-01-24,雲林縣,斗六市,72,43139,71.57
21177,2023-01-23,雲林縣,斗六市,69,43067,76.29
21545,2023-01-22,雲林縣,斗六市,37,42998,80.29
21909,2023-01-21,雲林縣,斗六市,68,42961,84.00
22282,2023-01-20,雲林縣,斗六市,90,42893,89.29
22649,2023-01-19,雲林縣,斗六市,80,42803,90.86
23021,2023-01-18,雲林縣,斗六市,85,42723,93.29
23390,2023-01-17,雲林縣,斗六市,105,42638,98.14
23757,2023-01-16,雲林縣,斗六市,97,42533,97.71
24132,2023-01-15,雲林縣,斗六市,63,42436,104.43
24498,2023-01-14,雲林縣,斗六市,105,42373,104.71
24865,2023-01-13,雲林縣,斗六市,101,42268,106.14
25234,2023-01-12,雲林縣,斗六市,97,42167,106.57
25609,2023-01-11,雲林縣,斗六市,119,42070,114.29
25985,2023-01-10,雲林縣,斗六市,102,41951,115.71
26358,2023-01-09,雲林縣,斗六市,144,41849,124.71
26734,2023-01-08,雲林縣,斗六市,65,41705,123.86
27094,2023-01-07,雲林縣,斗六市,115,41640,124.86
27465,2023-01-06,雲林縣,斗六市,104,41525,125.29
