UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
677,2023-03-15,雲林縣,東勢鄉,1,14,0.14
5457,2022-12-12,雲林縣,東勢鄉,1,13,0.14
5913,2022-11-30,雲林縣,東勢鄉,1,12,0.14
7413,2022-11-01,雲林縣,東勢鄉,1,11,0.14
8874,2022-10-11,雲林縣,東勢鄉,1,10,0.29
9063,2022-10-08,雲林縣,東勢鄉,1,9,0.14
10333,2022-09-17,雲林縣,東勢鄉,1,8,0.14
11749,2022-08-15,雲林縣,東勢鄉,1,7,0.14
13062,2022-07-19,雲林縣,東勢鄉,1,6,0.14
14525,2022-06-30,雲林縣,東勢鄉,1,5,0.14
15445,2022-06-21,雲林縣,東勢鄉,1,4,0.29
16172,2022-06-15,雲林縣,東勢鄉,1,3,0.14
18459,2022-05-27,雲林縣,東勢鄉,1,2,0.29
18559,2022-05-26,雲林縣,東勢鄉,1,1,0.14
