UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1011,2023-03-19,雲林縣,東勢鄉,1,3211,2.00
1341,2023-03-18,雲林縣,東勢鄉,3,3210,2.00
1680,2023-03-17,雲林縣,東勢鄉,1,3207,2.14
2033,2023-03-16,雲林縣,東勢鄉,1,3206,2.00
2385,2023-03-15,雲林縣,東勢鄉,3,3205,2.43
3093,2023-03-13,雲林縣,東勢鄉,5,3202,3.00
3451,2023-03-12,雲林縣,東勢鄉,1,3197,3.14
3798,2023-03-11,雲林縣,東勢鄉,4,3196,3.29
4506,2023-03-09,雲林縣,東勢鄉,4,3192,3.57
4864,2023-03-08,雲林縣,東勢鄉,5,3188,3.14
5218,2023-03-07,雲林縣,東勢鄉,2,3183,3.29
5578,2023-03-06,雲林縣,東勢鄉,6,3181,3.71
5942,2023-03-05,雲林縣,東勢鄉,2,3175,3.57
6280,2023-03-04,雲林縣,東勢鄉,4,3173,3.57
6634,2023-03-03,雲林縣,東勢鄉,2,3169,3.14
6993,2023-03-02,雲林縣,東勢鄉,1,3167,3.57
7357,2023-03-01,雲林縣,東勢鄉,6,3166,3.57
7728,2023-02-28,雲林縣,東勢鄉,5,3160,3.29
8091,2023-02-27,雲林縣,東勢鄉,5,3155,3.29
8450,2023-02-26,雲林縣,東勢鄉,2,3150,3.00
8794,2023-02-25,雲林縣,東勢鄉,1,3148,3.00
9164,2023-02-24,雲林縣,東勢鄉,5,3147,3.43
9525,2023-02-23,雲林縣,東勢鄉,1,3142,3.00
9896,2023-02-22,雲林縣,東勢鄉,4,3141,3.43
10270,2023-02-21,雲林縣,東勢鄉,5,3137,3.57
10640,2023-02-20,雲林縣,東勢鄉,3,3132,3.43
11019,2023-02-19,雲林縣,東勢鄉,2,3129,4.29
11378,2023-02-18,雲林縣,東勢鄉,4,3127,4.29
11744,2023-02-17,雲林縣,東勢鄉,2,3123,4.57
12117,2023-02-16,雲林縣,東勢鄉,4,3121,5.71
12492,2023-02-15,雲林縣,東勢鄉,5,3117,6.00
