UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2414,2023-03-25,雲林縣,林內鄉,20-24,310
2415,2023-03-19,雲林縣,林內鄉,1,49
2416,2023-03-19,雲林縣,林內鄉,35-39,431
2417,2023-03-18,雲林縣,林內鄉,70+,689
2418,2023-03-18,雲林縣,林內鄉,60-64,269
2419,2023-03-18,雲林縣,林內鄉,10-14,272
2420,2023-03-18,雲林縣,林內鄉,5-9,282
2421,2023-03-17,雲林縣,林內鄉,15-19,310
2422,2023-03-17,雲林縣,林內鄉,45-49,336
2423,2023-03-17,雲林縣,林內鄉,55-59,298
2424,2023-03-17,雲林縣,林內鄉,30-34,370
2425,2023-03-17,雲林縣,林內鄉,40-44,407
2426,2023-03-16,雲林縣,林內鄉,65-69,266
2427,2023-03-15,雲林縣,林內鄉,25-29,392
2428,2023-03-14,雲林縣,林內鄉,50-54,283
2429,2023-03-04,雲林縣,林內鄉,2,63
2430,2023-02-24,雲林縣,林內鄉,4,71
2431,2023-02-21,雲林縣,林內鄉,3,44
2432,2023-02-13,雲林縣,林內鄉,0,35
