UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
354,2023-03-25,雲林縣,林內鄉,1,5177,0.43
979,2023-03-19,雲林縣,林內鄉,2,5176,4.86
1308,2023-03-18,雲林縣,林內鄉,5,5174,5.43
1647,2023-03-17,雲林縣,林內鄉,8,5169,5.00
2000,2023-03-16,雲林縣,林內鄉,4,5161,4.57
2352,2023-03-15,雲林縣,林內鄉,3,5157,4.43
2703,2023-03-14,雲林縣,林內鄉,7,5154,4.43
3061,2023-03-13,雲林縣,林內鄉,5,5147,4.86
3419,2023-03-12,雲林縣,林內鄉,6,5142,4.71
3765,2023-03-11,雲林縣,林內鄉,2,5136,4.14
4117,2023-03-10,雲林縣,林內鄉,5,5134,5.29
4473,2023-03-09,雲林縣,林內鄉,3,5129,5.29
4832,2023-03-08,雲林縣,林內鄉,3,5126,5.29
5185,2023-03-07,雲林縣,林內鄉,10,5123,5.86
5545,2023-03-06,雲林縣,林內鄉,4,5113,5.29
5909,2023-03-05,雲林縣,林內鄉,2,5109,5.43
6248,2023-03-04,雲林縣,林內鄉,10,5107,5.29
6601,2023-03-03,雲林縣,林內鄉,5,5097,4.86
6960,2023-03-02,雲林縣,林內鄉,3,5092,5.00
7324,2023-03-01,雲林縣,林內鄉,7,5089,5.86
7695,2023-02-28,雲林縣,林內鄉,6,5082,6.29
8058,2023-02-27,雲林縣,林內鄉,5,5076,7.00
8417,2023-02-26,雲林縣,林內鄉,1,5071,8.86
8761,2023-02-25,雲林縣,林內鄉,7,5070,9.43
9131,2023-02-24,雲林縣,林內鄉,6,5063,9.29
9492,2023-02-23,雲林縣,林內鄉,9,5057,9.86
9863,2023-02-22,雲林縣,林內鄉,10,5048,9.57
10237,2023-02-21,雲林縣,林內鄉,11,5038,8.71
10607,2023-02-20,雲林縣,林內鄉,18,5027,8.57
10986,2023-02-19,雲林縣,林內鄉,5,5009,8.14
11345,2023-02-18,雲林縣,林內鄉,6,5004,8.29
11711,2023-02-17,雲林縣,林內鄉,10,4998,8.43
12084,2023-02-16,雲林縣,林內鄉,7,4988,9.14
12459,2023-02-15,雲林縣,林內鄉,4,4981,9.29
12832,2023-02-14,雲林縣,林內鄉,10,4977,10.00
13204,2023-02-13,雲林縣,林內鄉,15,4967,10.29
13582,2023-02-12,雲林縣,林內鄉,6,4952,11.00
13940,2023-02-11,雲林縣,林內鄉,7,4946,11.43
14312,2023-02-10,雲林縣,林內鄉,15,4939,12.71
14685,2023-02-09,雲林縣,林內鄉,8,4924,11.29
15062,2023-02-08,雲林縣,林內鄉,9,4916,12.71
15441,2023-02-07,雲林縣,林內鄉,12,4907,12.43
15820,2023-02-06,雲林縣,林內鄉,20,4895,12.00
