UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
820,2023-03-20,雲林縣,水林鄉,1,4389,3.14
1128,2023-03-19,雲林縣,水林鄉,4,4388,3.86
1462,2023-03-18,雲林縣,水林鄉,3,4384,3.57
1810,2023-03-17,雲林縣,水林鄉,2,4381,3.43
2159,2023-03-16,雲林縣,水林鄉,1,4379,3.57
2515,2023-03-15,雲林縣,水林鄉,6,4378,4.86
2865,2023-03-14,雲林縣,水林鄉,5,4372,4.86
3220,2023-03-13,雲林縣,水林鄉,6,4367,4.86
3575,2023-03-12,雲林縣,水林鄉,2,4361,4.57
3926,2023-03-11,雲林縣,水林鄉,2,4359,5.00
4277,2023-03-10,雲林縣,水林鄉,3,4357,4.86
4634,2023-03-09,雲林縣,水林鄉,10,4354,4.86
4989,2023-03-08,雲林縣,水林鄉,6,4344,4.57
5345,2023-03-07,雲林縣,水林鄉,5,4338,4.57
5710,2023-03-06,雲林縣,水林鄉,4,4333,6.14
6063,2023-03-05,雲林縣,水林鄉,5,4329,6.43
6407,2023-03-04,雲林縣,水林鄉,1,4324,6.43
6760,2023-03-03,雲林縣,水林鄉,3,4323,7.00
7123,2023-03-02,雲林縣,水林鄉,8,4320,7.71
7487,2023-03-01,雲林縣,水林鄉,6,4312,8.57
7859,2023-02-28,雲林縣,水林鄉,16,4306,8.43
8222,2023-02-27,雲林縣,水林鄉,6,4290,6.57
8570,2023-02-26,雲林縣,水林鄉,5,4284,7.00
8926,2023-02-25,雲林縣,水林鄉,5,4279,7.29
9294,2023-02-24,雲林縣,水林鄉,8,4274,7.29
9659,2023-02-23,雲林縣,水林鄉,14,4266,6.57
10030,2023-02-22,雲林縣,水林鄉,5,4252,5.86
10402,2023-02-21,雲林縣,水林鄉,3,4247,5.57
10775,2023-02-20,雲林縣,水林鄉,9,4244,5.14
11145,2023-02-19,雲林縣,水林鄉,7,4235,5.00
11509,2023-02-18,雲林縣,水林鄉,5,4228,4.43
11876,2023-02-17,雲林縣,水林鄉,3,4223,4.00
12251,2023-02-16,雲林縣,水林鄉,9,4220,5.00
12625,2023-02-15,雲林縣,水林鄉,3,4211,5.29
13371,2023-02-13,雲林縣,水林鄉,8,4208,6.29
13745,2023-02-12,雲林縣,水林鄉,3,4200,6.43
14108,2023-02-11,雲林縣,水林鄉,2,4197,7.29
14478,2023-02-10,雲林縣,水林鄉,10,4195,8.14
14850,2023-02-09,雲林縣,水林鄉,11,4185,8.00
15232,2023-02-08,雲林縣,水林鄉,7,4174,6.86
15610,2023-02-07,雲林縣,水林鄉,3,4167,7.29
15989,2023-02-06,雲林縣,水林鄉,9,4164,10.14
16365,2023-02-05,雲林縣,水林鄉,9,4155,11.43
16740,2023-02-04,雲林縣,水林鄉,8,4146,11.14
17118,2023-02-03,雲林縣,水林鄉,9,4138,11.86
17504,2023-02-02,雲林縣,水林鄉,3,4129,12.57
17885,2023-02-01,雲林縣,水林鄉,10,4126,14.00
