UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
73,2023-09-17,雲林縣,全區,90.20,85.90,0.60,73.70,21.90,0.00,0.00,0.00
74,2023-09-17,雲林縣,6個月-4歲,43.10,24.90,3.50,0.60,0.00,0.00,0.00,0.00
75,2023-09-17,雲林縣,5-11歲,87.00,69.40,0.40,20.50,1.50,0.00,0.00,0.00
76,2023-09-17,雲林縣,12-17歲,95.00,88.30,0.20,65.60,16.10,0.00,0.00,0.00
77,2023-09-17,雲林縣,18-29歲,96.60,93.70,0.30,81.70,12.60,0.00,0.00,0.00
78,2023-09-17,雲林縣,30-49歲,93.40,90.30,0.50,81.00,17.40,0.00,0.00,0.00
79,2023-09-17,雲林縣,50-64歲,90.80,88.20,0.60,80.50,26.40,0.00,0.00,0.00
80,2023-09-17,雲林縣,65-74歲,90.20,87.90,0.80,81.40,41.70,10.50,0.00,0.00
81,2023-09-17,雲林縣,75歲以上,83.50,79.50,0.80,70.00,37.40,9.70,0.00,0.00
328,2023-09-10,雲林縣,全區,90.20,85.90,0.60,73.70,21.90,0.00,0.00,0.00
329,2023-09-10,雲林縣,6個月-4歲,43.40,25.10,3.50,0.60,0.00,0.00,0.00,0.00
330,2023-09-10,雲林縣,5-11歲,87.20,69.60,0.40,20.60,1.50,0.00,0.00,0.00
331,2023-09-10,雲林縣,12-17歲,95.00,88.30,0.20,65.80,16.20,0.00,0.00,0.00
332,2023-09-10,雲林縣,18-29歲,96.70,93.80,0.30,81.80,12.60,0.00,0.00,0.00
333,2023-09-10,雲林縣,30-49歲,93.40,90.30,0.50,81.00,17.40,0.00,0.00,0.00
334,2023-09-10,雲林縣,50-64歲,90.80,88.20,0.60,80.50,26.40,0.00,0.00,0.00
335,2023-09-10,雲林縣,65-74歲,90.10,87.80,0.80,81.40,41.70,10.50,0.00,0.00
336,2023-09-10,雲林縣,75歲以上,83.50,79.40,0.80,69.90,37.40,9.70,0.00,0.00
583,2023-09-03,雲林縣,全區,90.30,86.00,0.60,73.80,21.90,0.00,0.00,0.00
584,2023-09-03,雲林縣,6個月-4歲,43.60,25.20,3.50,0.60,0.00,0.00,0.00,0.00
585,2023-09-03,雲林縣,5-11歲,87.40,69.70,0.40,20.70,1.50,0.00,0.00,0.00
586,2023-09-03,雲林縣,12-17歲,95.10,88.40,0.20,66.00,16.30,0.00,0.00,0.00
587,2023-09-03,雲林縣,18-29歲,96.80,93.80,0.30,81.90,12.60,0.00,0.00,0.00
588,2023-09-03,雲林縣,30-49歲,93.50,90.40,0.50,81.00,17.40,0.00,0.00,0.00
589,2023-09-03,雲林縣,50-64歲,90.80,88.20,0.60,80.50,26.40,0.00,0.00,0.00
590,2023-09-03,雲林縣,65-74歲,90.00,87.80,0.80,81.30,41.70,10.50,0.00,0.00
591,2023-09-03,雲林縣,75歲以上,83.40,79.40,0.80,69.80,37.30,9.70,0.00,0.00
838,2023-08-27,雲林縣,全區,90.30,86.00,0.60,73.80,21.90,0.00,0.00,0.00
839,2023-08-27,雲林縣,6個月-4歲,44.00,25.40,3.50,0.60,0.00,0.00,0.00,0.00
840,2023-08-27,雲林縣,5-11歲,87.40,69.90,0.40,20.70,1.50,0.00,0.00,0.00
841,2023-08-27,雲林縣,12-17歲,95.30,88.60,0.20,66.30,16.40,0.00,0.00,0.00
842,2023-08-27,雲林縣,18-29歲,96.80,93.80,0.30,81.90,12.60,0.00,0.00,0.00
843,2023-08-27,雲林縣,30-49歲,93.50,90.40,0.50,81.00,17.40,0.00,0.00,0.00
844,2023-08-27,雲林縣,50-64歲,90.90,88.20,0.60,80.50,26.40,0.00,0.00,0.00
845,2023-08-27,雲林縣,65-74歲,89.90,87.70,0.80,81.20,41.70,10.50,0.00,0.00
846,2023-08-27,雲林縣,75歲以上,83.40,79.30,0.80,69.70,37.30,9.70,0.00,0.00
1093,2023-08-20,雲林縣,全區,90.30,86.00,0.60,73.80,21.90,0.00,0.00,0.00
1094,2023-08-20,雲林縣,6個月-4歲,44.20,25.40,3.60,0.60,0.00,0.00,0.00,0.00
1095,2023-08-20,雲林縣,5-11歲,87.60,70.10,0.40,20.80,1.50,0.00,0.00,0.00
1096,2023-08-20,雲林縣,12-17歲,95.50,88.90,0.20,66.60,16.50,0.00,0.00,0.00
1097,2023-08-20,雲林縣,18-29歲,96.70,93.70,0.30,81.80,12.50,0.00,0.00,0.00
1098,2023-08-20,雲林縣,30-49歲,93.50,90.40,0.50,81.00,17.40,0.00,0.00,0.00
1099,2023-08-20,雲林縣,50-64歲,90.90,88.30,0.60,80.60,26.50,0.00,0.00,0.00
