UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
849,2023-03-20,雲林縣,莿桐鄉,4,8895,7.71
1173,2023-03-19,雲林縣,莿桐鄉,6,8891,8.86
1506,2023-03-18,雲林縣,莿桐鄉,13,8885,8.29
1860,2023-03-17,雲林縣,莿桐鄉,5,8872,7.14
2207,2023-03-16,雲林縣,莿桐鄉,8,8867,7.29
2559,2023-03-15,雲林縣,莿桐鄉,10,8859,7.71
2916,2023-03-14,雲林縣,莿桐鄉,8,8849,7.43
3274,2023-03-13,雲林縣,莿桐鄉,12,8841,7.57
3621,2023-03-12,雲林縣,莿桐鄉,2,8829,6.86
3977,2023-03-11,雲林縣,莿桐鄉,5,8827,7.14
4331,2023-03-10,雲林縣,莿桐鄉,6,8822,7.14
4682,2023-03-09,雲林縣,莿桐鄉,11,8816,7.14
5041,2023-03-08,雲林縣,莿桐鄉,8,8805,7.43
5396,2023-03-07,雲林縣,莿桐鄉,9,8797,8.14
5763,2023-03-06,雲林縣,莿桐鄉,7,8788,8.29
6107,2023-03-05,雲林縣,莿桐鄉,4,8781,8.71
6458,2023-03-04,雲林縣,莿桐鄉,5,8777,8.71
6812,2023-03-03,雲林縣,莿桐鄉,6,8772,9.00
7177,2023-03-02,雲林縣,莿桐鄉,13,8766,9.29
7542,2023-03-01,雲林縣,莿桐鄉,13,8753,9.00
7911,2023-02-28,雲林縣,莿桐鄉,10,8740,8.43
8271,2023-02-27,雲林縣,莿桐鄉,10,8730,8.29
8619,2023-02-26,雲林縣,莿桐鄉,4,8720,9.86
8983,2023-02-25,雲林縣,莿桐鄉,7,8716,10.14
9346,2023-02-24,雲林縣,莿桐鄉,8,8709,11.14
9713,2023-02-23,雲林縣,莿桐鄉,11,8701,11.86
10088,2023-02-22,雲林縣,莿桐鄉,9,8690,12.14
10459,2023-02-21,雲林縣,莿桐鄉,9,8681,12.86
10832,2023-02-20,雲林縣,莿桐鄉,21,8672,14.71
11194,2023-02-19,雲林縣,莿桐鄉,6,8651,14.14
11562,2023-02-18,雲林縣,莿桐鄉,14,8645,14.71
11934,2023-02-17,雲林縣,莿桐鄉,13,8631,14.71
12308,2023-02-16,雲林縣,莿桐鄉,13,8618,16.00
12680,2023-02-15,雲林縣,莿桐鄉,14,8605,16.71
13056,2023-02-14,雲林縣,莿桐鄉,22,8591,16.71
13431,2023-02-13,雲林縣,莿桐鄉,17,8569,15.14
13797,2023-02-12,雲林縣,莿桐鄉,10,8552,14.86
14166,2023-02-11,雲林縣,莿桐鄉,14,8542,14.14
14533,2023-02-10,雲林縣,莿桐鄉,22,8528,15.57
14908,2023-02-09,雲林縣,莿桐鄉,18,8506,15.14
15287,2023-02-08,雲林縣,莿桐鄉,14,8488,15.14
15668,2023-02-07,雲林縣,莿桐鄉,11,8474,15.86
16047,2023-02-06,雲林縣,莿桐鄉,15,8463,18.86
16420,2023-02-05,雲林縣,莿桐鄉,5,8448,22.00
16797,2023-02-04,雲林縣,莿桐鄉,24,8443,24.14
17177,2023-02-03,雲林縣,莿桐鄉,19,8419,24.29
17563,2023-02-02,雲林縣,莿桐鄉,18,8400,24.86
17943,2023-02-01,雲林縣,莿桐鄉,19,8382,25.00
18326,2023-01-31,雲林縣,莿桐鄉,32,8363,24.43
18711,2023-01-30,雲林縣,莿桐鄉,37,8331,21.43
19095,2023-01-29,雲林縣,莿桐鄉,20,8294,18.29
19473,2023-01-28,雲林縣,莿桐鄉,25,8274,18.00
19849,2023-01-27,雲林縣,莿桐鄉,23,8249,16.86
20226,2023-01-26,雲林縣,莿桐鄉,19,8226,16.00
20598,2023-01-25,雲林縣,莿桐鄉,15,8207,15.00
20967,2023-01-24,雲林縣,莿桐鄉,11,8192,14.57
21335,2023-01-23,雲林縣,莿桐鄉,15,8181,14.57
21704,2023-01-22,雲林縣,莿桐鄉,18,8166,14.00
22074,2023-01-21,雲林縣,莿桐鄉,17,8148,12.43
22441,2023-01-20,雲林縣,莿桐鄉,17,8131,12.00
22809,2023-01-19,雲林縣,莿桐鄉,12,8114,11.00
23181,2023-01-18,雲林縣,莿桐鄉,12,8102,11.14
23547,2023-01-17,雲林縣,莿桐鄉,11,8090,10.86
23920,2023-01-16,雲林縣,莿桐鄉,11,8079,11.00
24292,2023-01-15,雲林縣,莿桐鄉,7,8068,12.29
24658,2023-01-14,雲林縣,莿桐鄉,14,8061,13.00
25026,2023-01-13,雲林縣,莿桐鄉,10,8047,12.86
25400,2023-01-12,雲林縣,莿桐鄉,13,8037,13.71
25773,2023-01-11,雲林縣,莿桐鄉,10,8024,13.29
26147,2023-01-10,雲林縣,莿桐鄉,12,8014,15.86
26524,2023-01-09,雲林縣,莿桐鄉,20,8002,16.14
26890,2023-01-08,雲林縣,莿桐鄉,12,7982,17.00
27255,2023-01-07,雲林縣,莿桐鄉,13,7970,16.57
27627,2023-01-06,雲林縣,莿桐鄉,16,7957,16.29
28008,2023-01-05,雲林縣,莿桐鄉,10,7941,16.29
28388,2023-01-04,雲林縣,莿桐鄉,28,7931,17.43
28769,2023-01-03,雲林縣,莿桐鄉,14,7903,16.86
29144,2023-01-02,雲林縣,莿桐鄉,26,7889,17.00
29510,2023-01-01,雲林縣,莿桐鄉,9,7863,16.14
29877,2022-12-31,雲林縣,莿桐鄉,11,7854,15.71
30244,2022-12-30,雲林縣,莿桐鄉,16,7843,16.14
30616,2022-12-29,雲林縣,莿桐鄉,18,7827,14.86
30988,2022-12-28,雲林縣,莿桐鄉,24,7809,15.14
31363,2022-12-27,雲林縣,莿桐鄉,15,7785,13.00
31737,2022-12-26,雲林縣,莿桐鄉,20,7770,12.86
32095,2022-12-25,雲林縣,莿桐鄉,6,7750,12.29
32455,2022-12-24,雲林縣,莿桐鄉,14,7744,12.57
32815,2022-12-23,雲林縣,莿桐鄉,7,7730,11.86
33182,2022-12-22,雲林縣,莿桐鄉,20,7723,12.43
33553,2022-12-21,雲林縣,莿桐鄉,9,7703,11.00
33918,2022-12-20,雲林縣,莿桐鄉,14,7694,10.86
34285,2022-12-19,雲林縣,莿桐鄉,16,7680,10.86
34639,2022-12-18,雲林縣,莿桐鄉,8,7664,10.29
35000,2022-12-17,雲林縣,莿桐鄉,9,7656,11.29
35363,2022-12-16,雲林縣,莿桐鄉,11,7647,11.43
35729,2022-12-15,雲林縣,莿桐鄉,10,7636,11.29
36089,2022-12-14,雲林縣,莿桐鄉,8,7626,11.71
36460,2022-12-13,雲林縣,莿桐鄉,14,7618,12.00
36837,2022-12-12,雲林縣,莿桐鄉,12,7604,11.57
37189,2022-12-11,雲林縣,莿桐鄉,15,7592,12.14
37556,2022-12-10,雲林縣,莿桐鄉,10,7577,10.71
37922,2022-12-09,雲林縣,莿桐鄉,10,7567,11.43
