UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1519,2023-02-26,雲林縣,虎尾鎮,1,37,0.14
2480,2023-02-10,雲林縣,虎尾鎮,1,36,0.29
2546,2023-02-09,雲林縣,虎尾鎮,1,35,0.14
3131,2023-01-31,雲林縣,虎尾鎮,1,34,0.14
4098,2023-01-12,雲林縣,虎尾鎮,1,33,0.29
4293,2023-01-08,雲林縣,虎尾鎮,1,32,0.14
5780,2022-12-03,雲林縣,虎尾鎮,1,31,0.14
6385,2022-11-19,雲林縣,虎尾鎮,1,30,0.43
6478,2022-11-17,雲林縣,虎尾鎮,1,29,0.71
6679,2022-11-13,雲林縣,虎尾鎮,1,28,0.71
6738,2022-11-12,雲林縣,虎尾鎮,1,27,0.57
6797,2022-11-11,雲林縣,虎尾鎮,2,26,0.43
6860,2022-11-10,雲林縣,虎尾鎮,1,24,0.14
8144,2022-10-21,雲林縣,虎尾鎮,1,23,0.14
11176,2022-08-30,雲林縣,虎尾鎮,1,22,0.14
11563,2022-08-20,雲林縣,虎尾鎮,1,21,0.29
11778,2022-08-14,雲林縣,虎尾鎮,1,20,0.14
13160,2022-07-17,雲林縣,虎尾鎮,1,19,0.43
13232,2022-07-16,雲林縣,虎尾鎮,1,18,0.29
13513,2022-07-12,雲林縣,虎尾鎮,1,17,0.29
13948,2022-07-06,雲林縣,虎尾鎮,1,16,0.14
14688,2022-06-28,雲林縣,虎尾鎮,1,15,0.29
14987,2022-06-25,雲林縣,虎尾鎮,1,14,0.29
15622,2022-06-19,雲林縣,虎尾鎮,1,13,0.43
16007,2022-06-16,雲林縣,虎尾鎮,1,12,0.57
16129,2022-06-15,雲林縣,虎尾鎮,1,11,0.57
16630,2022-06-11,雲林縣,虎尾鎮,1,10,0.43
16761,2022-06-10,雲林縣,虎尾鎮,1,9,0.29
16869,2022-06-09,雲林縣,虎尾鎮,1,8,0.29
17611,2022-06-03,雲林縣,虎尾鎮,1,7,0.57
17728,2022-06-02,雲林縣,虎尾鎮,2,6,0.43
17974,2022-05-31,雲林縣,虎尾鎮,1,4,0.29
18630,2022-05-25,雲林縣,虎尾鎮,1,3,0.29
18716,2022-05-24,雲林縣,虎尾鎮,1,2,0.14
19629,2022-05-10,雲林縣,虎尾鎮,1,1,0.14
