UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
764,2023-03-20,雲林縣,虎尾鎮,12,30435,25.71
1065,2023-03-19,雲林縣,虎尾鎮,32,30423,27.29
1393,2023-03-18,雲林縣,虎尾鎮,28,30391,26.57
1736,2023-03-17,雲林縣,虎尾鎮,25,30363,26.86
2090,2023-03-16,雲林縣,虎尾鎮,20,30338,25.57
2443,2023-03-15,雲林縣,虎尾鎮,30,30318,26.29
2791,2023-03-14,雲林縣,虎尾鎮,33,30288,26.14
3149,2023-03-13,雲林縣,虎尾鎮,23,30255,25.57
3504,2023-03-12,雲林縣,虎尾鎮,27,30232,26.00
3854,2023-03-11,雲林縣,虎尾鎮,30,30205,25.00
4205,2023-03-10,雲林縣,虎尾鎮,16,30175,25.14
4562,2023-03-09,雲林縣,虎尾鎮,25,30159,26.43
4918,2023-03-08,雲林縣,虎尾鎮,29,30134,27.86
5274,2023-03-07,雲林縣,虎尾鎮,29,30105,29.00
5637,2023-03-06,雲林縣,虎尾鎮,26,30076,30.00
5996,2023-03-05,雲林縣,虎尾鎮,20,30050,29.71
6336,2023-03-04,雲林縣,虎尾鎮,31,30030,28.86
6691,2023-03-03,雲林縣,虎尾鎮,25,29999,29.43
7050,2023-03-02,雲林縣,虎尾鎮,35,29974,32.43
7415,2023-03-01,雲林縣,虎尾鎮,37,29939,31.57
7785,2023-02-28,雲林縣,虎尾鎮,36,29902,32.71
8151,2023-02-27,雲林縣,虎尾鎮,24,29866,33.00
8503,2023-02-26,雲林縣,虎尾鎮,14,29842,36.57
8853,2023-02-25,雲林縣,虎尾鎮,35,29828,39.71
9221,2023-02-24,雲林縣,虎尾鎮,46,29793,41.29
9584,2023-02-23,雲林縣,虎尾鎮,29,29747,40.71
9955,2023-02-22,雲林縣,虎尾鎮,45,29718,42.71
10329,2023-02-21,雲林縣,虎尾鎮,38,29673,43.57
10699,2023-02-20,雲林縣,虎尾鎮,49,29635,42.57
11076,2023-02-19,雲林縣,虎尾鎮,36,29586,44.57
11437,2023-02-18,雲林縣,虎尾鎮,46,29550,45.14
11804,2023-02-17,雲林縣,虎尾鎮,42,29504,44.43
12177,2023-02-16,雲林縣,虎尾鎮,43,29462,44.57
12551,2023-02-15,雲林縣,虎尾鎮,51,29419,43.86
12924,2023-02-14,雲林縣,虎尾鎮,31,29368,45.29
