UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
5885,2022-12-01,雲林縣,褒忠鄉,1,14,0.14
6701,2022-11-13,雲林縣,褒忠鄉,1,13,0.14
7672,2022-10-28,雲林縣,褒忠鄉,1,12,0.14
8171,2022-10-21,雲林縣,褒忠鄉,1,11,0.14
9841,2022-09-26,雲林縣,褒忠鄉,1,10,0.14
11542,2022-08-21,雲林縣,褒忠鄉,1,9,0.14
11826,2022-08-13,雲林縣,褒忠鄉,1,8,0.14
13001,2022-07-20,雲林縣,褒忠鄉,1,7,0.14
13469,2022-07-13,雲林縣,褒忠鄉,1,6,0.29
13546,2022-07-12,雲林縣,褒忠鄉,1,5,0.29
13990,2022-07-06,雲林縣,褒忠鄉,1,4,0.14
14933,2022-06-26,雲林縣,褒忠鄉,1,3,0.14
16556,2022-06-12,雲林縣,褒忠鄉,1,2,0.29
17050,2022-06-08,雲林縣,褒忠鄉,1,1,0.14
