UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
733,2023-03-20,雲林縣,麥寮鄉,2,11419,8.43
1028,2023-03-19,雲林縣,麥寮鄉,9,11417,9.43
1358,2023-03-18,雲林縣,麥寮鄉,10,11408,8.57
1697,2023-03-17,雲林縣,麥寮鄉,11,11398,8.14
2051,2023-03-16,雲林縣,麥寮鄉,9,11387,8.00
2404,2023-03-15,雲林縣,麥寮鄉,9,11378,7.57
2753,2023-03-14,雲林縣,麥寮鄉,9,11369,8.71
3111,2023-03-13,雲林縣,麥寮鄉,9,11360,9.71
3468,2023-03-12,雲林縣,麥寮鄉,3,11351,9.00
3817,2023-03-11,雲林縣,麥寮鄉,7,11348,9.71
4168,2023-03-10,雲林縣,麥寮鄉,10,11341,11.14
4523,2023-03-09,雲林縣,麥寮鄉,6,11331,11.00
4882,2023-03-08,雲林縣,麥寮鄉,17,11325,11.14
5236,2023-03-07,雲林縣,麥寮鄉,16,11308,11.29
5597,2023-03-06,雲林縣,麥寮鄉,4,11292,11.00
5958,2023-03-05,雲林縣,麥寮鄉,8,11288,12.14
6297,2023-03-04,雲林縣,麥寮鄉,17,11280,11.57
6651,2023-03-03,雲林縣,麥寮鄉,9,11263,10.29
7011,2023-03-02,雲林縣,麥寮鄉,7,11254,10.43
7374,2023-03-01,雲林縣,麥寮鄉,18,11247,12.00
7746,2023-02-28,雲林縣,麥寮鄉,14,11229,11.86
8110,2023-02-27,雲林縣,麥寮鄉,12,11215,12.00
8467,2023-02-26,雲林縣,麥寮鄉,4,11203,14.43
8812,2023-02-25,雲林縣,麥寮鄉,8,11199,14.86
9183,2023-02-24,雲林縣,麥寮鄉,10,11191,16.29
9544,2023-02-23,雲林縣,麥寮鄉,18,11181,16.71
9914,2023-02-22,雲林縣,麥寮鄉,17,11163,16.86
10289,2023-02-21,雲林縣,麥寮鄉,15,11146,20.71
10659,2023-02-20,雲林縣,麥寮鄉,29,11131,23.86
11036,2023-02-19,雲林縣,麥寮鄉,7,11102,23.57
11397,2023-02-18,雲林縣,麥寮鄉,18,11095,23.14
11763,2023-02-17,雲林縣,麥寮鄉,13,11077,22.29
12136,2023-02-16,雲林縣,麥寮鄉,19,11064,24.43
12510,2023-02-15,雲林縣,麥寮鄉,44,11045,23.14
12884,2023-02-14,雲林縣,麥寮鄉,37,11001,20.00
13256,2023-02-13,雲林縣,麥寮鄉,27,10964,20.71
13634,2023-02-12,雲林縣,麥寮鄉,4,10937,22.43
13991,2023-02-11,雲林縣,麥寮鄉,12,10933,23.86
14364,2023-02-10,雲林縣,麥寮鄉,28,10921,25.57
14737,2023-02-09,雲林縣,麥寮鄉,10,10893,25.86
15114,2023-02-08,雲林縣,麥寮鄉,22,10883,27.86
15493,2023-02-07,雲林縣,麥寮鄉,42,10861,33.00
15872,2023-02-06,雲林縣,麥寮鄉,39,10819,30.57
16252,2023-02-05,雲林縣,麥寮鄉,14,10780,32.14
16622,2023-02-04,雲林縣,麥寮鄉,24,10766,33.29
17001,2023-02-03,雲林縣,麥寮鄉,30,10742,34.14
17387,2023-02-02,雲林縣,麥寮鄉,24,10712,34.86
17770,2023-02-01,雲林縣,麥寮鄉,58,10688,33.29
18147,2023-01-31,雲林縣,麥寮鄉,25,10630,28.86
18532,2023-01-30,雲林縣,麥寮鄉,50,10605,26.43
18919,2023-01-29,雲林縣,麥寮鄉,22,10555,21.29
19297,2023-01-28,雲林縣,麥寮鄉,30,10533,19.71
19675,2023-01-27,雲林縣,麥寮鄉,35,10503,17.29
20054,2023-01-26,雲林縣,麥寮鄉,13,10468,15.00
20430,2023-01-25,雲林縣,麥寮鄉,27,10455,15.00
20796,2023-01-24,雲林縣,麥寮鄉,8,10428,12.86
21168,2023-01-23,雲林縣,麥寮鄉,14,10420,14.71
21537,2023-01-22,雲林縣,麥寮鄉,11,10406,17.43
21901,2023-01-21,雲林縣,麥寮鄉,13,10395,16.71
22274,2023-01-20,雲林縣,麥寮鄉,19,10382,17.57
22640,2023-01-19,雲林縣,麥寮鄉,13,10363,17.43
23012,2023-01-18,雲林縣,麥寮鄉,12,10350,17.43
23382,2023-01-17,雲林縣,麥寮鄉,21,10338,18.57
23748,2023-01-16,雲林縣,麥寮鄉,33,10317,16.57
24124,2023-01-15,雲林縣,麥寮鄉,6,10284,13.86
24489,2023-01-14,雲林縣,麥寮鄉,19,10278,15.00
24858,2023-01-13,雲林縣,麥寮鄉,18,10259,15.71
25227,2023-01-12,雲林縣,麥寮鄉,13,10241,15.57
25601,2023-01-11,雲林縣,麥寮鄉,20,10228,16.00
25976,2023-01-10,雲林縣,麥寮鄉,7,10208,18.29
26349,2023-01-09,雲林縣,麥寮鄉,14,10201,20.14
26726,2023-01-08,雲林縣,麥寮鄉,14,10187,20.57
27085,2023-01-07,雲林縣,麥寮鄉,24,10173,19.86
27456,2023-01-06,雲林縣,麥寮鄉,17,10149,18.71
27833,2023-01-05,雲林縣,麥寮鄉,16,10132,18.00
28212,2023-01-04,雲林縣,麥寮鄉,36,10116,17.29
28593,2023-01-03,雲林縣,麥寮鄉,20,10080,14.14
28974,2023-01-02,雲林縣,麥寮鄉,17,10060,14.43
29346,2023-01-01,雲林縣,麥寮鄉,9,10043,14.57
29708,2022-12-31,雲林縣,麥寮鄉,16,10034,14.00
30073,2022-12-30,雲林縣,麥寮鄉,12,10018,12.86
30447,2022-12-29,雲林縣,麥寮鄉,11,10006,13.57
30819,2022-12-28,雲林縣,麥寮鄉,14,9995,15.29
31189,2022-12-27,雲林縣,麥寮鄉,22,9981,17.29
31566,2022-12-26,雲林縣,麥寮鄉,18,9959,16.86
31936,2022-12-25,雲林縣,麥寮鄉,5,9941,18.14
32292,2022-12-24,雲林縣,麥寮鄉,8,9936,19.00
32651,2022-12-23,雲林縣,麥寮鄉,17,9928,19.00
33016,2022-12-22,雲林縣,麥寮鄉,23,9911,19.71
33382,2022-12-21,雲林縣,麥寮鄉,28,9888,18.00
33753,2022-12-20,雲林縣,麥寮鄉,19,9860,16.86
34117,2022-12-19,雲林縣,麥寮鄉,27,9841,15.57
34486,2022-12-18,雲林縣,麥寮鄉,11,9814,13.57
34835,2022-12-17,雲林縣,麥寮鄉,8,9803,13.43
35196,2022-12-16,雲林縣,麥寮鄉,22,9795,14.43
35560,2022-12-15,雲林縣,麥寮鄉,11,9773,12.71
35930,2022-12-14,雲林縣,麥寮鄉,20,9762,14.43
36288,2022-12-13,雲林縣,麥寮鄉,10,9742,13.14
36665,2022-12-12,雲林縣,麥寮鄉,13,9732,15.71
37033,2022-12-11,雲林縣,麥寮鄉,10,9719,15.86
37387,2022-12-10,雲林縣,麥寮鄉,15,9709,15.57
37756,2022-12-09,雲林縣,麥寮鄉,10,9694,15.14
38121,2022-12-08,雲林縣,麥寮鄉,23,9684,16.29
38494,2022-12-07,雲林縣,麥寮鄉,11,9661,15.29
38866,2022-12-06,雲林縣,麥寮鄉,28,9650,16.14
39238,2022-12-05,雲林縣,麥寮鄉,14,9622,14.00
39615,2022-12-04,雲林縣,麥寮鄉,8,9608,17.29
39980,2022-12-03,雲林縣,麥寮鄉,12,9600,18.71
40351,2022-12-02,雲林縣,麥寮鄉,18,9588,18.71
40718,2022-12-01,雲林縣,麥寮鄉,16,9570,19.00
41089,2022-11-30,雲林縣,麥寮鄉,17,9554,19.00
41461,2022-11-29,雲林縣,麥寮鄉,13,9537,18.57
41841,2022-11-28,雲林縣,麥寮鄉,37,9524,19.71
42218,2022-11-27,雲林縣,麥寮鄉,18,9487,16.00
42578,2022-11-26,雲林縣,麥寮鄉,12,9469,15.14
42935,2022-11-25,雲林縣,麥寮鄉,20,9457,16.14
43306,2022-11-24,雲林縣,麥寮鄉,16,9437,16.86
43676,2022-11-23,雲林縣,麥寮鄉,14,9421,17.43
44047,2022-11-22,雲林縣,麥寮鄉,21,9407,19.29
44422,2022-11-21,雲林縣,麥寮鄉,11,9386,18.00
44802,2022-11-20,雲林縣,麥寮鄉,12,9375,22.71
45167,2022-11-19,雲林縣,麥寮鄉,19,9363,24.00
45542,2022-11-18,雲林縣,麥寮鄉,25,9344,22.57
45913,2022-11-17,雲林縣,麥寮鄉,20,9319,21.57
46286,2022-11-16,雲林縣,麥寮鄉,27,9299,21.29
46667,2022-11-15,雲林縣,麥寮鄉,12,9272,22.14
47046,2022-11-14,雲林縣,麥寮鄉,44,9260,25.29
47427,2022-11-13,雲林縣,麥寮鄉,21,9216,24.00
47799,2022-11-12,雲林縣,麥寮鄉,9,9195,25.00
48174,2022-11-11,雲林縣,麥寮鄉,18,9186,26.86
48554,2022-11-10,雲林縣,麥寮鄉,18,9168,29.57
48936,2022-11-09,雲林縣,麥寮鄉,33,9150,30.14
49321,2022-11-08,雲林縣,麥寮鄉,34,9117,30.86
49706,2022-11-07,雲林縣,麥寮鄉,35,9083,30.29
50090,2022-11-06,雲林縣,麥寮鄉,28,9048,35.29
50459,2022-11-05,雲林縣,麥寮鄉,22,9020,36.29
50835,2022-11-04,雲林縣,麥寮鄉,37,8998,38.29
51221,2022-11-03,雲林縣,麥寮鄉,22,8961,45.14
51601,2022-11-02,雲林縣,麥寮鄉,38,8939,48.14
51987,2022-11-01,雲林縣,麥寮鄉,30,8901,52.57
52372,2022-10-31,雲林縣,麥寮鄉,70,8871,53.57
52755,2022-10-30,雲林縣,麥寮鄉,35,8801,52.86
53133,2022-10-29,雲林縣,麥寮鄉,36,8766,55.00
53513,2022-10-28,雲林縣,麥寮鄉,85,8730,53.86
53900,2022-10-27,雲林縣,麥寮鄉,43,8645,47.29
54286,2022-10-26,雲林縣,麥寮鄉,69,8602,48.29
54671,2022-10-25,雲林縣,麥寮鄉,37,8533,43.86
55060,2022-10-24,雲林縣,麥寮鄉,65,8496,44.43
55449,2022-10-23,雲林縣,麥寮鄉,50,8431,45.00
55827,2022-10-22,雲林縣,麥寮鄉,28,8381,42.57
56212,2022-10-21,雲林縣,麥寮鄉,39,8353,44.71
56602,2022-10-20,雲林縣,麥寮鄉,50,8314,48.71
56987,2022-10-19,雲林縣,麥寮鄉,38,8264,47.14
57374,2022-10-18,雲林縣,麥寮鄉,41,8226,55.00
57764,2022-10-17,雲林縣,麥寮鄉,69,8185,58.57
58154,2022-10-16,雲林縣,麥寮鄉,33,8116,56.00
58538,2022-10-15,雲林縣,麥寮鄉,43,8083,59.29
58923,2022-10-14,雲林縣,麥寮鄉,67,8040,58.43
59313,2022-10-13,雲林縣,麥寮鄉,39,7973,56.14
59704,2022-10-12,雲林縣,麥寮鄉,93,7934,55.29
60093,2022-10-11,雲林縣,麥寮鄉,66,7841,50.14
60485,2022-10-10,雲林縣,麥寮鄉,51,7775,47.86
60869,2022-10-09,雲林縣,麥寮鄉,56,7724,46.14
61256,2022-10-08,雲林縣,麥寮鄉,37,7668,44.57
61645,2022-10-07,雲林縣,麥寮鄉,51,7631,46.14
62032,2022-10-06,雲林縣,麥寮鄉,33,7580,47.14
62423,2022-10-05,雲林縣,麥寮鄉,57,7547,49.57
62810,2022-10-04,雲林縣,麥寮鄉,50,7490,50.00
63198,2022-10-03,雲林縣,麥寮鄉,39,7440,48.00
63589,2022-10-02,雲林縣,麥寮鄉,45,7401,50.86
63971,2022-10-01,雲林縣,麥寮鄉,48,7356,49.14
64357,2022-09-30,雲林縣,麥寮鄉,58,7308,47.57
64741,2022-09-29,雲林縣,麥寮鄉,50,7250,47.86
65129,2022-09-28,雲林縣,麥寮鄉,60,7200,46.29
65517,2022-09-27,雲林縣,麥寮鄉,36,7140,46.71
65904,2022-09-26,雲林縣,麥寮鄉,59,7104,46.14
66293,2022-09-25,雲林縣,麥寮鄉,33,7045,46.00
66676,2022-09-24,雲林縣,麥寮鄉,37,7012,47.29
67059,2022-09-23,雲林縣,麥寮鄉,60,6975,46.71
67448,2022-09-22,雲林縣,麥寮鄉,39,6915,45.43
67835,2022-09-21,雲林縣,麥寮鄉,63,6876,44.00
68224,2022-09-20,雲林縣,麥寮鄉,32,6813,46.71
