UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
665,2023-06-15,高雄市,三民區,50-54,9348
666,2023-06-14,高雄市,三民區,65-69,7422
667,2023-06-14,高雄市,三民區,25-29,12415
668,2023-06-14,高雄市,三民區,30-34,11466
669,2023-06-14,高雄市,三民區,4,1191
670,2023-06-14,高雄市,三民區,5-9,7394
671,2023-06-14,高雄市,三民區,60-64,8207
672,2023-06-14,高雄市,三民區,2,1091
673,2023-06-14,高雄市,三民區,70+,11643
674,2023-06-14,高雄市,三民區,15-19,7666
675,2023-03-21,高雄市,三民區,45-49,10807
676,2023-03-20,高雄市,三民區,40-44,13031
677,2023-03-20,高雄市,三民區,35-39,11730
678,2023-03-20,高雄市,三民區,20-24,11483
679,2023-03-20,高雄市,三民區,10-14,6613
680,2023-03-20,高雄市,三民區,1,1035
681,2023-03-20,高雄市,三民區,55-59,8467
682,2023-03-18,高雄市,三民區,0,723
683,2023-03-14,高雄市,三民區,3,1061
