UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
206,2023-06-14,高雄市,仁武區,2,44632,0.29
371,2023-03-24,高雄市,仁武區,1,44630,10.57
557,2023-03-21,高雄市,仁武區,1,44629,27.86
779,2023-03-20,高雄市,仁武區,8,44628,35.00
1081,2023-03-19,高雄市,仁武區,29,44620,40.57
1412,2023-03-18,高雄市,仁武區,35,44591,39.71
1757,2023-03-17,高雄市,仁武區,44,44556,40.00
2110,2023-03-16,高雄市,仁武區,34,44512,39.57
2462,2023-03-15,高雄市,仁武區,44,44478,40.43
2812,2023-03-14,高雄市,仁武區,51,44434,42.86
3170,2023-03-13,高雄市,仁武區,47,44383,42.57
3526,2023-03-12,高雄市,仁武區,23,44336,41.71
3876,2023-03-11,高雄市,仁武區,37,44313,42.71
4225,2023-03-10,高雄市,仁武區,41,44276,44.71
4584,2023-03-09,高雄市,仁武區,40,44235,45.00
4939,2023-03-08,高雄市,仁武區,61,44195,50.43
5295,2023-03-07,高雄市,仁武區,49,44134,50.14
5657,2023-03-06,高雄市,仁武區,41,44085,51.14
6015,2023-03-05,高雄市,仁武區,30,44044,50.71
6358,2023-03-04,高雄市,仁武區,51,44014,51.00
6710,2023-03-03,高雄市,仁武區,43,43963,55.29
7071,2023-03-02,高雄市,仁武區,78,43920,60.86
7435,2023-03-01,高雄市,仁武區,59,43842,58.57
7806,2023-02-28,高雄市,仁武區,56,43783,57.29
8173,2023-02-27,高雄市,仁武區,38,43727,61.71
8523,2023-02-26,高雄市,仁武區,32,43689,66.57
8875,2023-02-25,高雄市,仁武區,81,43657,71.14
9243,2023-02-24,高雄市,仁武區,82,43576,69.00
9606,2023-02-23,高雄市,仁武區,62,43494,66.71
9976,2023-02-22,高雄市,仁武區,50,43432,67.00
10350,2023-02-21,高雄市,仁武區,87,43382,70.86
10721,2023-02-20,高雄市,仁武區,72,43295,71.43
11096,2023-02-19,高雄市,仁武區,64,43223,74.29
11458,2023-02-18,高雄市,仁武區,66,43159,73.71
11823,2023-02-17,高雄市,仁武區,66,43093,75.29
12198,2023-02-16,高雄市,仁武區,64,43027,80.43
12573,2023-02-15,高雄市,仁武區,77,42963,82.57
12946,2023-02-14,高雄市,仁武區,91,42886,84.43
13318,2023-02-13,高雄市,仁武區,92,42795,89.00
13695,2023-02-12,高雄市,仁武區,60,42703,89.86
14054,2023-02-11,高雄市,仁武區,77,42643,93.86
14423,2023-02-10,高雄市,仁武區,102,42566,94.86
14798,2023-02-09,高雄市,仁武區,79,42464,101.43
15177,2023-02-08,高雄市,仁武區,90,42385,108.43
15555,2023-02-07,高雄市,仁武區,123,42295,116.43
15934,2023-02-06,高雄市,仁武區,98,42172,123.00
16312,2023-02-05,高雄市,仁武區,88,42074,126.71
16684,2023-02-04,高雄市,仁武區,84,41986,128.29
17064,2023-02-03,高雄市,仁武區,148,41902,135.00
17449,2023-02-02,高雄市,仁武區,128,41754,133.57
17831,2023-02-01,高雄市,仁武區,146,41626,126.86
18210,2023-01-31,高雄市,仁武區,169,41480,116.57
18595,2023-01-30,高雄市,仁武區,124,41311,100.14
18981,2023-01-29,高雄市,仁武區,99,41187,90.43
19359,2023-01-28,高雄市,仁武區,131,41088,83.00
19735,2023-01-27,高雄市,仁武區,138,40957,78.00
20116,2023-01-26,高雄市,仁武區,81,40819,74.14
20488,2023-01-25,高雄市,仁武區,74,40738,75.14
20857,2023-01-24,高雄市,仁武區,54,40664,78.00
21229,2023-01-23,高雄市,仁武區,56,40610,86.86
21598,2023-01-22,高雄市,仁武區,47,40554,90.86
21964,2023-01-21,高雄市,仁武區,96,40507,97.29
22337,2023-01-20,高雄市,仁武區,111,40411,96.57
22702,2023-01-19,高雄市,仁武區,88,40300,92.86
23075,2023-01-18,高雄市,仁武區,94,40212,94.00
23443,2023-01-17,高雄市,仁武區,116,40118,98.29
23808,2023-01-16,高雄市,仁武區,84,40002,98.71
24186,2023-01-15,高雄市,仁武區,92,39918,99.86
24550,2023-01-14,高雄市,仁武區,91,39826,97.57
24917,2023-01-13,高雄市,仁武區,85,39735,105.57
25287,2023-01-12,高雄市,仁武區,96,39650,108.71
25661,2023-01-11,高雄市,仁武區,124,39554,108.86
26037,2023-01-10,高雄市,仁武區,119,39430,109.57
26410,2023-01-09,高雄市,仁武區,92,39311,116.43
26784,2023-01-08,高雄市,仁武區,76,39219,117.29
27145,2023-01-07,高雄市,仁武區,147,39143,116.14
27518,2023-01-06,高雄市,仁武區,107,38996,111.29
27895,2023-01-05,高雄市,仁武區,97,38889,112.43
28273,2023-01-04,高雄市,仁武區,129,38792,115.43
28655,2023-01-03,高雄市,仁武區,167,38663,111.14
29035,2023-01-02,高雄市,仁武區,98,38496,107.14
29409,2023-01-01,高雄市,仁武區,68,38398,107.71
29769,2022-12-31,高雄市,仁武區,113,38330,106.86
30135,2022-12-30,高雄市,仁武區,115,38217,102.43
30509,2022-12-29,高雄市,仁武區,118,38102,99.71
30881,2022-12-28,高雄市,仁武區,99,37984,95.14
31250,2022-12-27,高雄市,仁武區,139,37885,93.57
31625,2022-12-26,高雄市,仁武區,102,37746,83.00
31994,2022-12-25,高雄市,仁武區,62,37644,76.71
32352,2022-12-24,高雄市,仁武區,82,37582,75.71
32711,2022-12-23,高雄市,仁武區,96,37500,74.14
33078,2022-12-22,高雄市,仁武區,86,37404,67.14
33443,2022-12-21,高雄市,仁武區,88,37318,63.57
33811,2022-12-20,高雄市,仁武區,65,37230,60.57
34176,2022-12-19,高雄市,仁武區,58,37165,62.43
34545,2022-12-18,高雄市,仁武區,55,37107,63.57
34895,2022-12-17,高雄市,仁武區,71,37052,63.29
35256,2022-12-16,高雄市,仁武區,47,36981,62.86
35619,2022-12-15,高雄市,仁武區,61,36934,66.29
35989,2022-12-14,高雄市,仁武區,67,36873,67.86
36349,2022-12-13,高雄市,仁武區,78,36806,70.14
36727,2022-12-12,高雄市,仁武區,66,36728,72.29
37091,2022-12-11,高雄市,仁武區,53,36662,73.43
37449,2022-12-10,高雄市,仁武區,68,36609,74.14
37816,2022-12-09,高雄市,仁武區,71,36541,74.14
38183,2022-12-08,高雄市,仁武區,72,36470,74.71
38556,2022-12-07,高雄市,仁武區,83,36398,74.00
38925,2022-12-06,高雄市,仁武區,93,36315,72.57
39299,2022-12-05,高雄市,仁武區,74,36222,70.71
39678,2022-12-04,高雄市,仁武區,58,36148,68.71
40042,2022-12-03,高雄市,仁武區,68,36090,68.29
40412,2022-12-02,高雄市,仁武區,75,36022,70.00
40778,2022-12-01,高雄市,仁武區,67,35947,70.86
41150,2022-11-30,高雄市,仁武區,73,35880,72.00
41523,2022-11-29,高雄市,仁武區,80,35807,76.43
41903,2022-11-28,高雄市,仁武區,60,35727,78.57
42280,2022-11-27,高雄市,仁武區,55,35667,79.86
42635,2022-11-26,高雄市,仁武區,80,35612,79.29
42997,2022-11-25,高雄市,仁武區,81,35532,79.86
43366,2022-11-24,高雄市,仁武區,75,35451,82.29
43736,2022-11-23,高雄市,仁武區,104,35376,81.00
44109,2022-11-22,高雄市,仁武區,95,35272,81.14
44485,2022-11-21,高雄市,仁武區,69,35177,82.43
44864,2022-11-20,高雄市,仁武區,51,35108,84.29
45231,2022-11-19,高雄市,仁武區,84,35057,89.57
45602,2022-11-18,高雄市,仁武區,98,34973,93.86
45976,2022-11-17,高雄市,仁武區,66,34875,95.43
46349,2022-11-16,高雄市,仁武區,105,34809,103.29
46731,2022-11-15,高雄市,仁武區,104,34704,106.43
47109,2022-11-14,高雄市,仁武區,82,34600,118.43
47488,2022-11-13,高雄市,仁武區,88,34518,131.86
47859,2022-11-12,高雄市,仁武區,114,34430,136.14
48237,2022-11-11,高雄市,仁武區,109,34316,140.43
48615,2022-11-10,高雄市,仁武區,121,34207,147.57
48999,2022-11-09,高雄市,仁武區,127,34086,152.43
49385,2022-11-08,高雄市,仁武區,188,33959,159.14
49770,2022-11-07,高雄市,仁武區,176,33771,159.00
50150,2022-11-06,高雄市,仁武區,118,33595,158.86
50520,2022-11-05,高雄市,仁武區,144,33477,161.57
50899,2022-11-04,高雄市,仁武區,159,33333,166.14
51284,2022-11-03,高雄市,仁武區,155,33174,170.71
51663,2022-11-02,高雄市,仁武區,174,33019,174.14
52051,2022-11-01,高雄市,仁武區,187,32845,176.00
52434,2022-10-31,高雄市,仁武區,175,32658,177.00
52818,2022-10-30,高雄市,仁武區,137,32483,180.57
53195,2022-10-29,高雄市,仁武區,176,32346,178.86
53577,2022-10-28,高雄市,仁武區,191,32170,178.71
53964,2022-10-27,高雄市,仁武區,179,31979,174.86
