UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
208,2023-04-01,高雄市,前鎮區,1,137,0.14
468,2023-03-20,高雄市,前鎮區,1,136,0.29
510,2023-03-19,高雄市,前鎮區,1,135,0.29
755,2023-03-13,高雄市,前鎮區,1,134,0.29
986,2023-03-08,高雄市,前鎮區,1,133,0.29
1191,2023-03-04,高雄市,前鎮區,1,132,0.29
1524,2023-02-26,高雄市,前鎮區,1,131,0.57
1692,2023-02-23,高雄市,前鎮區,1,130,0.57
1761,2023-02-22,高雄市,前鎮區,1,129,0.43
1815,2023-02-21,高雄市,前鎮區,1,128,0.43
2039,2023-02-17,高雄市,前鎮區,1,127,0.57
2160,2023-02-15,高雄市,前鎮區,1,126,0.57
2294,2023-02-13,高雄市,前鎮區,1,125,0.57
2420,2023-02-11,高雄市,前鎮區,1,124,0.43
2484,2023-02-10,高雄市,前鎮區,1,123,0.29
2616,2023-02-08,高雄市,前鎮區,1,122,0.29
2928,2023-02-03,高雄市,前鎮區,1,121,0.43
3070,2023-02-01,高雄市,前鎮區,2,120,0.29
3459,2023-01-25,高雄市,前鎮區,1,118,0.43
3703,2023-01-20,高雄市,前鎮區,2,117,0.86
3842,2023-01-17,高雄市,前鎮區,1,115,0.57
3894,2023-01-16,高雄市,前鎮區,1,114,0.43
4013,2023-01-14,高雄市,前鎮區,2,113,0.43
4296,2023-01-08,高雄市,前鎮區,1,111,0.43
4494,2023-01-04,高雄市,前鎮區,1,110,0.43
4609,2023-01-02,高雄市,前鎮區,1,109,0.43
4715,2022-12-31,高雄市,前鎮區,1,108,0.43
4882,2022-12-27,高雄市,前鎮區,1,107,0.43
4934,2022-12-26,高雄市,前鎮區,1,106,0.29
5105,2022-12-21,高雄市,前鎮區,1,105,0.29
5191,2022-12-19,高雄市,前鎮區,1,104,0.14
5559,2022-12-09,高雄市,前鎮區,1,103,0.29
5642,2022-12-07,高雄市,前鎮區,1,102,0.14
5940,2022-11-29,高雄市,前鎮區,1,101,0.29
6191,2022-11-23,高雄市,前鎮區,1,100,0.29
6388,2022-11-19,高雄市,前鎮區,1,99,0.43
6531,2022-11-16,高雄市,前鎮區,1,98,0.43
6572,2022-11-15,高雄市,前鎮區,1,97,0.29
6802,2022-11-11,高雄市,前鎮區,1,96,0.29
7044,2022-11-07,高雄市,前鎮區,1,95,1.14
7216,2022-11-04,高雄市,前鎮區,1,94,1.14
7274,2022-11-03,高雄市,前鎮區,3,93,1.00
7396,2022-11-01,高雄市,前鎮區,3,90,0.71
7524,2022-10-30,高雄市,前鎮區,1,87,0.29
7724,2022-10-27,高雄市,前鎮區,1,86,0.29
8083,2022-10-22,高雄市,前鎮區,1,85,0.71
8292,2022-10-19,高雄市,前鎮區,2,84,0.57
8510,2022-10-16,高雄市,前鎮區,2,82,0.71
8790,2022-10-12,高雄市,前鎮區,1,80,0.71
8863,2022-10-11,高雄市,前鎮區,1,79,0.57
8923,2022-10-10,高雄市,前鎮區,1,78,0.43
9051,2022-10-08,高雄市,前鎮區,1,77,0.57
9111,2022-10-07,高雄市,前鎮區,1,76,0.43
9396,2022-10-03,高雄市,前鎮區,2,75,0.43
9709,2022-09-28,高雄市,前鎮區,1,73,0.29
9938,2022-09-24,高雄市,前鎮區,1,72,0.14
10322,2022-09-17,高雄市,前鎮區,2,71,0.43
10382,2022-09-16,高雄市,前鎮區,1,69,0.29
10701,2022-09-10,高雄市,前鎮區,1,68,0.14
11020,2022-09-03,高雄市,前鎮區,1,67,0.57
11127,2022-08-31,高雄市,前鎮區,2,66,0.43
11225,2022-08-29,高雄市,前鎮區,1,64,0.29
11415,2022-08-24,高雄市,前鎮區,1,63,0.43
11493,2022-08-22,高雄市,前鎮區,1,62,0.29
11637,2022-08-18,高雄市,前鎮區,1,61,0.29
11854,2022-08-12,高雄市,前鎮區,1,60,0.57
11890,2022-08-11,高雄市,前鎮區,2,59,0.43
12095,2022-08-06,高雄市,前鎮區,1,57,0.14
12698,2022-07-25,高雄市,前鎮區,1,56,0.43
12919,2022-07-21,高雄市,前鎮區,1,55,0.71
13045,2022-07-19,高雄市,前鎮區,1,54,0.57
13109,2022-07-18,高雄市,前鎮區,3,53,0.57
13519,2022-07-12,高雄市,前鎮區,1,50,0.57
13797,2022-07-08,高雄市,前鎮區,2,49,0.71
13955,2022-07-06,高雄市,前鎮區,1,47,0.57
14131,2022-07-04,高雄市,前鎮區,1,46,0.43
14232,2022-07-03,高雄市,前鎮區,1,45,0.29
14494,2022-06-30,高雄市,前鎮區,1,44,0.71
14895,2022-06-26,高雄市,前鎮區,2,43,1.14
14993,2022-06-25,高雄市,前鎮區,1,41,1.14
15086,2022-06-24,高雄市,前鎮區,1,40,1.00
15306,2022-06-22,高雄市,前鎮區,2,39,0.86
15531,2022-06-20,高雄市,前鎮區,2,37,0.86
15632,2022-06-19,高雄市,前鎮區,2,35,0.71
16270,2022-06-14,高雄市,前鎮區,2,33,1.71
16394,2022-06-13,高雄市,前鎮區,1,31,1.71
16517,2022-06-12,高雄市,前鎮區,2,30,1.71
16640,2022-06-11,高雄市,前鎮區,2,28,1.57
16767,2022-06-10,高雄市,前鎮區,1,26,1.43
16878,2022-06-09,高雄市,前鎮區,1,25,1.57
17004,2022-06-08,高雄市,前鎮區,3,24,1.43
17133,2022-06-07,高雄市,前鎮區,2,21,1.00
17265,2022-06-06,高雄市,前鎮區,1,19,1.00
17378,2022-06-05,高雄市,前鎮區,1,18,1.00
17492,2022-06-04,高雄市,前鎮區,1,17,1.00
17619,2022-06-03,高雄市,前鎮區,2,16,1.00
17984,2022-05-31,高雄市,前鎮區,2,14,0.86
18108,2022-05-30,高雄市,前鎮區,1,12,0.71
18231,2022-05-29,高雄市,前鎮區,1,11,0.71
18333,2022-05-28,高雄市,前鎮區,1,10,0.86
18533,2022-05-26,高雄市,前鎮區,1,9,0.86
18723,2022-05-24,高雄市,前鎮區,1,8,0.86
18816,2022-05-23,高雄市,前鎮區,1,7,0.71
18909,2022-05-22,高雄市,前鎮區,2,6,0.57
18996,2022-05-21,高雄市,前鎮區,1,4,0.43
19146,2022-05-19,高雄市,前鎮區,1,3,0.43
19399,2022-05-15,高雄市,前鎮區,1,2,0.29
19457,2022-05-14,高雄市,前鎮區,1,1,0.14
