UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1045,2023-06-14,高雄市,大樹區,30-34,1180
1046,2023-06-14,高雄市,大樹區,15-19,914
1047,2023-03-20,高雄市,大樹區,45-49,1026
1048,2023-03-20,高雄市,大樹區,70+,1387
1049,2023-03-20,高雄市,大樹區,25-29,1250
1050,2023-03-19,高雄市,大樹區,5-9,758
1051,2023-03-19,高雄市,大樹區,50-54,1027
1052,2023-03-19,高雄市,大樹區,20-24,1288
1053,2023-03-19,高雄市,大樹區,40-44,1153
1054,2023-03-18,高雄市,大樹區,55-59,1063
1055,2023-03-18,高雄市,大樹區,35-39,1052
1056,2023-03-17,高雄市,大樹區,65-69,730
1057,2023-03-16,高雄市,大樹區,10-14,687
1058,2023-03-15,高雄市,大樹區,60-64,959
1059,2023-03-11,高雄市,大樹區,2,146
1060,2023-03-09,高雄市,大樹區,1,137
1061,2023-02-27,高雄市,大樹區,3,114
1062,2023-02-20,高雄市,大樹區,0,91
1063,2023-02-04,高雄市,大樹區,4,144
