UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
215,2023-06-14,高雄市,大樹區,3,15106,0.43
798,2023-03-20,高雄市,大樹區,3,15103,8.14
1100,2023-03-19,高雄市,大樹區,7,15100,10.00
1433,2023-03-18,高雄市,大樹區,14,15093,10.57
1779,2023-03-17,高雄市,大樹區,4,15079,10.86
2131,2023-03-16,高雄市,大樹區,14,15075,11.14
2484,2023-03-15,高雄市,大樹區,7,15061,11.57
2834,2023-03-14,高雄市,大樹區,8,15054,13.00
3192,2023-03-13,高雄市,大樹區,16,15046,13.71
3546,2023-03-12,高雄市,大樹區,11,15030,15.71
3896,2023-03-11,高雄市,大樹區,16,15019,15.57
4246,2023-03-10,高雄市,大樹區,6,15003,15.00
4603,2023-03-09,高雄市,大樹區,17,14997,16.57
4959,2023-03-08,高雄市,大樹區,17,14980,17.43
5316,2023-03-07,高雄市,大樹區,13,14963,17.86
5678,2023-03-06,高雄市,大樹區,30,14950,18.57
6037,2023-03-05,高雄市,大樹區,10,14920,15.86
6378,2023-03-04,高雄市,大樹區,12,14910,15.43
6732,2023-03-03,高雄市,大樹區,17,14898,17.00
7093,2023-03-02,高雄市,大樹區,23,14881,16.00
7455,2023-03-01,高雄市,大樹區,20,14858,16.14
7827,2023-02-28,高雄市,大樹區,18,14838,15.43
8193,2023-02-27,高雄市,大樹區,11,14820,15.57
8544,2023-02-26,高雄市,大樹區,7,14809,19.00
8896,2023-02-25,高雄市,大樹區,23,14802,20.86
9265,2023-02-24,高雄市,大樹區,10,14779,21.14
9628,2023-02-23,高雄市,大樹區,24,14769,23.00
9998,2023-02-22,高雄市,大樹區,15,14745,23.00
10371,2023-02-21,高雄市,大樹區,19,14730,25.57
10743,2023-02-20,高雄市,大樹區,35,14711,27.71
11117,2023-02-19,高雄市,大樹區,20,14676,27.00
11479,2023-02-18,高雄市,大樹區,25,14656,28.00
11844,2023-02-17,高雄市,大樹區,23,14631,27.57
12220,2023-02-16,高雄市,大樹區,24,14608,29.29
