UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1595,2023-02-25,高雄市,大社區,1,22,0.14
4358,2023-01-07,高雄市,大社區,1,21,0.14
4727,2022-12-31,高雄市,大社區,1,20,0.14
5112,2022-12-21,高雄市,大社區,1,19,0.29
5346,2022-12-15,高雄市,大社區,1,18,0.14
6640,2022-11-14,高雄市,大社區,1,17,0.29
6819,2022-11-11,高雄市,大社區,1,16,0.14
7481,2022-10-31,高雄市,大社區,1,15,0.14
7955,2022-10-24,高雄市,大社區,1,14,0.14
10622,2022-09-12,高雄市,大社區,1,13,0.14
11271,2022-08-28,高雄市,大社區,1,12,0.14
11752,2022-08-15,高雄市,大社區,1,11,0.14
12716,2022-07-25,高雄市,大社區,1,10,0.29
12935,2022-07-21,高雄市,大社區,1,9,0.14
13746,2022-07-09,高雄市,大社區,1,8,0.14
14435,2022-07-01,高雄市,大社區,2,7,0.57
14631,2022-06-29,高雄市,大社區,1,5,0.29
14826,2022-06-27,高雄市,大社區,1,4,0.14
16308,2022-06-14,高雄市,大社區,1,3,0.14
17165,2022-06-07,高雄市,大社區,1,2,0.14
18368,2022-05-28,高雄市,大社區,1,1,0.14
