UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
589,2023-09-05,高雄市,小港區,70+,4174
590,2023-06-14,高雄市,小港區,1,614
591,2023-06-14,高雄市,小港區,60-64,3663
592,2023-06-14,高雄市,小港區,0,440
593,2023-03-21,高雄市,小港區,45-49,5024
594,2023-03-21,高雄市,小港區,20-24,4586
595,2023-03-20,高雄市,小港區,40-44,6641
596,2023-03-20,高雄市,小港區,50-54,3854
597,2023-03-20,高雄市,小港區,5-9,3754
598,2023-03-20,高雄市,小港區,65-69,3118
599,2023-03-20,高雄市,小港區,15-19,3664
600,2023-03-20,高雄市,小港區,30-34,5481
601,2023-03-20,高雄市,小港區,10-14,3339
602,2023-03-19,高雄市,小港區,55-59,3690
603,2023-03-19,高雄市,小港區,25-29,5353
604,2023-03-19,高雄市,小港區,35-39,5915
605,2023-03-19,高雄市,小港區,2,575
606,2023-03-18,高雄市,小港區,3,587
607,2023-03-15,高雄市,小港區,4,685
