UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
323,2023-03-25,高雄市,小港區,1,121,0.14
590,2023-03-17,高雄市,小港區,1,120,0.29
753,2023-03-13,高雄市,小港區,1,119,0.43
889,2023-03-10,高雄市,小港區,1,118,0.43
934,2023-03-09,高雄市,小港區,1,117,0.43
1187,2023-03-04,高雄市,小港區,1,116,0.57
1245,2023-03-03,高雄市,小港區,1,115,0.57
1299,2023-03-02,高雄市,小港區,2,114,0.43
1574,2023-02-25,高雄市,小港區,1,112,0.29
1921,2023-02-19,高雄市,小港區,1,111,0.14
2416,2023-02-11,高雄市,小港區,1,110,0.43
2612,2023-02-08,高雄市,小港區,1,109,0.29
2756,2023-02-06,高雄市,小港區,1,108,0.14
3243,2023-01-29,高雄市,小港區,1,107,0.57
3298,2023-01-28,高雄市,小港區,1,106,0.57
3344,2023-01-27,高雄市,小港區,1,105,0.57
3560,2023-01-23,高雄市,小港區,1,104,0.43
3615,2023-01-22,高雄市,小港區,1,103,0.29
3663,2023-01-21,高雄市,小港區,1,102,0.14
4009,2023-01-14,高雄市,小港區,1,101,0.57
4201,2023-01-10,高雄市,小港區,1,100,0.71
4295,2023-01-08,高雄市,小港區,2,99,0.86
4347,2023-01-07,高雄市,小港區,1,97,0.71
4490,2023-01-04,高雄市,小港區,1,96,0.57
4551,2023-01-03,高雄市,小港區,1,95,0.43
4606,2023-01-02,高雄市,小港區,1,94,0.43
4661,2023-01-01,高雄市,小港區,1,93,0.29
4880,2022-12-27,高雄市,小港區,1,92,0.43
4968,2022-12-25,高雄市,小港區,1,91,0.29
5000,2022-12-24,高雄市,小港區,1,90,0.29
5221,2022-12-18,高雄市,小港區,1,89,0.29
5297,2022-12-16,高雄市,小港區,1,88,0.14
5906,2022-11-30,高雄市,小港區,1,87,0.14
6281,2022-11-21,高雄市,小港區,1,86,0.29
6432,2022-11-18,高雄市,小港區,1,85,0.14
6798,2022-11-11,高雄市,小港區,1,84,0.57
6862,2022-11-10,高雄市,小港區,1,83,0.43
7040,2022-11-07,高雄市,小港區,1,82,0.29
7155,2022-11-05,高雄市,小港區,1,81,0.29
7462,2022-10-31,高雄市,小港區,1,80,0.43
7718,2022-10-27,高雄市,小港區,1,79,0.57
7796,2022-10-26,高雄市,小港區,1,78,0.43
8004,2022-10-23,高雄市,小港區,1,77,0.57
8081,2022-10-22,高雄市,小港區,1,76,0.43
8290,2022-10-19,高雄市,小港區,1,75,0.29
8360,2022-10-18,高雄市,小港區,1,74,0.14
8860,2022-10-11,高雄市,小港區,1,73,0.71
8919,2022-10-10,高雄市,小港區,1,72,0.57
8997,2022-10-09,高雄市,小港區,2,71,0.57
9241,2022-10-05,高雄市,小港區,1,69,0.29
9393,2022-10-03,高雄市,小港區,1,68,0.14
10065,2022-09-22,高雄市,小港區,1,67,0.43
10172,2022-09-20,高雄市,小港區,1,66,0.29
10320,2022-09-17,高雄市,小港區,1,65,0.29
10547,2022-09-13,高雄市,小港區,1,64,0.14
10924,2022-09-05,高雄市,小港區,1,63,0.29
11019,2022-09-03,高雄市,小港區,1,62,0.14
11300,2022-08-27,高雄市,小港區,1,61,0.14
11699,2022-08-16,高雄市,小港區,1,60,0.29
11814,2022-08-13,高雄市,小港區,1,59,0.43
12007,2022-08-08,高雄市,小港區,2,58,0.43
12091,2022-08-06,高雄市,小港區,1,56,0.29
12320,2022-08-01,高雄市,小港區,1,55,0.43
12581,2022-07-27,高雄市,小港區,1,54,0.29
12636,2022-07-26,高雄市,小港區,1,53,0.29
12977,2022-07-20,高雄市,小港區,1,52,0.86
13042,2022-07-19,高雄市,小港區,2,51,0.71
13162,2022-07-17,高雄市,小港區,1,49,0.43
13236,2022-07-16,高雄市,小港區,1,48,0.29
13374,2022-07-14,高雄市,小港區,1,47,0.14
13862,2022-07-07,高雄市,小港區,1,46,0.43
13951,2022-07-06,高雄市,小港區,1,45,0.43
14035,2022-07-05,高雄市,小港區,1,44,0.43
