UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
1406,2023-02-28,高雄市,岡山區,1,51,0.14
2235,2023-02-14,高雄市,岡山區,1,50,0.14
2877,2023-02-04,高雄市,岡山區,1,49,0.14
3955,2023-01-15,高雄市,岡山區,1,48,0.29
4105,2023-01-12,高雄市,岡山區,1,47,0.14
5003,2022-12-24,高雄市,岡山區,1,46,0.29
5036,2022-12-23,高雄市,岡山區,1,45,0.14
5341,2022-12-15,高雄市,岡山區,1,44,0.14
6630,2022-11-14,高雄市,岡山區,1,43,0.57
6872,2022-11-10,高雄市,岡山區,1,42,0.43
6934,2022-11-09,高雄市,岡山區,1,41,0.29
6992,2022-11-08,高雄市,岡山區,1,40,0.29
7337,2022-11-02,高雄市,岡山區,1,39,0.14
7946,2022-10-24,高雄市,岡山區,1,38,0.29
8015,2022-10-23,高雄市,岡山區,1,37,0.14
8584,2022-10-15,高雄市,岡山區,1,36,0.43
8932,2022-10-10,高雄市,岡山區,2,35,0.57
9124,2022-10-07,高雄市,岡山區,1,33,0.29
9253,2022-10-05,高雄市,岡山區,1,32,0.14
9889,2022-09-25,高雄市,岡山區,1,31,0.43
10130,2022-09-21,高雄市,岡山區,1,30,0.71
10224,2022-09-19,高雄市,岡山區,1,29,0.57
10328,2022-09-17,高雄市,岡山區,1,28,0.43
10389,2022-09-16,高雄市,岡山區,1,27,0.29
10446,2022-09-15,高雄市,岡山區,1,26,0.14
11129,2022-08-31,高雄市,岡山區,1,25,0.14
12017,2022-08-08,高雄市,岡山區,1,24,0.29
12273,2022-08-02,高雄市,岡山區,1,23,0.14
14149,2022-07-04,高雄市,岡山區,1,22,0.43
14244,2022-07-03,高雄市,岡山區,1,21,0.29
14708,2022-06-28,高雄市,岡山區,1,20,0.43
15098,2022-06-24,高雄市,岡山區,1,19,0.71
15202,2022-06-23,高雄市,岡山區,1,18,0.57
15430,2022-06-21,高雄市,岡山區,1,17,0.57
15547,2022-06-20,高雄市,岡山區,1,16,0.57
15653,2022-06-19,高雄市,岡山區,1,15,0.43
16031,2022-06-16,高雄市,岡山區,1,14,0.86
16290,2022-06-14,高雄市,岡山區,1,13,1.00
16660,2022-06-11,高雄市,岡山區,3,12,1.00
16784,2022-06-10,高雄市,岡山區,1,9,0.57
16895,2022-06-09,高雄市,岡山區,1,8,0.43
17021,2022-06-08,高雄市,岡山區,1,7,0.57
17391,2022-06-05,高雄市,岡山區,1,6,0.43
17752,2022-06-02,高雄市,岡山區,2,5,0.29
18545,2022-05-26,高雄市,岡山區,1,3,0.43
18830,2022-05-23,高雄市,岡山區,1,2,0.29
19083,2022-05-20,高雄市,岡山區,1,1,0.14
