UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
155,2023-06-14,高雄市,左營區,7,84589,1.00
397,2023-03-23,高雄市,左營區,2,84582,31.29
429,2023-03-22,高雄市,左營區,2,84580,40.57
522,2023-03-21,高雄市,左營區,3,84578,52.14
695,2023-03-20,高雄市,左營區,29,84575,64.14
986,2023-03-19,高雄市,左營區,44,84546,71.57
1315,2023-03-18,高雄市,左營區,75,84502,75.14
1654,2023-03-17,高雄市,左營區,64,84427,76.43
2007,2023-03-16,高雄市,左營區,67,84363,78.00
2359,2023-03-15,高雄市,左營區,83,84296,79.71
2710,2023-03-14,高雄市,左營區,87,84213,80.00
3068,2023-03-13,高雄市,左營區,81,84126,85.43
3426,2023-03-12,高雄市,左營區,69,84045,89.00
3772,2023-03-11,高雄市,左營區,84,83976,88.71
4124,2023-03-10,高雄市,左營區,75,83892,89.14
4480,2023-03-09,高雄市,左營區,79,83817,94.29
4839,2023-03-08,高雄市,左營區,85,83738,102.57
5192,2023-03-07,高雄市,左營區,125,83653,110.29
5552,2023-03-06,高雄市,左營區,106,83528,110.71
5916,2023-03-05,高雄市,左營區,67,83422,108.00
6255,2023-03-04,高雄市,左營區,87,83355,107.71
6608,2023-03-03,高雄市,左營區,111,83268,113.57
6967,2023-03-02,高雄市,左營區,137,83157,115.14
7331,2023-03-01,高雄市,左營區,139,83020,112.00
7702,2023-02-28,高雄市,左營區,128,82881,109.86
8065,2023-02-27,高雄市,左營區,87,82753,115.14
8424,2023-02-26,高雄市,左營區,65,82666,124.86
8768,2023-02-25,高雄市,左營區,128,82601,133.00
9138,2023-02-24,高雄市,左營區,122,82473,136.14
9499,2023-02-23,高雄市,左營區,115,82351,142.57
9870,2023-02-22,高雄市,左營區,124,82236,151.43
10244,2023-02-21,高雄市,左營區,165,82112,160.57
10614,2023-02-20,高雄市,左營區,155,81947,167.57
10993,2023-02-19,高雄市,左營區,122,81792,175.29
11352,2023-02-18,高雄市,左營區,150,81670,177.00
11718,2023-02-17,高雄市,左營區,167,81520,179.00
12091,2023-02-16,高雄市,左營區,177,81353,181.14
12466,2023-02-15,高雄市,左營區,188,81176,180.71
12839,2023-02-14,高雄市,左營區,214,80988,180.57
13211,2023-02-13,高雄市,左營區,209,80774,187.86
13589,2023-02-12,高雄市,左營區,134,80565,191.71
13947,2023-02-11,高雄市,左營區,164,80431,198.00
14319,2023-02-10,高雄市,左營區,182,80267,205.00
14692,2023-02-09,高雄市,左營區,174,80085,206.86
15069,2023-02-08,高雄市,左營區,187,79911,217.43
15448,2023-02-07,高雄市,左營區,265,79724,229.00
15827,2023-02-06,高雄市,左營區,236,79459,236.00
16208,2023-02-05,高雄市,左營區,178,79223,246.29
16577,2023-02-04,高雄市,左營區,213,79045,251.57
16956,2023-02-03,高雄市,左營區,195,78832,264.43
17342,2023-02-02,高雄市,左營區,248,78637,284.71
17725,2023-02-01,高雄市,左營區,268,78389,292.71
18102,2023-01-31,高雄市,左營區,314,78121,280.43
18487,2023-01-30,高雄市,左營區,308,77807,259.57
18876,2023-01-29,高雄市,左營區,215,77499,237.43
19252,2023-01-28,高雄市,左營區,303,77284,223.29
19631,2023-01-27,高雄市,左營區,337,76981,204.86
20009,2023-01-26,高雄市,左營區,304,76644,187.71
20386,2023-01-25,高雄市,左營區,182,76340,168.00
20751,2023-01-24,高雄市,左營區,168,76158,169.14
21126,2023-01-23,高雄市,左營區,153,75990,174.71
21493,2023-01-22,高雄市,左營區,116,75837,177.71
21857,2023-01-21,高雄市,左營區,174,75721,181.43
22229,2023-01-20,高雄市,左營區,217,75547,185.86
22596,2023-01-19,高雄市,左營區,166,75330,184.71
22967,2023-01-18,高雄市,左營區,190,75164,190.86
23338,2023-01-17,高雄市,左營區,207,74974,196.14
23703,2023-01-16,高雄市,左營區,174,74767,199.57
24079,2023-01-15,高雄市,左營區,142,74593,210.57
24445,2023-01-14,高雄市,左營區,205,74451,216.00
24814,2023-01-13,高雄市,左營區,209,74246,214.14
25182,2023-01-12,高雄市,左營區,209,74037,218.86
25557,2023-01-11,高雄市,左營區,227,73828,222.57
25933,2023-01-10,高雄市,左營區,231,73601,233.00
26305,2023-01-09,高雄市,左營區,251,73370,246.71
26683,2023-01-08,高雄市,左營區,180,73119,243.14
27040,2023-01-07,高雄市,左營區,192,72939,240.00
27412,2023-01-06,高雄市,左營區,242,72747,240.14
27788,2023-01-05,高雄市,左營區,235,72505,235.86
28168,2023-01-04,高雄市,左營區,300,72270,239.00
28549,2023-01-03,高雄市,左營區,327,71970,230.14
28930,2023-01-02,高雄市,左營區,226,71643,217.57
29302,2023-01-01,高雄市,左營區,158,71417,215.86
29664,2022-12-31,高雄市,左營區,193,71259,212.00
30030,2022-12-30,高雄市,左營區,212,71066,207.71
30402,2022-12-29,高雄市,左營區,257,70854,203.43
30774,2022-12-28,高雄市,左營區,238,70597,191.14
31145,2022-12-27,高雄市,左營區,239,70359,185.00
31522,2022-12-26,高雄市,左營區,214,70120,177.43
31894,2022-12-25,高雄市,左營區,131,69906,171.43
32248,2022-12-24,高雄市,左營區,163,69775,171.29
32608,2022-12-23,高雄市,左營區,182,69612,169.14
32972,2022-12-22,高雄市,左營區,171,69430,165.86
33339,2022-12-21,高雄市,左營區,195,69259,163.14
33709,2022-12-20,高雄市,左營區,186,69064,158.29
34072,2022-12-19,高雄市,左營區,172,68878,155.43
34443,2022-12-18,高雄市,左營區,130,68706,153.57
34791,2022-12-17,高雄市,左營區,148,68576,150.29
35151,2022-12-16,高雄市,左營區,159,68428,153.71
35516,2022-12-15,高雄市,左營區,152,68269,155.43
35887,2022-12-14,高雄市,左營區,161,68117,155.57
36246,2022-12-13,高雄市,左營區,166,67956,153.57
36620,2022-12-12,高雄市,左營區,159,67790,153.00
36991,2022-12-11,高雄市,左營區,107,67631,150.43
37343,2022-12-10,高雄市,左營區,172,67524,150.86
37712,2022-12-09,高雄市,左營區,171,67352,145.57
38077,2022-12-08,高雄市,左營區,153,67181,140.14
38450,2022-12-07,高雄市,左營區,147,67028,136.57
38821,2022-12-06,高雄市,左營區,162,66881,134.14
39193,2022-12-05,高雄市,左營區,141,66719,133.57
39571,2022-12-04,高雄市,左營區,110,66578,136.57
39936,2022-12-03,高雄市,左營區,135,66468,134.71
40306,2022-12-02,高雄市,左營區,133,66333,134.57
40675,2022-12-01,高雄市,左營區,128,66200,136.57
41045,2022-11-30,高雄市,左營區,130,66072,141.57
41416,2022-11-29,高雄市,左營區,158,65942,150.71
41796,2022-11-28,高雄市,左營區,162,65784,154.57
42173,2022-11-27,高雄市,左營區,97,65622,159.14
42534,2022-11-26,高雄市,左營區,134,65525,164.57
42890,2022-11-25,高雄市,左營區,147,65391,171.57
43262,2022-11-24,高雄市,左營區,163,65244,175.43
43632,2022-11-23,高雄市,左營區,194,65081,182.14
44003,2022-11-22,高雄市,左營區,185,64887,188.14
44377,2022-11-21,高雄市,左營區,194,64702,194.29
44759,2022-11-20,高雄市,左營區,135,64508,195.29
45123,2022-11-19,高雄市,左營區,183,64373,199.00
45497,2022-11-18,高雄市,左營區,174,64190,203.71
45869,2022-11-17,高雄市,左營區,210,64016,209.00
46242,2022-11-16,高雄市,左營區,236,63806,209.57
46622,2022-11-15,高雄市,左營區,228,63570,210.57
47003,2022-11-14,高雄市,左營區,201,63342,218.57
47384,2022-11-13,高雄市,左營區,161,63141,229.43
47754,2022-11-12,高雄市,左營區,216,62980,231.29
48130,2022-11-11,高雄市,左營區,211,62764,238.43
48510,2022-11-10,高雄市,左營區,214,62553,249.00
48892,2022-11-09,高雄市,左營區,243,62339,257.43
49276,2022-11-08,高雄市,左營區,284,62096,269.71
49661,2022-11-07,高雄市,左營區,277,61812,282.57
50046,2022-11-06,高雄市,左營區,174,61535,288.29
50415,2022-11-05,高雄市,左營區,266,61361,296.86
50790,2022-11-04,高雄市,左營區,285,61095,304.00
51176,2022-11-03,高雄市,左營區,273,60810,306.57
51556,2022-11-02,高雄市,左營區,329,60537,310.71
51942,2022-11-01,高雄市,左營區,374,60208,311.43
52327,2022-10-31,高雄市,左營區,317,59834,318.43
52710,2022-10-30,高雄市,左營區,234,59517,323.14
53089,2022-10-29,高雄市,左營區,316,59283,326.86
53468,2022-10-28,高雄市,左營區,303,58967,330.57
53855,2022-10-27,高雄市,左營區,302,58664,330.00
54242,2022-10-26,高雄市,左營區,334,58362,338.00
54626,2022-10-25,高雄市,左營區,423,58028,346.14
55015,2022-10-24,高雄市,左營區,350,57605,354.00
55405,2022-10-23,高雄市,左營區,260,57255,366.00
55782,2022-10-22,高雄市,左營區,342,56995,366.00
56167,2022-10-21,高雄市,左營區,299,56653,369.14
56557,2022-10-20,高雄市,左營區,358,56354,378.71
56942,2022-10-19,高雄市,左營區,391,55996,377.00
57329,2022-10-18,高雄市,左營區,478,55605,389.43
57719,2022-10-17,高雄市,左營區,434,55127,387.86
58109,2022-10-16,高雄市,左營區,260,54693,376.71
58493,2022-10-15,高雄市,左營區,364,54433,383.86
58878,2022-10-14,高雄市,左營區,366,54069,380.86
59268,2022-10-13,高雄市,左營區,346,53703,379.43
59659,2022-10-12,高雄市,左營區,478,53357,391.00
60048,2022-10-11,高雄市,左營區,467,52879,378.43
60440,2022-10-10,高雄市,左營區,356,52412,372.29
60824,2022-10-09,高雄市,左營區,310,52056,383.57
61211,2022-10-08,高雄市,左營區,343,51746,376.29
61600,2022-10-07,高雄市,左營區,356,51403,372.86
61987,2022-10-06,高雄市,左營區,427,51047,369.29
62378,2022-10-05,高雄市,左營區,390,50620,359.57
62765,2022-10-04,高雄市,左營區,424,50230,352.14
63153,2022-10-03,高雄市,左營區,435,49806,347.29
63544,2022-10-02,高雄市,左營區,259,49371,335.00
63926,2022-10-01,高雄市,左營區,319,49112,331.57
64312,2022-09-30,高雄市,左營區,331,48793,335.14
64696,2022-09-29,高雄市,左營區,359,48462,327.86
65084,2022-09-28,高雄市,左營區,338,48103,313.57
65472,2022-09-27,高雄市,左營區,390,47765,303.57
65859,2022-09-26,高雄市,左營區,349,47375,294.29
66248,2022-09-25,高雄市,左營區,235,47026,283.86
66631,2022-09-24,高雄市,左營區,344,46791,279.14
67014,2022-09-23,高雄市,左營區,280,46447,269.14
67403,2022-09-22,高雄市,左營區,259,46167,265.29
67790,2022-09-21,高雄市,左營區,268,45908,275.29
68179,2022-09-20,高雄市,左營區,325,45640,279.29
68569,2022-09-19,高雄市,左營區,276,45315,287.43
68960,2022-09-18,高雄市,左營區,202,45039,297.14
69342,2022-09-17,高雄市,左營區,274,44837,295.00
69730,2022-09-16,高雄市,左營區,253,44563,289.57
70115,2022-09-15,高雄市,左營區,329,44310,283.86
70502,2022-09-14,高雄市,左營區,296,43981,268.14
70887,2022-09-13,高雄市,左營區,382,43685,261.57
71276,2022-09-12,高雄市,左營區,344,43303,244.14
