UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
3,2023-07-02,高雄市,新興區,1,37,0.14
383,2023-03-23,高雄市,新興區,1,36,0.14
641,2023-03-16,高雄市,新興區,1,35,0.14
947,2023-03-09,高雄市,新興區,1,34,0.29
1090,2023-03-06,高雄市,新興區,1,33,0.14
1593,2023-02-25,高雄市,新興區,2,32,0.29
1994,2023-02-18,高雄市,新興區,1,30,0.14
3904,2023-01-16,高雄市,新興區,1,29,0.29
4024,2023-01-14,高雄市,新興區,1,28,0.14
4622,2023-01-02,高雄市,新興區,1,27,0.29
4890,2022-12-27,高雄市,新興區,1,26,0.14
5834,2022-12-02,高雄市,新興區,1,25,0.14
6289,2022-11-21,高雄市,新興區,1,24,0.14
6636,2022-11-14,高雄市,新興區,1,23,0.14
7168,2022-11-05,高雄市,新興區,1,22,0.29
7478,2022-10-31,高雄市,新興區,1,21,0.29
7883,2022-10-25,高雄市,新興區,1,20,0.29
8160,2022-10-21,高雄市,新興區,1,19,0.14
8662,2022-10-14,高雄市,新興區,1,18,0.71
8732,2022-10-13,高雄市,新興區,1,17,0.57
8873,2022-10-11,高雄市,新興區,1,16,0.43
8939,2022-10-10,高雄市,新興區,1,15,0.29
9061,2022-10-08,高雄市,新興區,1,14,0.29
9477,2022-10-02,高雄市,新興區,1,13,0.14
10006,2022-09-23,高雄市,新興區,1,12,0.14
10891,2022-09-06,高雄市,新興區,1,11,0.14
13184,2022-07-17,高雄市,新興區,1,10,0.29
13610,2022-07-11,高雄市,新興區,1,9,0.29
13979,2022-07-06,高雄市,新興區,1,8,0.43
14331,2022-07-02,高雄市,新興區,1,7,0.43
14518,2022-06-30,高雄市,新興區,1,6,0.43
14717,2022-06-28,高雄市,新興區,1,5,0.29
15108,2022-06-24,高雄市,新興區,1,4,0.14
15920,2022-06-17,高雄市,新興區,1,3,0.14
16796,2022-06-10,高雄市,新興區,1,2,0.14
18654,2022-05-25,高雄市,新興區,1,1,0.14
