UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
182,2023-06-14,高雄市,旗山區,2,11033,0.29
742,2023-03-20,高雄市,旗山區,7,11031,9.86
1040,2023-03-19,高雄市,旗山區,7,11024,10.71
1368,2023-03-18,高雄市,旗山區,10,11017,11.71
1709,2023-03-17,高雄市,旗山區,8,11007,12.57
2062,2023-03-16,高雄市,旗山區,11,10999,13.43
2416,2023-03-15,高雄市,旗山區,12,10988,14.14
2765,2023-03-14,高雄市,旗山區,14,10976,14.14
3124,2023-03-13,高雄市,旗山區,13,10962,13.14
3479,2023-03-12,高雄市,旗山區,14,10949,13.29
3828,2023-03-11,高雄市,旗山區,16,10935,12.57
4178,2023-03-10,高雄市,旗山區,14,10919,12.00
4535,2023-03-09,高雄市,旗山區,16,10905,11.57
4892,2023-03-08,高雄市,旗山區,12,10889,12.43
5247,2023-03-07,高雄市,旗山區,7,10877,12.14
5609,2023-03-06,高雄市,旗山區,14,10870,13.57
5970,2023-03-05,高雄市,旗山區,9,10856,13.00
6309,2023-03-04,高雄市,旗山區,12,10847,13.14
6663,2023-03-03,高雄市,旗山區,11,10835,13.57
7023,2023-03-02,高雄市,旗山區,22,10824,13.57
7387,2023-03-01,高雄市,旗山區,10,10802,12.57
7759,2023-02-28,高雄市,旗山區,17,10792,13.14
8123,2023-02-27,高雄市,旗山區,10,10775,13.43
8479,2023-02-26,高雄市,旗山區,10,10765,14.43
8826,2023-02-25,高雄市,旗山區,15,10755,15.29
9195,2023-02-24,高雄市,旗山區,11,10740,15.71
9557,2023-02-23,高雄市,旗山區,15,10729,16.14
9927,2023-02-22,高雄市,旗山區,14,10714,16.00
10302,2023-02-21,高雄市,旗山區,19,10700,15.86
10672,2023-02-20,高雄市,旗山區,17,10681,15.14
11049,2023-02-19,高雄市,旗山區,16,10664,16.57
11409,2023-02-18,高雄市,旗山區,18,10648,15.86
11776,2023-02-17,高雄市,旗山區,14,10630,16.71
12149,2023-02-16,高雄市,旗山區,14,10616,18.29
12523,2023-02-15,高雄市,旗山區,13,10602,20.29
12896,2023-02-14,高雄市,旗山區,14,10589,21.57
13268,2023-02-13,高雄市,旗山區,27,10575,22.29
13647,2023-02-12,高雄市,旗山區,11,10548,22.57
14004,2023-02-11,高雄市,旗山區,24,10537,23.71
14376,2023-02-10,高雄市,旗山區,25,10513,24.29
14749,2023-02-09,高雄市,旗山區,28,10488,24.57
15127,2023-02-08,高雄市,旗山區,22,10460,24.43
15507,2023-02-07,高雄市,旗山區,19,10438,25.57
15885,2023-02-06,高雄市,旗山區,29,10419,25.43
16264,2023-02-05,高雄市,旗山區,19,10390,26.00
16635,2023-02-04,高雄市,旗山區,28,10371,26.00
17015,2023-02-03,高雄市,旗山區,27,10343,26.86
17400,2023-02-02,高雄市,旗山區,27,10316,28.71
17783,2023-02-01,高雄市,旗山區,30,10289,28.00
18161,2023-01-31,高雄市,旗山區,18,10259,27.29
18545,2023-01-30,高雄市,旗山區,33,10241,27.14
18932,2023-01-29,高雄市,旗山區,19,10208,25.14
19310,2023-01-28,高雄市,旗山區,34,10189,24.00
19687,2023-01-27,高雄市,旗山區,40,10155,22.43
20067,2023-01-26,高雄市,旗山區,22,10115,20.14
20440,2023-01-25,高雄市,旗山區,25,10093,19.57
20807,2023-01-24,高雄市,旗山區,17,10068,18.43
