UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1216,2023-03-19,高雄市,旗津區,20-24,702
1217,2023-03-19,高雄市,旗津區,40-44,829
1218,2023-03-19,高雄市,旗津區,70+,1020
1219,2023-03-19,高雄市,旗津區,1,86
1220,2023-03-19,高雄市,旗津區,30-34,625
1221,2023-03-19,高雄市,旗津區,50-54,569
1222,2023-03-18,高雄市,旗津區,65-69,511
1223,2023-03-17,高雄市,旗津區,45-49,662
1224,2023-03-17,高雄市,旗津區,25-29,676
1225,2023-03-17,高雄市,旗津區,60-64,570
1226,2023-03-17,高雄市,旗津區,55-59,556
1227,2023-03-16,高雄市,旗津區,35-39,703
1228,2023-03-16,高雄市,旗津區,15-19,585
1229,2023-03-15,高雄市,旗津區,10-14,385
1230,2023-03-04,高雄市,旗津區,5-9,411
1231,2023-02-14,高雄市,旗津區,4,82
1232,2023-02-09,高雄市,旗津區,2,77
1233,2023-01-27,高雄市,旗津區,0,46
1234,2023-01-06,高雄市,旗津區,3,71
