UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1093,2023-03-19,高雄市,旗津區,8,9166,6.29
1426,2023-03-18,高雄市,旗津區,2,9158,5.14
1772,2023-03-17,高雄市,旗津區,6,9156,5.43
2124,2023-03-16,高雄市,旗津區,4,9150,5.43
2477,2023-03-15,高雄市,旗津區,9,9146,5.43
2827,2023-03-14,高雄市,旗津區,4,9137,4.57
3185,2023-03-13,高雄市,旗津區,11,9133,4.29
3889,2023-03-11,高雄市,旗津區,4,9122,4.57
4239,2023-03-10,高雄市,旗津區,6,9118,4.43
4596,2023-03-09,高雄市,旗津區,4,9112,5.14
4952,2023-03-08,高雄市,旗津區,3,9108,5.71
5309,2023-03-07,高雄市,旗津區,2,9105,6.57
5671,2023-03-06,高雄市,旗津區,5,9103,8.57
6030,2023-03-05,高雄市,旗津區,8,9098,9.57
6371,2023-03-04,高雄市,旗津區,3,9090,9.14
6725,2023-03-03,高雄市,旗津區,11,9087,9.29
7086,2023-03-02,高雄市,旗津區,8,9076,9.14
7448,2023-03-01,高雄市,旗津區,9,9068,9.57
7820,2023-02-28,高雄市,旗津區,16,9059,9.29
8186,2023-02-27,高雄市,旗津區,12,9043,8.43
8537,2023-02-26,高雄市,旗津區,5,9031,8.43
8889,2023-02-25,高雄市,旗津區,4,9026,9.57
9258,2023-02-24,高雄市,旗津區,10,9022,10.86
9621,2023-02-23,高雄市,旗津區,11,9012,10.00
9991,2023-02-22,高雄市,旗津區,7,9001,9.29
10364,2023-02-21,高雄市,旗津區,10,8994,10.00
10736,2023-02-20,高雄市,旗津區,12,8984,10.14
11110,2023-02-19,高雄市,旗津區,13,8972,10.57
11472,2023-02-18,高雄市,旗津區,13,8959,10.29
11837,2023-02-17,高雄市,旗津區,4,8946,10.57
12213,2023-02-16,高雄市,旗津區,6,8942,12.00
12586,2023-02-15,高雄市,旗津區,12,8936,14.43
12961,2023-02-14,高雄市,旗津區,11,8924,16.57
13332,2023-02-13,高雄市,旗津區,15,8913,17.57
13709,2023-02-12,高雄市,旗津區,11,8898,18.14
14069,2023-02-11,高雄市,旗津區,15,8887,19.43
14438,2023-02-10,高雄市,旗津區,14,8872,21.00
14812,2023-02-09,高雄市,旗津區,23,8858,21.29
15192,2023-02-08,高雄市,旗津區,27,8835,21.00
15569,2023-02-07,高雄市,旗津區,18,8808,21.29
15949,2023-02-06,高雄市,旗津區,19,8790,21.86
16325,2023-02-05,高雄市,旗津區,20,8771,24.14
16699,2023-02-04,高雄市,旗津區,26,8751,23.71
17078,2023-02-03,高雄市,旗津區,16,8725,22.71
17464,2023-02-02,高雄市,旗津區,21,8709,23.86
17845,2023-02-01,高雄市,旗津區,29,8688,24.14
18225,2023-01-31,高雄市,旗津區,22,8659,22.43
18610,2023-01-30,高雄市,旗津區,35,8637,21.00
18996,2023-01-29,高雄市,旗津區,17,8602,17.71
19374,2023-01-28,高雄市,旗津區,19,8585,17.43
19750,2023-01-27,高雄市,旗津區,24,8566,16.71
20131,2023-01-26,高雄市,旗津區,23,8542,16.57
20502,2023-01-25,高雄市,旗津區,17,8519,14.43
20871,2023-01-24,高雄市,旗津區,12,8502,13.86
21243,2023-01-23,高雄市,旗津區,12,8490,14.29
21612,2023-01-22,高雄市,旗津區,15,8478,14.57
21979,2023-01-21,高雄市,旗津區,14,8463,14.14
22352,2023-01-20,高雄市,旗津區,23,8449,16.14
22717,2023-01-19,高雄市,旗津區,8,8426,16.14
23090,2023-01-18,高雄市,旗津區,13,8418,17.71
23456,2023-01-17,高雄市,旗津區,15,8405,17.29
23823,2023-01-16,高雄市,旗津區,14,8390,17.43
24201,2023-01-15,高雄市,旗津區,12,8376,18.43
