UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
441,2023-03-21,高雄市,林園區,1,44,0.29
472,2023-03-20,高雄市,林園區,1,43,0.14
1308,2023-03-02,高雄市,林園區,1,42,0.71
1353,2023-03-01,高雄市,林園區,1,41,0.57
1404,2023-02-28,高雄市,林園區,2,40,0.43
1584,2023-02-25,高雄市,林園區,1,38,0.29
1879,2023-02-20,高雄市,林園區,1,37,0.29
2044,2023-02-17,高雄市,林園區,1,36,0.14
2699,2023-02-07,高雄市,林園區,1,35,0.57
2876,2023-02-04,高雄市,林園區,1,34,0.43
2935,2023-02-03,高雄市,林園區,1,33,0.29
3009,2023-02-02,高雄市,林園區,1,32,0.14
3514,2023-01-24,高雄市,林園區,1,31,0.29
3805,2023-01-18,高雄市,林園區,1,30,0.14
5910,2022-11-30,高雄市,林園區,1,29,0.14
6436,2022-11-18,高雄市,林園區,1,28,0.14
7050,2022-11-07,高雄市,林園區,1,27,0.14
7529,2022-10-30,高雄市,林園區,1,26,0.29
7661,2022-10-28,高雄市,林園區,1,25,0.14
8154,2022-10-21,高雄市,林園區,1,24,0.43
8238,2022-10-20,高雄市,林園區,1,23,0.29
8582,2022-10-15,高雄市,林園區,1,22,0.14
9835,2022-09-26,高雄市,林園區,1,21,0.14
11741,2022-08-15,高雄市,林園區,1,20,0.14
12226,2022-08-03,高雄市,林園區,1,19,0.29
12379,2022-07-31,高雄市,林園區,1,18,0.14
13384,2022-07-14,高雄市,林園區,1,17,0.43
13451,2022-07-13,高雄市,林園區,1,16,0.29
13808,2022-07-08,高雄市,林園區,1,15,0.43
14242,2022-07-03,高雄市,林園區,2,14,0.71
14706,2022-06-28,高雄市,林園區,3,12,0.71
14911,2022-06-26,高雄市,林園區,1,9,0.29
15316,2022-06-22,高雄市,林園區,1,8,0.43
15650,2022-06-19,高雄市,林園區,1,7,0.29
16029,2022-06-16,高雄市,林園區,1,6,0.14
16892,2022-06-09,高雄市,林園區,1,5,0.14
18001,2022-05-31,高雄市,林園區,1,4,0.29
18544,2022-05-26,高雄市,林園區,1,3,0.29
18917,2022-05-22,高雄市,林園區,1,2,0.29
19154,2022-05-19,高雄市,林園區,1,1,0.14
