UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
385,2023-03-23,高雄市,梓官區,1,32,0.14
680,2023-03-15,高雄市,梓官區,1,31,0.57
721,2023-03-14,高雄市,梓官區,1,30,0.43
853,2023-03-11,高雄市,梓官區,2,29,0.43
1092,2023-03-06,高雄市,梓官區,1,27,0.14
1708,2023-02-23,高雄市,梓官區,1,26,0.14
2307,2023-02-13,高雄市,梓官區,1,25,0.29
2711,2023-02-07,高雄市,梓官區,1,24,0.14
3196,2023-01-30,高雄市,梓官區,1,23,0.29
3524,2023-01-24,高雄市,梓官區,1,22,0.14
4817,2022-12-29,高雄市,梓官區,1,21,0.14
6293,2022-11-21,高雄市,梓官區,1,20,0.14
6698,2022-11-13,高雄市,梓官區,1,19,0.29
6884,2022-11-10,高雄市,梓官區,1,18,0.14
7346,2022-11-02,高雄市,梓官區,1,17,0.14
7887,2022-10-25,高雄市,梓官區,1,16,0.29
8030,2022-10-23,高雄市,梓官區,1,15,0.29
8460,2022-10-17,高雄市,梓官區,1,14,0.14
9134,2022-10-07,高雄市,梓官區,1,13,0.29
9417,2022-10-03,高雄市,梓官區,1,12,0.14
10714,2022-09-10,高雄市,梓官區,1,11,0.14
13070,2022-07-19,高雄市,梓官區,1,10,0.14
13680,2022-07-10,高雄市,梓官區,1,9,0.14
14343,2022-07-02,高雄市,梓官區,1,8,0.29
14832,2022-06-27,高雄市,梓官區,1,7,0.43
15026,2022-06-25,高雄市,梓官區,1,6,0.29
15339,2022-06-22,高雄市,梓官區,1,5,0.29
15797,2022-06-18,高雄市,梓官區,1,4,0.29
16551,2022-06-12,高雄市,梓官區,1,3,0.29
17169,2022-06-07,高雄市,梓官區,1,2,0.14
18024,2022-05-31,高雄市,梓官區,1,1,0.14
