UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
239,2023-06-14,高雄市,梓官區,3,14127,0.43
576,2023-03-21,高雄市,梓官區,2,14124,13.00
825,2023-03-20,高雄市,梓官區,8,14122,15.29
1136,2023-03-19,高雄市,梓官區,6,14114,17.29
1468,2023-03-18,高雄市,梓官區,23,14108,18.29
1819,2023-03-17,高雄市,梓官區,10,14085,16.71
2168,2023-03-16,高雄市,梓官區,20,14075,16.86
2522,2023-03-15,高雄市,梓官區,22,14055,15.71
2873,2023-03-14,高雄市,梓官區,18,14033,13.29
3230,2023-03-13,高雄市,梓官區,22,14015,14.43
3582,2023-03-12,高雄市,梓官區,13,13993,13.71
3935,2023-03-11,高雄市,梓官區,12,13980,13.14
4287,2023-03-10,高雄市,梓官區,11,13968,15.71
4643,2023-03-09,高雄市,梓官區,12,13957,16.57
4999,2023-03-08,高雄市,梓官區,5,13945,19.71
5353,2023-03-07,高雄市,梓官區,26,13940,21.14
5719,2023-03-06,高雄市,梓官區,17,13914,20.00
6073,2023-03-05,高雄市,梓官區,9,13897,19.14
6416,2023-03-04,高雄市,梓官區,30,13888,19.57
6771,2023-03-03,高雄市,梓官區,17,13858,20.71
7133,2023-03-02,高雄市,梓官區,34,13841,21.43
7498,2023-03-01,高雄市,梓官區,15,13807,20.86
7869,2023-02-28,高雄市,梓官區,18,13792,21.57
8231,2023-02-27,高雄市,梓官區,11,13774,21.43
8577,2023-02-26,高雄市,梓官區,12,13763,22.57
8937,2023-02-25,高雄市,梓官區,38,13751,23.43
9304,2023-02-24,高雄市,梓官區,22,13713,21.57
9669,2023-02-23,高雄市,梓官區,30,13691,20.86
10040,2023-02-22,高雄市,梓官區,20,13661,19.43
10413,2023-02-21,高雄市,梓官區,17,13641,19.14
10785,2023-02-20,高雄市,梓官區,19,13624,19.86
11155,2023-02-19,高雄市,梓官區,18,13605,21.43
11519,2023-02-18,高雄市,梓官區,25,13587,22.14
11887,2023-02-17,高雄市,梓官區,17,13562,22.29
12260,2023-02-16,高雄市,梓官區,20,13545,24.29
12636,2023-02-15,高雄市,梓官區,18,13525,27.29
13011,2023-02-14,高雄市,梓官區,22,13507,29.29
13382,2023-02-13,高雄市,梓官區,30,13485,29.57
13756,2023-02-12,高雄市,梓官區,23,13455,30.00
14118,2023-02-11,高雄市,梓官區,26,13432,29.29
14488,2023-02-10,高雄市,梓官區,31,13406,28.57
14861,2023-02-09,高雄市,梓官區,41,13375,27.29
15242,2023-02-08,高雄市,梓官區,32,13334,26.00
15620,2023-02-07,高雄市,梓官區,24,13302,25.14
16000,2023-02-06,高雄市,梓官區,33,13278,25.29
16375,2023-02-05,高雄市,梓官區,18,13245,26.00
16749,2023-02-04,高雄市,梓官區,21,13227,27.57
17128,2023-02-03,高雄市,梓官區,22,13206,30.86
17515,2023-02-02,高雄市,梓官區,32,13184,32.86
17895,2023-02-01,高雄市,梓官區,26,13152,30.71
18277,2023-01-31,高雄市,梓官區,25,13126,31.86
18662,2023-01-30,高雄市,梓官區,38,13101,30.00
19047,2023-01-29,高雄市,梓官區,29,13063,26.43
19425,2023-01-28,高雄市,梓官區,44,13034,25.14
19801,2023-01-27,高雄市,梓官區,36,12990,23.14
20180,2023-01-26,高雄市,梓官區,17,12954,20.71
20551,2023-01-25,高雄市,梓官區,34,12937,22.43
20921,2023-01-24,高雄市,梓官區,12,12903,20.14
21289,2023-01-23,高雄市,梓官區,13,12891,21.14
21661,2023-01-22,高雄市,梓官區,20,12878,22.00
22028,2023-01-21,高雄市,梓官區,30,12858,21.29
22398,2023-01-20,高雄市,梓官區,19,12828,21.29
22766,2023-01-19,高雄市,梓官區,29,12809,22.00
23137,2023-01-18,高雄市,梓官區,18,12780,21.57
23504,2023-01-17,高雄市,梓官區,19,12762,22.14
23872,2023-01-16,高雄市,梓官區,19,12743,24.00
24246,2023-01-15,高雄市,梓官區,15,12724,27.71
24613,2023-01-14,高雄市,梓官區,30,12709,28.00
24981,2023-01-13,高雄市,梓官區,24,12679,28.57
25353,2023-01-12,高雄市,梓官區,26,12655,31.71
25724,2023-01-11,高雄市,梓官區,22,12629,34.43
26102,2023-01-10,高雄市,梓官區,32,12607,37.00
26476,2023-01-09,高雄市,梓官區,45,12575,39.43
26845,2023-01-08,高雄市,梓官區,17,12530,36.14
27207,2023-01-07,高雄市,梓官區,34,12513,35.43
27581,2023-01-06,高雄市,梓官區,46,12479,34.71
27960,2023-01-05,高雄市,梓官區,45,12433,30.71
28340,2023-01-04,高雄市,梓官區,40,12388,29.00
28722,2023-01-03,高雄市,梓官區,49,12348,26.14
29101,2023-01-02,高雄市,梓官區,22,12299,23.57
29471,2023-01-01,高雄市,梓官區,12,12277,25.29
29831,2022-12-31,高雄市,梓官區,29,12265,25.14
30198,2022-12-30,高雄市,梓官區,18,12236,24.57
30572,2022-12-29,高雄市,梓官區,33,12218,25.86
30944,2022-12-28,高雄市,梓官區,20,12185,25.57
31317,2022-12-27,高雄市,梓官區,31,12165,25.43
31691,2022-12-26,高雄市,梓官區,34,12134,25.29
32054,2022-12-25,高雄市,梓官區,11,12100,23.86
