UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
198,2023-06-14,高雄市,楠梓區,13,90696,1.86
401,2023-03-23,高雄市,楠梓區,1,90683,35.00
441,2023-03-22,高雄市,楠梓區,1,90682,47.14
554,2023-03-21,高雄市,楠梓區,4,90681,60.57
770,2023-03-20,高雄市,楠梓區,35,90677,75.14
1073,2023-03-19,高雄市,楠梓區,59,90642,85.71
1401,2023-03-18,高雄市,楠梓區,75,90583,86.00
1744,2023-03-17,高雄市,楠梓區,70,90508,87.14
2098,2023-03-16,高雄市,楠梓區,86,90438,92.00
2450,2023-03-15,高雄市,楠梓區,95,90352,96.14
2799,2023-03-14,高雄市,楠梓區,106,90257,97.14
3157,2023-03-13,高雄市,楠梓區,109,90151,97.57
3512,2023-03-12,高雄市,楠梓區,61,90042,99.71
3862,2023-03-11,高雄市,楠梓區,83,89981,102.00
4212,2023-03-10,高雄市,楠梓區,104,89898,107.14
4570,2023-03-09,高雄市,楠梓區,115,89794,109.43
4926,2023-03-08,高雄市,楠梓區,102,89679,112.00
5282,2023-03-07,高雄市,楠梓區,109,89577,123.43
5645,2023-03-06,高雄市,楠梓區,124,89468,126.86
6004,2023-03-05,高雄市,楠梓區,77,89344,124.86
6344,2023-03-04,高雄市,楠梓區,119,89267,121.29
6699,2023-03-03,高雄市,楠梓區,120,89148,122.86
7058,2023-03-02,高雄市,楠梓區,133,89028,123.86
7423,2023-03-01,高雄市,楠梓區,182,88895,123.86
7793,2023-02-28,高雄市,楠梓區,133,88713,119.14
8159,2023-02-27,高雄市,楠梓區,110,88580,128.14
8510,2023-02-26,高雄市,楠梓區,52,88470,139.00
8861,2023-02-25,高雄市,楠梓區,130,88418,149.86
9229,2023-02-24,高雄市,楠梓區,127,88288,155.57
9592,2023-02-23,高雄市,楠梓區,133,88161,158.71
9963,2023-02-22,高雄市,楠梓區,149,88028,164.00
10337,2023-02-21,高雄市,楠梓區,196,87879,167.00
10707,2023-02-20,高雄市,楠梓區,186,87683,169.71
11084,2023-02-19,高雄市,楠梓區,128,87497,171.86
11445,2023-02-18,高雄市,楠梓區,170,87369,179.00
11811,2023-02-17,高雄市,楠梓區,149,87199,177.29
12185,2023-02-16,高雄市,楠梓區,170,87050,185.71
12559,2023-02-15,高雄市,楠梓區,170,86880,189.86
12932,2023-02-14,高雄市,楠梓區,215,86710,194.29
13304,2023-02-13,高雄市,楠梓區,201,86495,201.57
13682,2023-02-12,高雄市,楠梓區,178,86294,204.57
14040,2023-02-11,高雄市,楠梓區,158,86116,205.00
14411,2023-02-10,高雄市,楠梓區,208,85958,215.43
14785,2023-02-09,高雄市,楠梓區,199,85750,220.86
15163,2023-02-08,高雄市,楠梓區,201,85551,230.71
15541,2023-02-07,高雄市,楠梓區,266,85350,242.14
15920,2023-02-06,高雄市,楠梓區,222,85084,244.57
16298,2023-02-05,高雄市,楠梓區,181,84862,257.71
16670,2023-02-04,高雄市,楠梓區,231,84681,268.57
17050,2023-02-03,高雄市,楠梓區,246,84450,274.29
17435,2023-02-02,高雄市,楠梓區,268,84204,280.29
17817,2023-02-01,高雄市,楠梓區,281,83936,272.00
18196,2023-01-31,高雄市,楠梓區,283,83655,262.71
18581,2023-01-30,高雄市,楠梓區,314,83372,248.00
18967,2023-01-29,高雄市,楠梓區,257,83058,228.57
19345,2023-01-28,高雄市,楠梓區,271,82801,206.86
19721,2023-01-27,高雄市,楠梓區,288,82530,193.14
20102,2023-01-26,高雄市,楠梓區,210,82242,178.00
20475,2023-01-25,高雄市,楠梓區,216,82032,175.57
20843,2023-01-24,高雄市,楠梓區,180,81816,172.14
21216,2023-01-23,高雄市,楠梓區,178,81636,176.57
21584,2023-01-22,高雄市,楠梓區,105,81458,182.29
21950,2023-01-21,高雄市,楠梓區,175,81353,190.29
22323,2023-01-20,高雄市,楠梓區,182,81178,194.86
22689,2023-01-19,高雄市,楠梓區,193,80996,197.29
23061,2023-01-18,高雄市,楠梓區,192,80803,200.00
23430,2023-01-17,高雄市,楠梓區,211,80611,207.43
23795,2023-01-16,高雄市,楠梓區,218,80400,211.43
24172,2023-01-15,高雄市,楠梓區,161,80182,218.29
24537,2023-01-14,高雄市,楠梓區,207,80021,217.86
24903,2023-01-13,高雄市,楠梓區,199,79814,220.86
25273,2023-01-12,高雄市,楠梓區,212,79615,223.57
25648,2023-01-11,高雄市,楠梓區,244,79403,236.29
26023,2023-01-10,高雄市,楠梓區,239,79159,239.71
26397,2023-01-09,高雄市,楠梓區,266,78920,241.43
26771,2023-01-08,高雄市,楠梓區,158,78654,231.57
27132,2023-01-07,高雄市,楠梓區,228,78496,231.43
27504,2023-01-06,高雄市,楠梓區,218,78268,229.57
27881,2023-01-05,高雄市,楠梓區,301,78050,230.14
28260,2023-01-04,高雄市,楠梓區,268,77749,221.57
28641,2023-01-03,高雄市,楠梓區,251,77481,222.57
29022,2023-01-02,高雄市,楠梓區,197,77230,224.29
29395,2023-01-01,高雄市,楠梓區,157,77033,224.43
29756,2022-12-31,高雄市,楠梓區,215,76876,222.29
30122,2022-12-30,高雄市,楠梓區,222,76661,218.43
30496,2022-12-29,高雄市,楠梓區,241,76439,212.86
30868,2022-12-28,高雄市,楠梓區,275,76198,201.71
31237,2022-12-27,高雄市,楠梓區,263,75923,185.29
31613,2022-12-26,高雄市,楠梓區,198,75660,178.86
31981,2022-12-25,高雄市,楠梓區,142,75462,175.86
32339,2022-12-24,高雄市,楠梓區,188,75320,172.00
32698,2022-12-23,高雄市,楠梓區,183,75132,164.57
33064,2022-12-22,高雄市,楠梓區,163,74949,157.86
33430,2022-12-21,高雄市,楠梓區,160,74786,156.86
33798,2022-12-20,高雄市,楠梓區,218,74626,159.43
34163,2022-12-19,高雄市,楠梓區,177,74408,153.86
34533,2022-12-18,高雄市,楠梓區,115,74231,155.29
34881,2022-12-17,高雄市,楠梓區,136,74116,154.29
35243,2022-12-16,高雄市,楠梓區,136,73980,153.57
35607,2022-12-15,高雄市,楠梓區,156,73844,151.57
35975,2022-12-14,高雄市,楠梓區,178,73688,148.14
36335,2022-12-13,高雄市,楠梓區,179,73510,148.86
36714,2022-12-12,高雄市,楠梓區,187,73331,152.00
37078,2022-12-11,高雄市,楠梓區,108,73144,152.14
37435,2022-12-10,高雄市,楠梓區,131,73036,151.14
37804,2022-12-09,高雄市,楠梓區,122,72905,153.71
38169,2022-12-08,高雄市,楠梓區,132,72783,158.86
38542,2022-12-07,高雄市,楠梓區,183,72651,163.29
38913,2022-12-06,高雄市,楠梓區,201,72468,162.14
39285,2022-12-05,高雄市,楠梓區,188,72267,163.43
39664,2022-12-04,高雄市,楠梓區,101,72079,162.57
40028,2022-12-03,高雄市,楠梓區,149,71978,166.00
40399,2022-12-02,高雄市,楠梓區,158,71829,166.00
40764,2022-12-01,高雄市,楠梓區,163,71671,163.57
41137,2022-11-30,高雄市,楠梓區,175,71508,162.71
41510,2022-11-29,高雄市,楠梓區,210,71333,159.14
41890,2022-11-28,高雄市,楠梓區,182,71123,157.14
42266,2022-11-27,高雄市,楠梓區,125,70941,159.43
42623,2022-11-26,高雄市,楠梓區,149,70816,156.86
42984,2022-11-25,高雄市,楠梓區,141,70667,158.00
43353,2022-11-24,高雄市,楠梓區,157,70526,164.57
43722,2022-11-23,高雄市,楠梓區,150,70369,171.43
44096,2022-11-22,高雄市,楠梓區,196,70219,186.86
44471,2022-11-21,高雄市,楠梓區,198,70023,196.43
44851,2022-11-20,高雄市,楠梓區,107,69825,194.14
45217,2022-11-19,高雄市,楠梓區,157,69718,208.57
45588,2022-11-18,高雄市,楠梓區,187,69561,218.00
45962,2022-11-17,高雄市,楠梓區,205,69374,219.43
46335,2022-11-16,高雄市,楠梓區,258,69169,224.86
