UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
852,2023-03-11,高雄市,橋頭區,1,36,0.29
1043,2023-03-07,高雄市,橋頭區,1,35,0.43
1205,2023-03-04,高雄市,橋頭區,1,34,0.29
1362,2023-03-01,高雄市,橋頭區,1,33,0.14
2948,2023-02-03,高雄市,橋頭區,1,32,0.43
3021,2023-02-02,高雄市,橋頭區,1,31,0.29
3262,2023-01-29,高雄市,橋頭區,1,30,0.14
3669,2023-01-21,高雄市,橋頭區,1,29,0.14
4815,2022-12-29,高雄市,橋頭區,1,28,0.14
5081,2022-12-22,高雄市,橋頭區,1,27,0.29
5159,2022-12-20,高雄市,橋頭區,1,26,0.14
6498,2022-11-17,高雄市,橋頭區,1,25,0.43
6761,2022-11-12,高雄市,橋頭區,2,24,0.43
6881,2022-11-10,高雄市,橋頭區,1,22,0.14
8458,2022-10-17,高雄市,橋頭區,1,21,0.14
9014,2022-10-09,高雄市,橋頭區,1,20,0.43
9267,2022-10-05,高雄市,橋頭區,1,19,0.29
9416,2022-10-03,高雄市,橋頭區,1,18,0.14
10816,2022-09-08,高雄市,橋頭區,1,17,0.29
11066,2022-09-02,高雄市,橋頭區,1,16,0.29
11138,2022-08-31,高雄市,橋頭區,1,15,0.14
12717,2022-07-25,高雄市,橋頭區,1,14,0.14
13327,2022-07-15,高雄市,橋頭區,1,13,0.29
13748,2022-07-09,高雄市,橋頭區,1,12,0.14
14726,2022-06-28,高雄市,橋頭區,1,11,0.57
14929,2022-06-26,高雄市,橋頭區,1,10,0.43
15116,2022-06-24,高雄市,橋頭區,1,9,0.43
15337,2022-06-22,高雄市,橋頭區,1,8,0.29
15674,2022-06-19,高雄市,橋頭區,1,7,0.14
16678,2022-06-11,高雄市,橋頭區,1,6,0.57
16920,2022-06-09,高雄市,橋頭區,1,5,0.57
17167,2022-06-07,高雄市,橋頭區,1,4,0.43
17298,2022-06-06,高雄市,橋頭區,1,3,0.29
17531,2022-06-04,高雄市,橋頭區,1,2,0.29
18147,2022-05-30,高雄市,橋頭區,1,1,0.14
