UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
443,2023-03-22,高雄市,橋頭區,1,17304,8.57
559,2023-03-21,高雄市,橋頭區,1,17303,10.43
788,2023-03-20,高雄市,橋頭區,8,17302,12.57
1090,2023-03-19,高雄市,橋頭區,11,17294,15.29
1423,2023-03-18,高雄市,橋頭區,14,17283,15.71
1768,2023-03-17,高雄市,橋頭區,11,17269,18.29
2120,2023-03-16,高雄市,橋頭區,14,17258,19.43
2473,2023-03-15,高雄市,橋頭區,14,17244,20.00
2823,2023-03-14,高雄市,橋頭區,16,17230,21.86
3181,2023-03-13,高雄市,橋頭區,27,17214,21.43
3536,2023-03-12,高雄市,橋頭區,14,17187,21.14
3886,2023-03-11,高雄市,橋頭區,32,17173,20.14
4235,2023-03-10,高雄市,橋頭區,19,17141,17.86
4593,2023-03-09,高雄市,橋頭區,18,17122,17.57
4949,2023-03-08,高雄市,橋頭區,27,17104,17.57
5305,2023-03-07,高雄市,橋頭區,13,17077,20.29
5667,2023-03-06,高雄市,橋頭區,25,17064,20.86
6026,2023-03-05,高雄市,橋頭區,7,17039,21.71
6367,2023-03-04,高雄市,橋頭區,16,17032,23.57
6721,2023-03-03,高雄市,橋頭區,17,17016,24.00
7082,2023-03-02,高雄市,橋頭區,18,16999,25.71
7445,2023-03-01,高雄市,橋頭區,46,16981,27.00
7816,2023-02-28,高雄市,橋頭區,17,16935,24.00
8182,2023-02-27,高雄市,橋頭區,31,16918,26.71
8533,2023-02-26,高雄市,橋頭區,20,16887,29.14
8885,2023-02-25,高雄市,橋頭區,19,16867,30.29
9254,2023-02-24,高雄市,橋頭區,29,16848,31.14
9617,2023-02-23,高雄市,橋頭區,27,16819,32.14
9987,2023-02-22,高雄市,橋頭區,25,16792,31.29
10360,2023-02-21,高雄市,橋頭區,36,16767,32.14
10732,2023-02-20,高雄市,橋頭區,48,16731,34.00
11106,2023-02-19,高雄市,橋頭區,28,16683,31.86
11468,2023-02-18,高雄市,橋頭區,25,16655,31.14
11833,2023-02-17,高雄市,橋頭區,36,16630,33.00
12209,2023-02-16,高雄市,橋頭區,21,16594,32.43
12583,2023-02-15,高雄市,橋頭區,31,16573,34.29
12957,2023-02-14,高雄市,橋頭區,49,16542,38.43
13328,2023-02-13,高雄市,橋頭區,33,16493,38.86
13706,2023-02-12,高雄市,橋頭區,23,16460,40.43
14065,2023-02-11,高雄市,橋頭區,38,16437,42.57
14434,2023-02-10,高雄市,橋頭區,32,16399,44.14
14809,2023-02-09,高雄市,橋頭區,34,16367,47.00
15188,2023-02-08,高雄市,橋頭區,60,16333,47.71
15565,2023-02-07,高雄市,橋頭區,52,16273,47.29
15945,2023-02-06,高雄市,橋頭區,44,16221,48.29
16321,2023-02-05,高雄市,橋頭區,38,16177,52.71
16695,2023-02-04,高雄市,橋頭區,49,16139,52.00
17074,2023-02-03,高雄市,橋頭區,52,16090,52.14
17460,2023-02-02,高雄市,橋頭區,39,16038,53.29
17841,2023-02-01,高雄市,橋頭區,57,15999,53.71
18221,2023-01-31,高雄市,橋頭區,59,15942,51.14
18606,2023-01-30,高雄市,橋頭區,75,15883,45.57
18992,2023-01-29,高雄市,橋頭區,33,15808,39.14
19370,2023-01-28,高雄市,橋頭區,50,15775,37.14
19746,2023-01-27,高雄市,橋頭區,60,15725,34.43
20127,2023-01-26,高雄市,橋頭區,42,15665,33.71
20499,2023-01-25,高雄市,橋頭區,39,15623,32.14
20867,2023-01-24,高雄市,橋頭區,20,15584,31.57
21239,2023-01-23,高雄市,橋頭區,30,15564,35.43
21609,2023-01-22,高雄市,橋頭區,19,15534,36.57
21975,2023-01-21,高雄市,橋頭區,31,15515,37.71
22348,2023-01-20,高雄市,橋頭區,55,15484,40.00
22713,2023-01-19,高雄市,橋頭區,31,15429,40.14
23086,2023-01-18,高雄市,橋頭區,35,15398,42.71
23452,2023-01-17,高雄市,橋頭區,47,15363,43.71
23819,2023-01-16,高雄市,橋頭區,38,15316,45.00
24197,2023-01-15,高雄市,橋頭區,27,15278,48.71
24560,2023-01-14,高雄市,橋頭區,47,15251,49.14
24927,2023-01-13,高雄市,橋頭區,56,15204,51.57
25298,2023-01-12,高雄市,橋頭區,49,15148,49.43
25672,2023-01-11,高雄市,橋頭區,42,15099,50.71
26048,2023-01-10,高雄市,橋頭區,56,15057,51.29
26421,2023-01-09,高雄市,橋頭區,64,15001,52.43
26795,2023-01-08,高雄市,橋頭區,30,14937,51.29
27156,2023-01-07,高雄市,橋頭區,64,14907,51.43
27529,2023-01-06,高雄市,橋頭區,41,14843,48.29
27906,2023-01-05,高雄市,橋頭區,58,14802,47.29
28284,2023-01-04,高雄市,橋頭區,46,14744,45.29
28666,2023-01-03,高雄市,橋頭區,64,14698,45.86
29046,2023-01-02,高雄市,橋頭區,56,14634,43.00
29419,2023-01-01,高雄市,橋頭區,31,14578,41.57
29779,2022-12-31,高雄市,橋頭區,42,14547,39.71
30146,2022-12-30,高雄市,橋頭區,34,14505,38.14
30520,2022-12-29,高雄市,橋頭區,44,14471,39.00
30892,2022-12-28,高雄市,橋頭區,50,14427,38.00
31261,2022-12-27,高雄市,橋頭區,44,14377,36.71
31636,2022-12-26,高雄市,橋頭區,46,14333,36.86
32005,2022-12-25,高雄市,橋頭區,18,14287,34.57
32363,2022-12-24,高雄市,橋頭區,31,14269,34.86
32722,2022-12-23,高雄市,橋頭區,40,14238,36.29
33089,2022-12-22,高雄市,橋頭區,37,14198,36.14
33454,2022-12-21,高雄市,橋頭區,41,14161,34.43
33822,2022-12-20,高雄市,橋頭區,45,14120,34.43
34187,2022-12-19,高雄市,橋頭區,30,14075,32.86
34555,2022-12-18,高雄市,橋頭區,20,14045,35.29
34906,2022-12-17,高雄市,橋頭區,41,14025,34.71
35267,2022-12-16,高雄市,橋頭區,39,13984,34.29
35630,2022-12-15,高雄市,橋頭區,25,13945,33.29
36000,2022-12-14,高雄市,橋頭區,41,13920,36.14
36360,2022-12-13,高雄市,橋頭區,34,13879,35.71
36738,2022-12-12,高雄市,橋頭區,47,13845,34.86
37102,2022-12-11,高雄市,橋頭區,16,13798,34.29
37460,2022-12-10,高雄市,橋頭區,38,13782,34.57
37827,2022-12-09,高雄市,橋頭區,32,13744,32.29
38193,2022-12-08,高雄市,橋頭區,45,13712,32.71
38567,2022-12-07,高雄市,橋頭區,38,13667,30.57
38935,2022-12-06,高雄市,橋頭區,28,13629,30.57
39310,2022-12-05,高雄市,橋頭區,43,13601,33.14
39687,2022-12-04,高雄市,橋頭區,18,13558,33.71
40053,2022-12-03,高雄市,橋頭區,22,13540,33.57
40422,2022-12-02,高雄市,橋頭區,35,13518,34.43
40788,2022-12-01,高雄市,橋頭區,30,13483,34.00
41161,2022-11-30,高雄市,橋頭區,38,13453,34.86
41534,2022-11-29,高雄市,橋頭區,46,13415,34.00
41913,2022-11-28,高雄市,橋頭區,47,13369,33.29
42291,2022-11-27,高雄市,橋頭區,17,13322,35.29
42646,2022-11-26,高雄市,橋頭區,28,13305,36.00
43008,2022-11-25,高雄市,橋頭區,32,13277,38.00
43377,2022-11-24,高雄市,橋頭區,36,13245,39.86
43746,2022-11-23,高雄市,橋頭區,32,13209,42.00
44119,2022-11-22,高雄市,橋頭區,41,13177,44.14
44496,2022-11-21,高雄市,橋頭區,61,13136,50.00
44875,2022-11-20,高雄市,橋頭區,22,13075,47.29
45242,2022-11-19,高雄市,橋頭區,42,13053,50.14
45613,2022-11-18,高雄市,橋頭區,45,13011,50.29
45986,2022-11-17,高雄市,橋頭區,51,12966,52.14
46360,2022-11-16,高雄市,橋頭區,47,12915,52.14
46741,2022-11-15,高雄市,橋頭區,82,12868,49.86
47120,2022-11-14,高雄市,橋頭區,42,12786,47.29
47498,2022-11-13,高雄市,橋頭區,42,12744,51.29
