UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
874,2023-06-14,高雄市,永安區,25-29,366
875,2023-06-14,高雄市,永安區,35-39,348
876,2023-03-19,高雄市,永安區,40-44,368
877,2023-03-18,高雄市,永安區,70+,330
878,2023-03-18,高雄市,永安區,65-69,185
879,2023-03-17,高雄市,永安區,60-64,232
880,2023-03-16,高雄市,永安區,50-54,250
881,2023-03-15,高雄市,永安區,30-34,363
882,2023-03-15,高雄市,永安區,45-49,300
883,2023-03-13,高雄市,永安區,20-24,283
884,2023-03-11,高雄市,永安區,15-19,234
885,2023-03-09,高雄市,永安區,10-14,174
886,2023-03-08,高雄市,永安區,55-59,227
887,2023-03-06,高雄市,永安區,5-9,207
888,2023-03-04,高雄市,永安區,4,36
889,2023-02-06,高雄市,永安區,1,35
890,2023-02-06,高雄市,永安區,3,31
891,2023-02-05,高雄市,永安區,2,24
892,2023-01-31,高雄市,永安區,0,29
