UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
254,2023-06-14,高雄市,永安區,2,4022,0.29
1176,2023-03-19,高雄市,永安區,1,4020,1.71
1509,2023-03-18,高雄市,永安區,2,4019,1.71
1863,2023-03-17,高雄市,永安區,1,4017,1.57
2209,2023-03-16,高雄市,永安區,2,4016,1.43
2562,2023-03-15,高雄市,永安區,3,4014,2.14
2918,2023-03-14,高雄市,永安區,2,4011,2.86
3277,2023-03-13,高雄市,永安區,1,4009,3.14
3624,2023-03-12,高雄市,永安區,1,4008,3.57
3980,2023-03-11,高雄市,永安區,1,4007,3.86
4685,2023-03-09,高雄市,永安區,7,4006,4.71
5044,2023-03-08,高雄市,永安區,8,3999,4.57
5399,2023-03-07,高雄市,永安區,4,3991,4.29
5766,2023-03-06,高雄市,永安區,4,3987,4.14
6110,2023-03-05,高雄市,永安區,3,3983,4.43
6461,2023-03-04,高雄市,永安區,1,3980,4.43
6815,2023-03-03,高雄市,永安區,6,3979,4.43
7180,2023-03-02,高雄市,永安區,6,3973,3.86
7545,2023-03-01,高雄市,永安區,6,3967,3.71
7914,2023-02-28,高雄市,永安區,3,3961,3.57
8274,2023-02-27,高雄市,永安區,6,3958,3.57
8622,2023-02-26,高雄市,永安區,3,3952,3.71
8986,2023-02-25,高雄市,永安區,1,3949,3.86
9349,2023-02-24,高雄市,永安區,2,3948,4.29
9716,2023-02-23,高雄市,永安區,5,3946,4.43
10091,2023-02-22,高雄市,永安區,5,3941,4.00
10462,2023-02-21,高雄市,永安區,3,3936,3.71
10835,2023-02-20,高雄市,永安區,7,3933,3.29
11197,2023-02-19,高雄市,永安區,4,3926,2.57
11565,2023-02-18,高雄市,永安區,4,3922,2.86
11937,2023-02-17,高雄市,永安區,3,3918,2.71
12311,2023-02-16,高雄市,永安區,2,3915,3.43
12683,2023-02-15,高雄市,永安區,3,3913,3.86
13434,2023-02-13,高雄市,永安區,2,3910,5.14
13800,2023-02-12,高雄市,永安區,6,3908,7.57
14169,2023-02-11,高雄市,永安區,3,3902,7.71
14536,2023-02-10,高雄市,永安區,8,3899,8.71
14911,2023-02-09,高雄市,永安區,5,3891,10.00
15290,2023-02-08,高雄市,永安區,4,3886,10.57
15671,2023-02-07,高雄市,永安區,8,3882,11.29
16050,2023-02-06,高雄市,永安區,19,3874,12.43
16423,2023-02-05,高雄市,永安區,7,3855,11.57
16800,2023-02-04,高雄市,永安區,10,3848,11.29
17180,2023-02-03,高雄市,永安區,17,3838,11.71
17566,2023-02-02,高雄市,永安區,9,3821,10.86
17946,2023-02-01,高雄市,永安區,9,3812,9.86
18329,2023-01-31,高雄市,永安區,16,3803,9.29
18714,2023-01-30,高雄市,永安區,13,3787,7.71
19098,2023-01-29,高雄市,永安區,5,3774,6.29
19476,2023-01-28,高雄市,永安區,13,3769,6.00
19852,2023-01-27,高雄市,永安區,11,3756,4.57
20229,2023-01-26,高雄市,永安區,2,3745,4.86
20601,2023-01-25,高雄市,永安區,5,3743,5.29
20970,2023-01-24,高雄市,永安區,5,3738,5.14
21338,2023-01-23,高雄市,永安區,3,3733,4.86
21707,2023-01-22,高雄市,永安區,3,3730,5.86
22077,2023-01-21,高雄市,永安區,3,3727,5.86
22444,2023-01-20,高雄市,永安區,13,3724,6.43
22812,2023-01-19,高雄市,永安區,5,3711,5.14
23184,2023-01-18,高雄市,永安區,4,3706,5.86
23550,2023-01-17,高雄市,永安區,3,3702,5.71
23923,2023-01-16,高雄市,永安區,10,3699,6.71
24295,2023-01-15,高雄市,永安區,3,3689,7.43
24661,2023-01-14,高雄市,永安區,7,3686,8.29
25029,2023-01-13,高雄市,永安區,4,3679,8.57
25403,2023-01-12,高雄市,永安區,10,3675,8.86
25776,2023-01-11,高雄市,永安區,3,3665,8.43
26150,2023-01-10,高雄市,永安區,10,3662,9.86
26527,2023-01-09,高雄市,永安區,15,3652,9.14
26893,2023-01-08,高雄市,永安區,9,3637,9.57
27258,2023-01-07,高雄市,永安區,9,3628,9.71
27630,2023-01-06,高雄市,永安區,6,3619,10.71
28011,2023-01-05,高雄市,永安區,7,3613,11.57
28391,2023-01-04,高雄市,永安區,13,3606,13.00
28772,2023-01-03,高雄市,永安區,5,3593,13.71
29147,2023-01-02,高雄市,永安區,18,3588,16.14
29513,2023-01-01,高雄市,永安區,10,3570,17.00
29880,2022-12-31,高雄市,永安區,16,3560,16.14
30247,2022-12-30,高雄市,永安區,12,3544,14.86
30619,2022-12-29,高雄市,永安區,17,3532,14.43
30991,2022-12-28,高雄市,永安區,18,3515,13.43
31366,2022-12-27,高雄市,永安區,22,3497,12.29
31740,2022-12-26,高雄市,永安區,24,3475,10.43
32098,2022-12-25,高雄市,永安區,4,3451,8.29
32458,2022-12-24,高雄市,永安區,7,3447,8.71
32818,2022-12-23,高雄市,永安區,9,3440,10.14
33185,2022-12-22,高雄市,永安區,10,3431,10.71
33556,2022-12-21,高雄市,永安區,10,3421,11.43
33921,2022-12-20,高雄市,永安區,9,3411,11.86
34288,2022-12-19,高雄市,永安區,9,3402,12.71
34642,2022-12-18,高雄市,永安區,7,3393,14.00
35003,2022-12-17,高雄市,永安區,17,3386,13.14
35366,2022-12-16,高雄市,永安區,13,3369,11.14
35732,2022-12-15,高雄市,永安區,15,3356,10.29
36092,2022-12-14,高雄市,永安區,13,3341,9.14
36463,2022-12-13,高雄市,永安區,15,3328,8.29
36840,2022-12-12,高雄市,永安區,18,3313,7.14
37192,2022-12-11,高雄市,永安區,1,3295,5.71
37559,2022-12-10,高雄市,永安區,3,3294,6.14
37925,2022-12-09,高雄市,永安區,7,3291,6.43
38296,2022-12-08,高雄市,永安區,7,3284,6.43
38669,2022-12-07,高雄市,永安區,7,3277,6.14
39036,2022-12-06,高雄市,永安區,7,3270,6.14
39413,2022-12-05,高雄市,永安區,8,3263,5.57
39785,2022-12-04,高雄市,永安區,4,3255,5.57
40154,2022-12-03,高雄市,永安區,5,3251,5.29
40522,2022-12-02,高雄市,永安區,7,3246,5.71
40889,2022-12-01,高雄市,永安區,5,3239,5.43
41262,2022-11-30,高雄市,永安區,7,3234,5.43
41638,2022-11-29,高雄市,永安區,3,3227,5.57
42017,2022-11-28,高雄市,永安區,8,3224,6.57
42386,2022-11-27,高雄市,永安區,2,3216,6.00
42739,2022-11-26,高雄市,永安區,8,3214,6.86
43109,2022-11-25,高雄市,永安區,5,3206,6.29
43479,2022-11-24,高雄市,永安區,5,3201,6.57
43847,2022-11-23,高雄市,永安區,8,3196,6.57
44222,2022-11-22,高雄市,永安區,10,3188,6.71
44600,2022-11-21,高雄市,永安區,4,3178,6.29
44972,2022-11-20,高雄市,永安區,8,3174,7.00
45341,2022-11-19,高雄市,永安區,4,3166,6.29
45711,2022-11-18,高雄市,永安區,7,3162,6.14
46084,2022-11-17,高雄市,永安區,5,3155,5.71
46462,2022-11-16,高雄市,永安區,9,3150,5.86
46843,2022-11-15,高雄市,永安區,7,3141,6.14
47222,2022-11-14,高雄市,永安區,9,3134,6.43
47598,2022-11-13,高雄市,永安區,3,3125,7.00
47971,2022-11-12,高雄市,永安區,3,3122,8.00
48351,2022-11-11,高雄市,永安區,4,3119,10.00
48732,2022-11-10,高雄市,永安區,6,3115,10.86
49115,2022-11-09,高雄市,永安區,11,3109,11.86
49501,2022-11-08,高雄市,永安區,9,3098,12.14
49885,2022-11-07,高雄市,永安區,13,3089,11.86
50258,2022-11-06,高雄市,永安區,10,3076,11.86
50632,2022-11-05,高雄市,永安區,17,3066,11.57
51014,2022-11-04,高雄市,永安區,10,3049,11.57
51399,2022-11-03,高雄市,永安區,13,3039,12.00
51780,2022-11-02,高雄市,永安區,13,3026,13.57
52168,2022-11-01,高雄市,永安區,7,3013,14.29
52549,2022-10-31,高雄市,永安區,13,3006,16.00
52931,2022-10-30,高雄市,永安區,8,2993,17.00
53310,2022-10-29,高雄市,永安區,17,2985,17.71
53694,2022-10-28,高雄市,永安區,13,2968,18.14
54080,2022-10-27,高雄市,永安區,24,2955,18.86
54464,2022-10-26,高雄市,永安區,18,2931,17.86
54852,2022-10-25,高雄市,永安區,19,2913,18.29
55242,2022-10-24,高雄市,永安區,20,2894,18.57
55624,2022-10-23,高雄市,永安區,13,2874,20.00
56007,2022-10-22,高雄市,永安區,20,2861,20.29
56395,2022-10-21,高雄市,永安區,18,2841,19.43
56781,2022-10-20,高雄市,永安區,17,2823,20.00
57168,2022-10-19,高雄市,永安區,21,2806,22.00
57556,2022-10-18,高雄市,永安區,21,2785,21.29
57946,2022-10-17,高雄市,永安區,30,2764,20.43
58334,2022-10-16,高雄市,永安區,15,2734,18.43
58720,2022-10-15,高雄市,永安區,14,2719,18.14
59106,2022-10-14,高雄市,永安區,22,2705,19.43
59495,2022-10-13,高雄市,永安區,31,2683,18.57
59886,2022-10-12,高雄市,永安區,16,2652,17.43
60276,2022-10-11,高雄市,永安區,15,2636,16.57
60666,2022-10-10,高雄市,永安區,16,2621,15.00
61047,2022-10-09,高雄市,永安區,13,2605,15.00
61437,2022-10-08,高雄市,永安區,23,2592,14.29
61827,2022-10-07,高雄市,永安區,16,2569,12.29
62214,2022-10-06,高雄市,永安區,23,2553,11.86
62604,2022-10-05,高雄市,永安區,10,2530,11.29
62991,2022-10-04,高雄市,永安區,4,2520,12.29
63380,2022-10-03,高雄市,永安區,16,2516,13.00
63769,2022-10-02,高雄市,永安區,8,2500,12.57
64152,2022-10-01,高雄市,永安區,9,2492,13.14
64537,2022-09-30,高雄市,永安區,13,2483,14.14
64923,2022-09-29,高雄市,永安區,19,2470,15.57
65311,2022-09-28,高雄市,永安區,17,2451,14.71
65699,2022-09-27,高雄市,永安區,9,2434,14.29
66085,2022-09-26,高雄市,永安區,13,2425,15.00
66472,2022-09-25,高雄市,永安區,12,2412,15.43
66855,2022-09-24,高雄市,永安區,16,2400,14.57
67242,2022-09-23,高雄市,永安區,23,2384,13.86
67629,2022-09-22,高雄市,永安區,13,2361,12.14
68018,2022-09-21,高雄市,永安區,14,2348,11.71
68406,2022-09-20,高雄市,永安區,14,2334,11.14
68797,2022-09-19,高雄市,永安區,16,2320,10.43
69184,2022-09-18,高雄市,永安區,6,2304,10.00
69569,2022-09-17,高雄市,永安區,11,2298,11.00
69956,2022-09-16,高雄市,永安區,11,2287,10.86
70341,2022-09-15,高雄市,永安區,10,2276,11.00
70726,2022-09-14,高雄市,永安區,10,2266,10.00
71114,2022-09-13,高雄市,永安區,9,2256,9.43
71504,2022-09-12,高雄市,永安區,13,2247,9.57
71890,2022-09-11,高雄市,永安區,13,2234,9.00
72272,2022-09-10,高雄市,永安區,10,2221,7.57
