UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
221,2023-06-14,高雄市,湖內區,1,12276,0.14
570,2023-03-21,高雄市,湖內區,2,12275,7.57
809,2023-03-20,高雄市,湖內區,4,12273,9.29
1115,2023-03-19,高雄市,湖內區,3,12269,11.71
1449,2023-03-18,高雄市,湖內區,10,12266,12.00
1796,2023-03-17,高雄市,湖內區,11,12256,12.86
2146,2023-03-16,高雄市,湖內區,13,12245,13.43
2501,2023-03-15,高雄市,湖內區,10,12232,12.29
2850,2023-03-14,高雄市,湖內區,14,12222,12.43
3207,2023-03-13,高雄市,湖內區,21,12208,12.57
3562,2023-03-12,高雄市,湖內區,5,12187,11.57
3912,2023-03-11,高雄市,湖內區,16,12182,12.57
4262,2023-03-10,高雄市,湖內區,15,12166,13.00
4619,2023-03-09,高雄市,湖內區,5,12151,14.14
4975,2023-03-08,高雄市,湖內區,11,12146,16.14
5332,2023-03-07,高雄市,湖內區,15,12135,18.00
5695,2023-03-06,高雄市,湖內區,14,12120,19.00
6051,2023-03-05,高雄市,湖內區,12,12106,20.14
6393,2023-03-04,高雄市,湖內區,19,12094,20.43
6748,2023-03-03,高雄市,湖內區,23,12075,20.71
7109,2023-03-02,高雄市,湖內區,19,12052,19.43
7472,2023-03-01,高雄市,湖內區,24,12033,19.86
7843,2023-02-28,高雄市,湖內區,22,12009,19.29
8209,2023-02-27,高雄市,湖內區,22,11987,19.71
8559,2023-02-26,高雄市,湖內區,14,11965,19.86
8913,2023-02-25,高雄市,湖內區,21,11951,19.29
9281,2023-02-24,高雄市,湖內區,14,11930,22.57
9644,2023-02-23,高雄市,湖內區,22,11916,23.29
10015,2023-02-22,高雄市,湖內區,20,11894,22.29
10387,2023-02-21,高雄市,湖內區,25,11874,22.00
10760,2023-02-20,高雄市,湖內區,23,11849,21.14
11132,2023-02-19,高雄市,湖內區,10,11826,22.29
11495,2023-02-18,高雄市,湖內區,44,11816,22.43
11861,2023-02-17,高雄市,湖內區,19,11772,18.43
12236,2023-02-16,高雄市,湖內區,15,11753,19.43
12610,2023-02-15,高雄市,湖內區,18,11738,20.43
12986,2023-02-14,高雄市,湖內區,19,11720,21.43
13356,2023-02-13,高雄市,湖內區,31,11701,22.00
13732,2023-02-12,高雄市,湖內區,11,11670,25.43
14094,2023-02-11,高雄市,湖內區,16,11659,27.43
14462,2023-02-10,高雄市,湖內區,26,11643,32.14
14836,2023-02-09,高雄市,湖內區,22,11617,33.86
15216,2023-02-08,高雄市,湖內區,25,11595,36.00
15594,2023-02-07,高雄市,湖內區,23,11570,36.71
15973,2023-02-06,高雄市,湖內區,55,11547,38.57
16349,2023-02-05,高雄市,湖內區,25,11492,35.57
16724,2023-02-04,高雄市,湖內區,49,11467,33.86
17102,2023-02-03,高雄市,湖內區,38,11418,31.86
17488,2023-02-02,高雄市,湖內區,37,11380,30.57
17869,2023-02-01,高雄市,湖內區,30,11343,29.86
18250,2023-01-31,高雄市,湖內區,36,11313,28.71
18635,2023-01-30,高雄市,湖內區,34,11277,26.14
19021,2023-01-29,高雄市,湖內區,13,11243,24.14
19399,2023-01-28,高雄市,湖內區,35,11230,23.57
19775,2023-01-27,高雄市,湖內區,29,11195,21.00
20156,2023-01-26,高雄市,湖內區,32,11166,18.71
20527,2023-01-25,高雄市,湖內區,22,11134,16.86
20894,2023-01-24,高雄市,湖內區,18,11112,16.86
21267,2023-01-23,高雄市,湖內區,20,11094,18.57
21635,2023-01-22,高雄市,湖內區,9,11074,19.43
22003,2023-01-21,高雄市,湖內區,17,11065,20.29
22376,2023-01-20,高雄市,湖內區,13,11048,21.14
22742,2023-01-19,高雄市,湖內區,19,11035,22.00
23114,2023-01-18,高雄市,湖內區,22,11016,22.43
23480,2023-01-17,高雄市,湖內區,30,10994,25.29
23846,2023-01-16,高雄市,湖內區,26,10964,26.71
24224,2023-01-15,高雄市,湖內區,15,10938,27.43
24589,2023-01-14,高雄市,湖內區,23,10923,28.86
24956,2023-01-13,高雄市,湖內區,19,10900,32.29
25327,2023-01-12,高雄市,湖內區,22,10881,35.00
25699,2023-01-11,高雄市,湖內區,42,10859,38.29
26076,2023-01-10,高雄市,湖內區,40,10817,37.86
26450,2023-01-09,高雄市,湖內區,31,10777,37.86
26824,2023-01-08,高雄市,湖內區,25,10746,38.86
