UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
836,2023-06-14,高雄市,燕巢區,15-19,946
837,2023-06-14,高雄市,燕巢區,25-29,1410
838,2023-06-14,高雄市,燕巢區,40-44,1275
839,2023-06-14,高雄市,燕巢區,70+,1351
840,2023-06-14,高雄市,燕巢區,65-69,613
841,2023-06-14,高雄市,燕巢區,60-64,831
842,2023-06-14,高雄市,燕巢區,5-9,606
843,2023-05-15,高雄市,燕巢區,45-49,1032
844,2023-03-22,高雄市,燕巢區,20-24,1411
845,2023-03-20,高雄市,燕巢區,55-59,873
846,2023-03-20,高雄市,燕巢區,10-14,505
847,2023-03-17,高雄市,燕巢區,30-34,1345
848,2023-03-17,高雄市,燕巢區,35-39,1199
849,2023-03-16,高雄市,燕巢區,0,99
850,2023-03-15,高雄市,燕巢區,50-54,830
851,2023-03-10,高雄市,燕巢區,2,107
852,2023-03-09,高雄市,燕巢區,3,94
853,2023-03-08,高雄市,燕巢區,1,133
854,2023-02-23,高雄市,燕巢區,4,102
