UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
19,2023-05-20,高雄市,燕巢區,1,42,0.14
172,2023-04-04,高雄市,燕巢區,1,41,0.29
225,2023-03-31,高雄市,燕巢區,1,40,0.14
378,2023-03-23,高雄市,燕巢區,1,39,0.29
407,2023-03-22,高雄市,燕巢區,1,38,0.14
1527,2023-02-26,高雄市,燕巢區,1,37,0.14
2620,2023-02-08,高雄市,燕巢區,1,36,0.29
2872,2023-02-04,高雄市,燕巢區,1,35,0.14
3618,2023-01-22,高雄市,燕巢區,1,34,0.14
5301,2022-12-16,高雄市,燕巢區,1,33,0.14
5562,2022-12-09,高雄市,燕巢區,1,32,0.43
5751,2022-12-04,高雄市,燕巢區,1,31,0.29
5785,2022-12-03,高雄市,燕巢區,1,30,0.14
7729,2022-10-27,高雄市,燕巢區,1,29,0.43
7940,2022-10-24,高雄市,燕巢區,1,28,0.29
8088,2022-10-22,高雄市,燕巢區,1,27,0.14
8651,2022-10-14,高雄市,燕巢區,1,26,0.43
8794,2022-10-12,高雄市,燕巢區,1,25,0.29
9052,2022-10-08,高雄市,燕巢區,1,24,0.14
9531,2022-10-01,高雄市,燕巢區,1,23,0.29
9768,2022-09-27,高雄市,燕巢區,1,22,0.14
11666,2022-08-17,高雄市,燕巢區,1,21,0.14
13169,2022-07-17,高雄市,燕巢區,1,20,0.29
13310,2022-07-15,高雄市,燕巢區,1,19,0.14
14502,2022-06-30,高雄市,燕巢區,1,18,0.29
15091,2022-06-24,高雄市,燕巢區,1,17,0.57
15193,2022-06-23,高雄市,燕巢區,2,16,0.43
15423,2022-06-21,高雄市,燕巢區,1,14,0.29
16143,2022-06-15,高雄市,燕巢區,1,13,0.14
17009,2022-06-08,高雄市,燕巢區,1,12,0.43
17385,2022-06-05,高雄市,燕巢區,2,11,0.43
17993,2022-05-31,高雄市,燕巢區,1,9,0.43
18240,2022-05-29,高雄市,燕巢區,1,8,0.57
18443,2022-05-27,高雄市,燕巢區,1,7,0.57
18728,2022-05-24,高雄市,燕巢區,1,6,0.43
18823,2022-05-23,高雄市,燕巢區,1,5,0.43
19004,2022-05-21,高雄市,燕巢區,1,4,0.57
19281,2022-05-17,高雄市,燕巢區,1,3,0.43
19343,2022-05-16,高雄市,燕巢區,2,2,0.29
