UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
1887,2023-03-17,高雄市,甲仙區,1,946,0.57
2239,2023-03-16,高雄市,甲仙區,1,945,0.57
2948,2023-03-14,高雄市,甲仙區,2,944,1.00
4359,2023-03-10,高雄市,甲仙區,1,942,1.14
4718,2023-03-09,高雄市,甲仙區,3,941,1.14
5072,2023-03-08,高雄市,甲仙區,1,938,0.86
5796,2023-03-06,高雄市,甲仙區,3,937,0.86
6847,2023-03-03,高雄市,甲仙區,1,934,0.57
7210,2023-03-02,高雄市,甲仙區,1,933,0.57
7581,2023-03-01,高雄市,甲仙區,1,932,0.57
9019,2023-02-25,高雄市,甲仙區,1,931,1.00
9380,2023-02-24,高雄市,甲仙區,1,930,1.57
9749,2023-02-23,高雄市,甲仙區,1,929,1.43
10123,2023-02-22,高雄市,甲仙區,1,928,1.29
10872,2023-02-20,高雄市,甲仙區,2,927,1.29
11231,2023-02-19,高雄市,甲仙區,1,925,1.43
11598,2023-02-18,高雄市,甲仙區,5,924,1.29
12717,2023-02-15,高雄市,甲仙區,1,919,1.14
13469,2023-02-13,高雄市,甲仙區,3,918,1.57
14572,2023-02-10,高雄市,甲仙區,1,915,1.29
14948,2023-02-09,高雄市,甲仙區,3,914,1.57
15326,2023-02-08,高雄市,甲仙區,2,911,2.14
15706,2023-02-07,高雄市,甲仙區,2,909,2.86
16835,2023-02-04,高雄市,甲仙區,1,907,4.00
17220,2023-02-03,高雄市,甲仙區,3,906,4.29
17603,2023-02-02,高雄市,甲仙區,7,903,3.86
17980,2023-02-01,高雄市,甲仙區,7,896,2.86
18366,2023-01-31,高雄市,甲仙區,2,889,1.86
18754,2023-01-30,高雄市,甲仙區,7,887,2.14
19130,2023-01-29,高雄市,甲仙區,1,880,1.86
19510,2023-01-28,高雄市,甲仙區,3,879,1.71
21005,2023-01-24,高雄市,甲仙區,4,876,3.86
21371,2023-01-23,高雄市,甲仙區,5,872,3.71
22110,2023-01-21,高雄市,甲仙區,1,867,3.86
22476,2023-01-20,高雄市,甲仙區,7,866,3.86
22847,2023-01-19,高雄市,甲仙區,6,859,3.43
23219,2023-01-18,高雄市,甲仙區,4,853,2.71
23583,2023-01-17,高雄市,甲仙區,3,849,2.29
23959,2023-01-16,高雄市,甲仙區,5,846,2.00
24326,2023-01-15,高雄市,甲仙區,1,841,1.86
24692,2023-01-14,高雄市,甲仙區,1,840,2.00
25061,2023-01-13,高雄市,甲仙區,4,839,1.86
25435,2023-01-12,高雄市,甲仙區,1,835,1.43
25812,2023-01-11,高雄市,甲仙區,1,834,1.86
26184,2023-01-10,高雄市,甲仙區,1,833,1.86
26562,2023-01-09,高雄市,甲仙區,4,832,1.86
26921,2023-01-08,高雄市,甲仙區,2,828,1.57
27666,2023-01-06,高雄市,甲仙區,1,826,1.43
28046,2023-01-05,高雄市,甲仙區,4,825,1.29
28427,2023-01-04,高雄市,甲仙區,1,821,0.71
28809,2023-01-03,高雄市,甲仙區,1,820,0.57
29181,2023-01-02,高雄市,甲仙區,2,819,1.00
29545,2023-01-01,高雄市,甲仙區,1,817,1.14
31402,2022-12-27,高雄市,甲仙區,4,816,1.43
31774,2022-12-26,高雄市,甲仙區,3,812,0.86
32852,2022-12-23,高雄市,甲仙區,1,809,0.71
33218,2022-12-22,高雄市,甲仙區,1,808,0.71
33590,2022-12-21,高雄市,甲仙區,1,807,0.86
35032,2022-12-17,高雄市,甲仙區,2,806,2.00
35396,2022-12-16,高雄市,甲仙區,1,804,1.86
35768,2022-12-15,高雄市,甲仙區,2,803,2.00
36126,2022-12-14,高雄市,甲仙區,1,801,1.71
36498,2022-12-13,高雄市,甲仙區,1,800,1.86
36873,2022-12-12,高雄市,甲仙區,6,799,2.00
37222,2022-12-11,高雄市,甲仙區,1,793,1.57
37592,2022-12-10,高雄市,甲仙區,1,792,1.43
37957,2022-12-09,高雄市,甲仙區,2,791,1.43
38702,2022-12-07,高雄市,甲仙區,2,789,1.71
39072,2022-12-06,高雄市,甲仙區,2,787,2.00
39450,2022-12-05,高雄市,甲仙區,3,785,2.29
40186,2022-12-03,高雄市,甲仙區,1,782,3.00
40556,2022-12-02,高雄市,甲仙區,1,781,3.57
40924,2022-12-01,高雄市,甲仙區,3,780,3.57
41297,2022-11-30,高雄市,甲仙區,4,777,3.43
41675,2022-11-29,高雄市,甲仙區,4,773,3.29
42053,2022-11-28,高雄市,甲仙區,7,769,3.00
42416,2022-11-27,高雄市,甲仙區,1,762,3.43
42770,2022-11-26,高雄市,甲仙區,5,761,3.29
43142,2022-11-25,高雄市,甲仙區,1,756,2.57
43513,2022-11-24,高雄市,甲仙區,2,755,3.00
43883,2022-11-23,高雄市,甲仙區,3,753,2.71
44256,2022-11-22,高雄市,甲仙區,2,750,2.71
44638,2022-11-21,高雄市,甲仙區,10,748,2.71
45747,2022-11-18,高雄市,甲仙區,4,738,1.86
46501,2022-11-16,高雄市,甲仙區,3,734,1.71
46882,2022-11-15,高雄市,甲仙區,2,731,2.00
47262,2022-11-14,高雄市,甲仙區,2,729,1.86
47632,2022-11-13,高雄市,甲仙區,1,727,2.14
48009,2022-11-12,高雄市,甲仙區,1,726,2.00
48388,2022-11-11,高雄市,甲仙區,2,725,2.14
48771,2022-11-10,高雄市,甲仙區,1,723,3.43
49154,2022-11-09,高雄市,甲仙區,5,722,3.57
49539,2022-11-08,高雄市,甲仙區,1,717,4.00
49924,2022-11-07,高雄市,甲仙區,4,716,4.57
50668,2022-11-05,高雄市,甲仙區,2,712,5.71
51054,2022-11-04,高雄市,甲仙區,11,710,6.00
51435,2022-11-03,高雄市,甲仙區,2,699,5.43
51820,2022-11-02,高雄市,甲仙區,8,697,6.29
52206,2022-11-01,高雄市,甲仙區,5,689,6.57
52589,2022-10-31,高雄市,甲仙區,12,684,6.14
53346,2022-10-29,高雄市,甲仙區,4,672,5.00
53734,2022-10-28,高雄市,甲仙區,7,668,4.57
54119,2022-10-27,高雄市,甲仙區,8,661,4.86
54504,2022-10-26,高雄市,甲仙區,10,653,4.00
54892,2022-10-25,高雄市,甲仙區,2,643,3.29
55283,2022-10-24,高雄市,甲仙區,2,641,4.14
55661,2022-10-23,高雄市,甲仙區,2,639,5.71
