UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
46,2023-09-17,高雄市,全區,90.10,86.10,1.20,75.70,29.90,0.00,0.00,0.00
47,2023-09-17,高雄市,6個月-4歲,47.50,30.50,5.60,1.10,0.00,0.00,0.00,0.00
48,2023-09-17,高雄市,5-11歲,85.00,68.20,0.60,32.70,6.20,0.00,0.00,0.00
49,2023-09-17,高雄市,12-17歲,94.30,87.80,0.10,72.20,30.00,0.00,0.00,0.00
50,2023-09-17,高雄市,18-29歲,95.70,92.70,0.80,81.20,16.40,0.00,0.00,0.00
51,2023-09-17,高雄市,30-49歲,93.50,90.90,1.00,82.70,24.30,0.00,0.00,0.00
52,2023-09-17,高雄市,50-64歲,90.40,88.00,1.20,80.70,32.00,0.00,0.00,0.00
53,2023-09-17,高雄市,65-74歲,91.10,88.90,1.40,84.00,60.80,31.90,0.00,0.00
54,2023-09-17,高雄市,75歲以上,83.80,80.50,1.30,75.10,56.50,30.70,0.00,0.00
301,2023-09-10,高雄市,全區,90.10,86.10,1.20,75.70,29.90,0.00,0.00,0.00
302,2023-09-10,高雄市,6個月-4歲,47.80,30.70,5.60,1.10,0.00,0.00,0.00,0.00
303,2023-09-10,高雄市,5-11歲,85.10,68.30,0.60,32.80,6.20,0.00,0.00,0.00
304,2023-09-10,高雄市,12-17歲,94.30,87.80,0.10,72.30,30.10,0.00,0.00,0.00
305,2023-09-10,高雄市,18-29歲,95.80,92.80,0.80,81.30,16.40,0.00,0.00,0.00
306,2023-09-10,高雄市,30-49歲,93.50,90.90,1.00,82.70,24.30,0.00,0.00,0.00
307,2023-09-10,高雄市,50-64歲,90.40,88.00,1.20,80.70,32.00,0.00,0.00,0.00
308,2023-09-10,高雄市,65-74歲,91.00,88.80,1.40,84.00,60.80,31.90,0.00,0.00
309,2023-09-10,高雄市,75歲以上,83.70,80.40,1.30,75.00,56.40,30.60,0.00,0.00
556,2023-09-03,高雄市,全區,90.10,86.10,1.20,75.70,30.00,0.00,0.00,0.00
557,2023-09-03,高雄市,6個月-4歲,48.00,30.90,5.60,1.10,0.00,0.00,0.00,0.00
