UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
571,2023-03-21,高雄市,美濃區,1,9832,7.43
813,2023-03-20,高雄市,美濃區,7,9831,9.00
1118,2023-03-19,高雄市,美濃區,6,9824,9.57
1453,2023-03-18,高雄市,美濃區,5,9818,10.14
1801,2023-03-17,高雄市,美濃區,13,9813,11.14
2149,2023-03-16,高雄市,美濃區,7,9800,10.71
2505,2023-03-15,高雄市,美濃區,13,9793,11.14
2855,2023-03-14,高雄市,美濃區,12,9780,10.14
3211,2023-03-13,高雄市,美濃區,11,9768,9.71
3566,2023-03-12,高雄市,美濃區,10,9757,9.29
3916,2023-03-11,高雄市,美濃區,12,9747,8.86
4266,2023-03-10,高雄市,美濃區,10,9735,8.29
4623,2023-03-09,高雄市,美濃區,10,9725,8.71
4979,2023-03-08,高雄市,美濃區,6,9715,9.14
5336,2023-03-07,高雄市,美濃區,9,9709,9.57
5700,2023-03-06,高雄市,美濃區,8,9700,12.00
6054,2023-03-05,高雄市,美濃區,7,9692,12.57
6397,2023-03-04,高雄市,美濃區,8,9685,12.43
6751,2023-03-03,高雄市,美濃區,13,9677,14.14
7113,2023-03-02,高雄市,美濃區,13,9664,14.29
7476,2023-03-01,高雄市,美濃區,9,9651,13.86
7848,2023-02-28,高雄市,美濃區,26,9642,13.86
8212,2023-02-27,高雄市,美濃區,12,9616,12.86
8563,2023-02-26,高雄市,美濃區,6,9604,12.29
8917,2023-02-25,高雄市,美濃區,20,9598,13.43
9285,2023-02-24,高雄市,美濃區,14,9578,12.14
9648,2023-02-23,高雄市,美濃區,10,9564,13.00
10020,2023-02-22,高雄市,美濃區,9,9554,12.86
10392,2023-02-21,高雄市,美濃區,19,9545,15.43
10764,2023-02-20,高雄市,美濃區,8,9526,14.57
11135,2023-02-19,高雄市,美濃區,14,9518,17.00
11499,2023-02-18,高雄市,美濃區,11,9504,16.14
11866,2023-02-17,高雄市,美濃區,20,9493,17.14
12241,2023-02-16,高雄市,美濃區,9,9473,16.29
12614,2023-02-15,高雄市,美濃區,27,9464,17.86
12990,2023-02-14,高雄市,美濃區,13,9437,16.29
13360,2023-02-13,高雄市,美濃區,25,9424,17.00
13736,2023-02-12,高雄市,美濃區,8,9399,17.14
14099,2023-02-11,高雄市,美濃區,18,9391,18.43
14467,2023-02-10,高雄市,美濃區,14,9373,19.86
14840,2023-02-09,高雄市,美濃區,20,9359,22.57
15221,2023-02-08,高雄市,美濃區,16,9339,22.14
15599,2023-02-07,高雄市,美濃區,18,9323,24.14
15978,2023-02-06,高雄市,美濃區,26,9305,27.00
16354,2023-02-05,高雄市,美濃區,17,9279,29.29
16729,2023-02-04,高雄市,美濃區,28,9262,29.86
17107,2023-02-03,高雄市,美濃區,33,9234,30.57
17493,2023-02-02,高雄市,美濃區,17,9201,30.00
17874,2023-02-01,高雄市,美濃區,30,9184,29.71
18255,2023-01-31,高雄市,美濃區,38,9154,29.14
18640,2023-01-30,高雄市,美濃區,42,9116,25.86
19026,2023-01-29,高雄市,美濃區,21,9074,21.71
19403,2023-01-28,高雄市,美濃區,33,9053,20.43
19780,2023-01-27,高雄市,美濃區,29,9020,18.86
20160,2023-01-26,高雄市,美濃區,15,8991,18.00
20531,2023-01-25,高雄市,美濃區,26,8976,18.86
20899,2023-01-24,高雄市,美濃區,15,8950,17.43
21271,2023-01-23,高雄市,美濃區,13,8935,18.71
21640,2023-01-22,高雄市,美濃區,12,8922,19.14
22008,2023-01-21,高雄市,美濃區,22,8910,19.71
22379,2023-01-20,高雄市,美濃區,23,8888,18.57
22746,2023-01-19,高雄市,美濃區,21,8865,17.29
23118,2023-01-18,高雄市,美濃區,16,8844,17.00
23484,2023-01-17,高雄市,美濃區,24,8828,17.43
23851,2023-01-16,高雄市,美濃區,16,8804,16.29
24228,2023-01-15,高雄市,美濃區,16,8788,17.00
24593,2023-01-14,高雄市,美濃區,14,8772,16.29
24960,2023-01-13,高雄市,美濃區,14,8758,17.43
25332,2023-01-12,高雄市,美濃區,19,8744,17.00
25703,2023-01-11,高雄市,美濃區,19,8725,17.43
26080,2023-01-10,高雄市,美濃區,16,8706,16.71
26454,2023-01-09,高雄市,美濃區,21,8690,18.57
26827,2023-01-08,高雄市,美濃區,11,8669,19.43
27188,2023-01-07,高雄市,美濃區,22,8658,19.71
27561,2023-01-06,高雄市,美濃區,11,8636,19.71
27939,2023-01-05,高雄市,美濃區,22,8625,20.86
28318,2023-01-04,高雄市,美濃區,14,8603,20.00
28700,2023-01-03,高雄市,美濃區,29,8589,19.29
29080,2023-01-02,高雄市,美濃區,27,8560,17.14
29451,2023-01-01,高雄市,美濃區,13,8533,15.14
29811,2022-12-31,高雄市,美濃區,22,8520,14.57
30178,2022-12-30,高雄市,美濃區,19,8498,13.43
30552,2022-12-29,高雄市,美濃區,16,8479,12.43
30924,2022-12-28,高雄市,美濃區,9,8463,13.29
31295,2022-12-27,高雄市,美濃區,14,8454,13.57
31670,2022-12-26,高雄市,美濃區,13,8440,13.57
32036,2022-12-25,高雄市,美濃區,9,8427,13.71
32396,2022-12-24,高雄市,美濃區,14,8418,13.71
32752,2022-12-23,高雄市,美濃區,12,8404,12.71
33121,2022-12-22,高雄市,美濃區,22,8392,12.29
33486,2022-12-21,高雄市,美濃區,11,8370,11.14
33852,2022-12-20,高雄市,美濃區,14,8359,11.43
34219,2022-12-19,高雄市,美濃區,14,8345,11.57
34583,2022-12-18,高雄市,美濃區,9,8331,12.29
34936,2022-12-17,高雄市,美濃區,7,8322,12.00
35300,2022-12-16,高雄市,美濃區,9,8315,13.71
35663,2022-12-15,高雄市,美濃區,14,8306,15.29
36029,2022-12-14,高雄市,美濃區,13,8292,16.00
36392,2022-12-13,高雄市,美濃區,15,8279,16.86
36770,2022-12-12,高雄市,美濃區,19,8264,19.00
37132,2022-12-11,高雄市,美濃區,7,8245,18.57
37492,2022-12-10,高雄市,美濃區,19,8238,19.43
37857,2022-12-09,高雄市,美濃區,20,8219,19.57
38226,2022-12-08,高雄市,美濃區,19,8199,19.43
38601,2022-12-07,高雄市,美濃區,19,8180,18.71
38967,2022-12-06,高雄市,美濃區,30,8161,20.14
39343,2022-12-05,高雄市,美濃區,16,8131,18.86
39718,2022-12-04,高雄市,美濃區,13,8115,20.00
40085,2022-12-03,高雄市,美濃區,20,8102,20.14
40452,2022-12-02,高雄市,美濃區,19,8082,19.86
40821,2022-12-01,高雄市,美濃區,14,8063,18.57
41192,2022-11-30,高雄市,美濃區,29,8049,20.29
41567,2022-11-29,高雄市,美濃區,21,8020,19.43
41945,2022-11-28,高雄市,美濃區,24,7999,20.14
42320,2022-11-27,高雄市,美濃區,14,7975,21.00
42676,2022-11-26,高雄市,美濃區,18,7961,21.86
43040,2022-11-25,高雄市,美濃區,10,7943,22.14
43409,2022-11-24,高雄市,美濃區,26,7933,23.86
43778,2022-11-23,高雄市,美濃區,23,7907,25.57
44151,2022-11-22,高雄市,美濃區,26,7884,28.00
44529,2022-11-21,高雄市,美濃區,30,7858,30.29
44906,2022-11-20,高雄市,美濃區,20,7828,32.00
45274,2022-11-19,高雄市,美濃區,20,7808,33.71
45644,2022-11-18,高雄市,美濃區,22,7788,36.14
46017,2022-11-17,高雄市,美濃區,38,7766,38.29
46390,2022-11-16,高雄市,美濃區,40,7728,38.43
46773,2022-11-15,高雄市,美濃區,42,7688,40.29
47152,2022-11-14,高雄市,美濃區,42,7646,40.71
47530,2022-11-13,高雄市,美濃區,32,7604,39.86
47901,2022-11-12,高雄市,美濃區,37,7572,38.00
48279,2022-11-11,高雄市,美濃區,37,7535,36.14
48659,2022-11-10,高雄市,美濃區,39,7498,37.14
49042,2022-11-09,高雄市,美濃區,53,7459,37.57
49429,2022-11-08,高雄市,美濃區,45,7406,37.29
49813,2022-11-07,高雄市,美濃區,36,7361,38.29
50191,2022-11-06,高雄市,美濃區,19,7325,41.14
50561,2022-11-05,高雄市,美濃區,24,7306,43.57
50944,2022-11-04,高雄市,美濃區,44,7282,45.71
51327,2022-11-03,高雄市,美濃區,42,7238,47.14
51707,2022-11-02,高雄市,美濃區,51,7196,49.29
52094,2022-11-01,高雄市,美濃區,52,7145,48.86
52477,2022-10-31,高雄市,美濃區,56,7093,49.43
52860,2022-10-30,高雄市,美濃區,36,7037,49.57
53237,2022-10-29,高雄市,美濃區,39,7001,48.86
53621,2022-10-28,高雄市,美濃區,54,6962,49.29
54007,2022-10-27,高雄市,美濃區,57,6908,49.43
54392,2022-10-26,高雄市,美濃區,48,6851,51.00
54778,2022-10-25,高雄市,美濃區,56,6803,52.86
55169,2022-10-24,高雄市,美濃區,57,6747,52.29
55554,2022-10-23,高雄市,美濃區,31,6690,51.86
55935,2022-10-22,高雄市,美濃區,42,6659,51.57
56321,2022-10-21,高雄市,美濃區,55,6617,54.86
56709,2022-10-20,高雄市,美濃區,68,6562,54.00
57095,2022-10-19,高雄市,美濃區,61,6494,53.00
57482,2022-10-18,高雄市,美濃區,52,6433,54.29
57872,2022-10-17,高雄市,美濃區,54,6381,56.29
58261,2022-10-16,高雄市,美濃區,29,6327,56.57
58646,2022-10-15,高雄市,美濃區,65,6298,57.14
59032,2022-10-14,高雄市,美濃區,49,6233,52.14
59421,2022-10-13,高雄市,美濃區,61,6184,50.43
59812,2022-10-12,高雄市,美濃區,70,6123,47.29
60202,2022-10-11,高雄市,美濃區,66,6053,42.29
60592,2022-10-10,高雄市,美濃區,56,5987,36.86
60976,2022-10-09,高雄市,美濃區,33,5931,34.86
61364,2022-10-08,高雄市,美濃區,30,5898,33.14
61753,2022-10-07,高雄市,美濃區,37,5868,33.14
62140,2022-10-06,高雄市,美濃區,39,5831,33.43
62531,2022-10-05,高雄市,美濃區,35,5792,33.14
62918,2022-10-04,高雄市,美濃區,28,5757,33.86
63307,2022-10-03,高雄市,美濃區,42,5729,36.14
63697,2022-10-02,高雄市,美濃區,21,5687,37.00
64078,2022-10-01,高雄市,美濃區,30,5666,37.29
64464,2022-09-30,高雄市,美濃區,39,5636,39.71
64850,2022-09-29,高雄市,美濃區,37,5597,37.43
65238,2022-09-28,高雄市,美濃區,40,5560,35.71
65625,2022-09-27,高雄市,美濃區,44,5520,35.00
66011,2022-09-26,高雄市,美濃區,48,5476,33.86
66398,2022-09-25,高雄市,美濃區,23,5428,34.00
66783,2022-09-24,高雄市,美濃區,47,5405,33.00
67168,2022-09-23,高雄市,美濃區,23,5358,32.43
67555,2022-09-22,高雄市,美濃區,25,5335,33.57
67944,2022-09-21,高雄市,美濃區,35,5310,35.00
68333,2022-09-20,高雄市,美濃區,36,5275,37.14
68723,2022-09-19,高雄市,美濃區,49,5239,37.43
69113,2022-09-18,高雄市,美濃區,16,5190,37.29
69496,2022-09-17,高雄市,美濃區,43,5174,38.00
