UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
210,2023-06-14,高雄市,苓雅區,13,64679,1.86
444,2023-03-22,高雄市,苓雅區,3,64666,23.57
561,2023-03-21,高雄市,苓雅區,1,64663,31.43
792,2023-03-20,高雄市,苓雅區,13,64662,40.00
1094,2023-03-19,高雄市,苓雅區,26,64649,47.14
1427,2023-03-18,高雄市,苓雅區,45,64623,50.86
1773,2023-03-17,高雄市,苓雅區,41,64578,55.43
2125,2023-03-16,高雄市,苓雅區,36,64537,59.86
2478,2023-03-15,高雄市,苓雅區,58,64501,64.14
2828,2023-03-14,高雄市,苓雅區,61,64443,64.57
3186,2023-03-13,高雄市,苓雅區,63,64382,66.86
3540,2023-03-12,高雄市,苓雅區,52,64319,70.86
3890,2023-03-11,高雄市,苓雅區,77,64267,71.71
4240,2023-03-10,高雄市,苓雅區,72,64190,71.71
4597,2023-03-09,高雄市,苓雅區,66,64118,74.29
4953,2023-03-08,高雄市,苓雅區,61,64052,76.43
5310,2023-03-07,高雄市,苓雅區,77,63991,81.00
5672,2023-03-06,高雄市,苓雅區,91,63914,81.86
6031,2023-03-05,高雄市,苓雅區,58,63823,81.43
6372,2023-03-04,高雄市,苓雅區,77,63765,80.71
6726,2023-03-03,高雄市,苓雅區,90,63688,82.43
7087,2023-03-02,高雄市,苓雅區,81,63598,82.43
7449,2023-03-01,高雄市,苓雅區,93,63517,83.00
7821,2023-02-28,高雄市,苓雅區,83,63424,85.71
8187,2023-02-27,高雄市,苓雅區,88,63341,90.86
8538,2023-02-26,高雄市,苓雅區,53,63253,94.29
8890,2023-02-25,高雄市,苓雅區,89,63200,101.29
9259,2023-02-24,高雄市,苓雅區,90,63111,106.14
9622,2023-02-23,高雄市,苓雅區,85,63021,110.57
9992,2023-02-22,高雄市,苓雅區,112,62936,111.71
10365,2023-02-21,高雄市,苓雅區,119,62824,110.57
10737,2023-02-20,高雄市,苓雅區,112,62705,111.43
11111,2023-02-19,高雄市,苓雅區,102,62593,118.43
11473,2023-02-18,高雄市,苓雅區,123,62491,117.71
11838,2023-02-17,高雄市,苓雅區,121,62368,120.43
12214,2023-02-16,高雄市,苓雅區,93,62247,121.29
12587,2023-02-15,高雄市,苓雅區,104,62154,128.43
12962,2023-02-14,高雄市,苓雅區,125,62050,137.57
13333,2023-02-13,高雄市,苓雅區,161,61925,143.57
13710,2023-02-12,高雄市,苓雅區,97,61764,144.57
14070,2023-02-11,高雄市,苓雅區,142,61667,147.57
14439,2023-02-10,高雄市,苓雅區,127,61525,150.43
14813,2023-02-09,高雄市,苓雅區,143,61398,156.14
15193,2023-02-08,高雄市,苓雅區,168,61255,164.29
15570,2023-02-07,高雄市,苓雅區,167,61087,165.14
15950,2023-02-06,高雄市,苓雅區,168,60920,175.43
16326,2023-02-05,高雄市,苓雅區,118,60752,190.14
16700,2023-02-04,高雄市,苓雅區,162,60634,198.71
17079,2023-02-03,高雄市,苓雅區,167,60472,205.86
17465,2023-02-02,高雄市,苓雅區,200,60305,215.43
17846,2023-02-01,高雄市,苓雅區,174,60105,215.43
18226,2023-01-31,高雄市,苓雅區,239,59931,220.29
18611,2023-01-30,高雄市,苓雅區,271,59692,205.00
18997,2023-01-29,高雄市,苓雅區,178,59421,181.71
19375,2023-01-28,高雄市,苓雅區,212,59243,168.29
19751,2023-01-27,高雄市,苓雅區,234,59031,164.43
20132,2023-01-26,高雄市,苓雅區,200,58797,152.43
20503,2023-01-25,高雄市,苓雅區,208,58597,144.00
20872,2023-01-24,高雄市,苓雅區,132,58389,139.43
21244,2023-01-23,高雄市,苓雅區,108,58257,140.71
21613,2023-01-22,高雄市,苓雅區,84,58149,146.86
21980,2023-01-21,高雄市,苓雅區,185,58065,149.57
22353,2023-01-20,高雄市,苓雅區,150,57880,149.43
22718,2023-01-19,高雄市,苓雅區,141,57730,150.29
23091,2023-01-18,高雄市,苓雅區,176,57589,152.86
23457,2023-01-17,高雄市,苓雅區,141,57413,152.00
23824,2023-01-16,高雄市,苓雅區,151,57272,157.86
24202,2023-01-15,高雄市,苓雅區,103,57121,162.00
24565,2023-01-14,高雄市,苓雅區,184,57018,162.29
24932,2023-01-13,高雄市,苓雅區,156,56834,157.86
25303,2023-01-12,高雄市,苓雅區,159,56678,163.00
25677,2023-01-11,高雄市,苓雅區,170,56519,168.71
26053,2023-01-10,高雄市,苓雅區,182,56349,172.57
26426,2023-01-09,高雄市,苓雅區,180,56167,178.14
26800,2023-01-08,高雄市,苓雅區,105,55987,174.29
27161,2023-01-07,高雄市,苓雅區,153,55882,174.57
27534,2023-01-06,高雄市,苓雅區,192,55729,170.57
27911,2023-01-05,高雄市,苓雅區,199,55537,160.29
28289,2023-01-04,高雄市,苓雅區,197,55338,152.86
28671,2023-01-03,高雄市,苓雅區,221,55141,147.71
29051,2023-01-02,高雄市,苓雅區,153,54920,136.14
29423,2023-01-01,高雄市,苓雅區,107,54767,138.86
29784,2022-12-31,高雄市,苓雅區,125,54660,137.57
30151,2022-12-30,高雄市,苓雅區,120,54535,133.14
30525,2022-12-29,高雄市,苓雅區,147,54415,129.86
30897,2022-12-28,高雄市,苓雅區,161,54268,123.86
31266,2022-12-27,高雄市,苓雅區,140,54107,118.71
31641,2022-12-26,高雄市,苓雅區,172,53967,112.57
32010,2022-12-25,高雄市,苓雅區,98,53795,102.43
32368,2022-12-24,高雄市,苓雅區,94,53697,96.57
32727,2022-12-23,高雄市,苓雅區,97,53603,95.86
33094,2022-12-22,高雄市,苓雅區,105,53506,96.57
33459,2022-12-21,高雄市,苓雅區,125,53401,95.14
33826,2022-12-20,高雄市,苓雅區,97,53276,92.43
34192,2022-12-19,高雄市,苓雅區,101,53179,96.29
34560,2022-12-18,高雄市,苓雅區,57,53078,98.43
34910,2022-12-17,高雄市,苓雅區,89,53021,102.57
35272,2022-12-16,高雄市,苓雅區,102,52932,103.00
35635,2022-12-15,高雄市,苓雅區,95,52830,102.71
36005,2022-12-14,高雄市,苓雅區,106,52735,104.00
36365,2022-12-13,高雄市,苓雅區,124,52629,104.29
36743,2022-12-12,高雄市,苓雅區,116,52505,103.71
37106,2022-12-11,高雄市,苓雅區,86,52389,101.43
37465,2022-12-10,高雄市,苓雅區,92,52303,100.43
37832,2022-12-09,高雄市,苓雅區,100,52211,102.14
38198,2022-12-08,高雄市,苓雅區,104,52111,102.57
38572,2022-12-07,高雄市,苓雅區,108,52007,101.14
38939,2022-12-06,高雄市,苓雅區,120,51899,103.29
39315,2022-12-05,高雄市,苓雅區,100,51779,102.14
39692,2022-12-04,高雄市,苓雅區,79,51679,103.86
40058,2022-12-03,高雄市,苓雅區,104,51600,100.43
40427,2022-12-02,高雄市,苓雅區,103,51496,100.86
40793,2022-12-01,高雄市,苓雅區,94,51393,101.43
41166,2022-11-30,高雄市,苓雅區,123,51299,100.57
41539,2022-11-29,高雄市,苓雅區,112,51176,99.43
41918,2022-11-28,高雄市,苓雅區,112,51064,100.00
42295,2022-11-27,高雄市,苓雅區,55,50952,100.00
