UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
4717,2023-03-09,高雄市,茂林區,1,721,0.29
5070,2023-03-08,高雄市,茂林區,1,720,0.29
7208,2023-03-02,高雄市,茂林區,1,719,0.43
7943,2023-02-28,高雄市,茂林區,1,718,0.43
8304,2023-02-27,高雄市,茂林區,1,717,0.29
9748,2023-02-23,高雄市,茂林區,1,716,0.57
10870,2023-02-20,高雄市,茂林區,1,715,0.43
11596,2023-02-18,高雄市,茂林區,1,714,0.43
11969,2023-02-17,高雄市,茂林區,1,713,0.29
13467,2023-02-13,高雄市,茂林區,1,712,1.43
14571,2023-02-10,高雄市,茂林區,3,711,1.71
14946,2023-02-09,高雄市,茂林區,2,708,1.29
15324,2023-02-08,高雄市,茂林區,1,706,1.14
15704,2023-02-07,高雄市,茂林區,3,705,1.00
16087,2023-02-06,高雄市,茂林區,2,702,0.71
16455,2023-02-05,高雄市,茂林區,1,700,0.57
17601,2023-02-02,高雄市,茂林區,1,699,0.71
18364,2023-01-31,高雄市,茂林區,1,698,0.57
18752,2023-01-30,高雄市,茂林區,1,697,0.43
19128,2023-01-29,高雄市,茂林區,1,696,0.29
19887,2023-01-27,高雄市,茂林區,1,695,0.14
23217,2023-01-18,高雄市,茂林區,1,694,0.14
27292,2023-01-07,高雄市,茂林區,1,693,0.29
29179,2023-01-02,高雄市,茂林區,1,692,0.29
31400,2022-12-27,高雄市,茂林區,1,691,0.57
32850,2022-12-23,高雄市,茂林區,1,690,0.43
33588,2022-12-21,高雄市,茂林區,2,689,0.43
35395,2022-12-16,高雄市,茂林區,1,687,0.29
36124,2022-12-14,高雄市,茂林區,1,686,0.29
37955,2022-12-09,高雄市,茂林區,1,685,0.29
39815,2022-12-04,高雄市,茂林區,1,684,0.14
44254,2022-11-22,高雄市,茂林區,1,683,0.86
44636,2022-11-21,高雄市,茂林區,1,682,1.14
45376,2022-11-19,高雄市,茂林區,1,681,2.00
45745,2022-11-18,高雄市,茂林區,1,680,2.14
46119,2022-11-17,高雄市,茂林區,1,679,2.00
46500,2022-11-16,高雄市,茂林區,1,678,2.43
46880,2022-11-15,高雄市,茂林區,3,677,2.71
47260,2022-11-14,高雄市,茂林區,3,674,3.00
47630,2022-11-13,高雄市,茂林區,4,671,2.86
48007,2022-11-12,高雄市,茂林區,2,667,2.43
48769,2022-11-10,高雄市,茂林區,4,665,2.43
49152,2022-11-09,高雄市,茂林區,3,661,1.86
49537,2022-11-08,高雄市,茂林區,5,658,2.00
49922,2022-11-07,高雄市,茂林區,2,653,1.71
50293,2022-11-06,高雄市,茂林區,1,651,2.14
50666,2022-11-05,高雄市,茂林區,1,650,2.57
51052,2022-11-04,高雄市,茂林區,1,649,2.86
51818,2022-11-02,高雄市,茂林區,4,648,3.14
52204,2022-11-01,高雄市,茂林區,3,644,3.14
52587,2022-10-31,高雄市,茂林區,5,641,3.14
52966,2022-10-30,高雄市,茂林區,4,636,2.71
53344,2022-10-29,高雄市,茂林區,3,632,2.71
54117,2022-10-27,高雄市,茂林區,3,629,2.86
54502,2022-10-26,高雄市,茂林區,4,626,2.43
54890,2022-10-25,高雄市,茂林區,3,622,2.14
55281,2022-10-24,高雄市,茂林區,2,619,1.86
55659,2022-10-23,高雄市,茂林區,4,617,2.00
56433,2022-10-21,高雄市,茂林區,4,613,2.14
57206,2022-10-19,高雄市,茂林區,2,609,2.29
57595,2022-10-18,高雄市,茂林區,1,607,2.29
57985,2022-10-17,高雄市,茂林區,3,606,3.14
58370,2022-10-16,高雄市,茂林區,5,603,3.14
59144,2022-10-14,高雄市,茂林區,4,598,2.86
59534,2022-10-13,高雄市,茂林區,1,594,2.43
59924,2022-10-12,高雄市,茂林區,2,593,2.43
60314,2022-10-11,高雄市,茂林區,7,591,2.71
60701,2022-10-10,高雄市,茂林區,3,584,2.29
61086,2022-10-09,高雄市,茂林區,2,581,2.43
61475,2022-10-08,高雄市,茂林區,1,579,2.43
61864,2022-10-07,高雄市,茂林區,1,578,2.43
62253,2022-10-06,高雄市,茂林區,1,577,2.29
62642,2022-10-05,高雄市,茂林區,4,576,2.29
63028,2022-10-04,高雄市,茂林區,4,572,1.86
63418,2022-10-03,高雄市,茂林區,4,568,1.29
63802,2022-10-02,高雄市,茂林區,2,564,0.86
64189,2022-10-01,高雄市,茂林區,1,562,1.00
64961,2022-09-29,高雄市,茂林區,1,561,1.00
65348,2022-09-28,高雄市,茂林區,1,560,1.00
66124,2022-09-26,高雄市,茂林區,1,559,1.29
66508,2022-09-25,高雄市,茂林區,3,558,1.43
66892,2022-09-24,高雄市,茂林區,1,555,1.00
67667,2022-09-22,高雄市,茂林區,1,554,1.14
68445,2022-09-20,高雄市,茂林區,3,553,1.14
68836,2022-09-19,高雄市,茂林區,2,550,0.86
69605,2022-09-17,高雄市,茂林區,1,548,1.00
69992,2022-09-16,高雄市,茂林區,1,547,1.00
70379,2022-09-15,高雄市,茂林區,1,546,0.86
71152,2022-09-13,高雄市,茂林區,1,545,1.00
