UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
779,2023-06-14,高雄市,茄萣區,10-14,556
780,2023-06-14,高雄市,茄萣區,65-69,523
781,2023-06-14,高雄市,茄萣區,70+,927
782,2023-03-20,高雄市,茄萣區,30-34,753
783,2023-03-20,高雄市,茄萣區,1,73
784,2023-03-19,高雄市,茄萣區,20-24,671
785,2023-03-19,高雄市,茄萣區,60-64,607
786,2023-03-19,高雄市,茄萣區,35-39,888
787,2023-03-18,高雄市,茄萣區,45-49,813
788,2023-03-18,高雄市,茄萣區,40-44,909
789,2023-03-17,高雄市,茄萣區,0,56
790,2023-03-17,高雄市,茄萣區,15-19,601
791,2023-03-16,高雄市,茄萣區,25-29,692
792,2023-03-16,高雄市,茄萣區,5-9,556
793,2023-03-16,高雄市,茄萣區,50-54,667
794,2023-03-15,高雄市,茄萣區,2,83
795,2023-03-14,高雄市,茄萣區,55-59,617
796,2023-02-20,高雄市,茄萣區,3,101
797,2023-02-20,高雄市,茄萣區,4,95
