UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
257,2023-06-14,高雄市,茄萣區,3,10188,0.43
863,2023-03-20,高雄市,茄萣區,2,10185,8.00
1188,2023-03-19,高雄市,茄萣區,3,10183,9.86
1527,2023-03-18,高雄市,茄萣區,4,10180,10.00
1877,2023-03-17,高雄市,茄萣區,6,10176,10.29
2228,2023-03-16,高雄市,茄萣區,13,10170,10.57
2581,2023-03-15,高雄市,茄萣區,13,10157,9.86
2938,2023-03-14,高雄市,茄萣區,15,10144,9.71
3295,2023-03-13,高雄市,茄萣區,15,10129,8.86
3640,2023-03-12,高雄市,茄萣區,4,10114,9.14
3996,2023-03-11,高雄市,茄萣區,6,10110,8.86
4348,2023-03-10,高雄市,茄萣區,8,10104,9.00
4704,2023-03-09,高雄市,茄萣區,8,10096,9.86
5060,2023-03-08,高雄市,茄萣區,12,10088,10.43
5419,2023-03-07,高雄市,茄萣區,9,10076,10.29
5784,2023-03-06,高雄市,茄萣區,17,10067,10.57
6125,2023-03-05,高雄市,茄萣區,2,10050,9.00
6479,2023-03-04,高雄市,茄萣區,7,10048,9.43
6836,2023-03-03,高雄市,茄萣區,14,10041,10.57
7197,2023-03-02,高雄市,茄萣區,12,10027,10.00
7567,2023-03-01,高雄市,茄萣區,11,10015,9.57
7932,2023-02-28,高雄市,茄萣區,11,10004,9.29
8292,2023-02-27,高雄市,茄萣區,6,9993,8.71
8639,2023-02-26,高雄市,茄萣區,5,9987,10.00
9008,2023-02-25,高雄市,茄萣區,15,9982,10.86
9367,2023-02-24,高雄市,茄萣區,10,9967,11.43
9736,2023-02-23,高雄市,茄萣區,9,9957,12.00
10111,2023-02-22,高雄市,茄萣區,9,9948,12.71
10482,2023-02-21,高雄市,茄萣區,7,9939,14.29
10857,2023-02-20,高雄市,茄萣區,15,9932,14.43
11217,2023-02-19,高雄市,茄萣區,11,9917,15.29
11586,2023-02-18,高雄市,茄萣區,19,9906,15.29
11957,2023-02-17,高雄市,茄萣區,14,9887,14.86
12332,2023-02-16,高雄市,茄萣區,14,9873,15.71
12704,2023-02-15,高雄市,茄萣區,20,9859,17.57
13079,2023-02-14,高雄市,茄萣區,8,9839,17.86
13455,2023-02-13,高雄市,茄萣區,21,9831,20.43
13817,2023-02-12,高雄市,茄萣區,11,9810,20.29
14190,2023-02-11,高雄市,茄萣區,16,9799,21.57
14557,2023-02-10,高雄市,茄萣區,20,9783,23.00
14932,2023-02-09,高雄市,茄萣區,27,9763,23.57
15311,2023-02-08,高雄市,茄萣區,22,9736,24.57
15692,2023-02-07,高雄市,茄萣區,26,9714,24.00
16072,2023-02-06,高雄市,茄萣區,20,9688,24.29
16442,2023-02-05,高雄市,茄萣區,20,9668,24.57
16820,2023-02-04,高雄市,茄萣區,26,9648,23.86
17204,2023-02-03,高雄市,茄萣區,24,9622,24.29
17587,2023-02-02,高雄市,茄萣區,34,9598,23.86
17966,2023-02-01,高雄市,茄萣區,18,9564,21.00
18349,2023-01-31,高雄市,茄萣區,28,9546,20.71
18737,2023-01-30,高雄市,茄萣區,22,9518,17.57
19118,2023-01-29,高雄市,茄萣區,15,9496,16.57
19497,2023-01-28,高雄市,茄萣區,29,9481,16.00
19873,2023-01-27,高雄市,茄萣區,21,9452,13.14
20250,2023-01-26,高雄市,茄萣區,14,9431,11.43
20622,2023-01-25,高雄市,茄萣區,16,9417,11.43
20990,2023-01-24,高雄市,茄萣區,6,9401,11.57
21359,2023-01-23,高雄市,茄萣區,15,9395,12.14
21725,2023-01-22,高雄市,茄萣區,11,9380,11.71
22097,2023-01-21,高雄市,茄萣區,9,9369,10.86
22463,2023-01-20,高雄市,茄萣區,9,9360,12.29
22833,2023-01-19,高雄市,茄萣區,14,9351,12.57
23205,2023-01-18,高雄市,茄萣區,17,9337,13.00
23569,2023-01-17,高雄市,茄萣區,10,9320,12.57
23945,2023-01-16,高雄市,茄萣區,12,9310,14.71
24316,2023-01-15,高雄市,茄萣區,5,9298,16.29
24680,2023-01-14,高雄市,茄萣區,19,9293,19.71
25047,2023-01-13,高雄市,茄萣區,11,9274,20.57
25424,2023-01-12,高雄市,茄萣區,17,9263,21.86
25797,2023-01-11,高雄市,茄萣區,14,9246,23.14
26170,2023-01-10,高雄市,茄萣區,25,9232,24.00
26548,2023-01-09,高雄市,茄萣區,23,9207,22.86
26914,2023-01-08,高雄市,茄萣區,29,9184,22.86
27279,2023-01-07,高雄市,茄萣區,25,9155,19.86
27650,2023-01-06,高雄市,茄萣區,20,9130,18.14
28032,2023-01-05,高雄市,茄萣區,26,9110,18.00
28412,2023-01-04,高雄市,茄萣區,20,9084,18.43
28794,2023-01-03,高雄市,茄萣區,17,9064,19.86
29168,2023-01-02,高雄市,茄萣區,23,9047,19.86
29531,2023-01-01,高雄市,茄萣區,8,9024,20.86
29898,2022-12-31,高雄市,茄萣區,13,9016,21.29
30269,2022-12-30,高雄市,茄萣區,19,9003,21.43
30640,2022-12-29,高雄市,茄萣區,29,8984,20.29
31013,2022-12-28,高雄市,茄萣區,30,8955,18.43
31389,2022-12-27,高雄市,茄萣區,17,8925,16.57
31761,2022-12-26,高雄市,茄萣區,30,8908,17.57
32117,2022-12-25,高雄市,茄萣區,11,8878,16.43
32477,2022-12-24,高雄市,茄萣區,14,8867,15.29
