UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
243,2023-06-14,高雄市,路竹區,8,20962,1.14
578,2023-03-21,高雄市,路竹區,1,20954,13.71
832,2023-03-20,高雄市,路竹區,6,20953,18.00
1144,2023-03-19,高雄市,路竹區,2,20947,21.29
1475,2023-03-18,高雄市,路竹區,21,20945,23.00
1827,2023-03-17,高雄市,路竹區,16,20924,23.57
2175,2023-03-16,高雄市,路竹區,21,20908,24.14
2529,2023-03-15,高雄市,路竹區,29,20887,26.14
2880,2023-03-14,高雄市,路竹區,31,20858,25.29
3237,2023-03-13,高雄市,路竹區,29,20827,24.57
3589,2023-03-12,高雄市,路竹區,14,20798,24.14
3943,2023-03-11,高雄市,路竹區,25,20784,25.00
4294,2023-03-10,高雄市,路竹區,20,20759,25.29
4651,2023-03-09,高雄市,路竹區,35,20739,27.29
5007,2023-03-08,高雄市,路竹區,23,20704,26.86
5361,2023-03-07,高雄市,路竹區,26,20681,28.57
5726,2023-03-06,高雄市,路竹區,26,20655,30.00
6079,2023-03-05,高雄市,路竹區,20,20629,30.00
6423,2023-03-04,高雄市,路竹區,27,20609,29.29
6779,2023-03-03,高雄市,路竹區,34,20582,31.00
7141,2023-03-02,高雄市,路竹區,32,20548,30.14
7506,2023-03-01,高雄市,路竹區,35,20516,30.86
7877,2023-02-28,高雄市,路竹區,36,20481,31.43
8239,2023-02-27,高雄市,路竹區,26,20445,32.71
8584,2023-02-26,高雄市,路竹區,15,20419,36.00
8945,2023-02-25,高雄市,路竹區,39,20404,36.29
9311,2023-02-24,高雄市,路竹區,28,20365,36.43
9676,2023-02-23,高雄市,路竹區,37,20337,37.29
10048,2023-02-22,高雄市,路竹區,39,20300,36.14
10421,2023-02-21,高雄市,路竹區,45,20261,37.43
10793,2023-02-20,高雄市,路竹區,49,20216,38.29
11162,2023-02-19,高雄市,路竹區,17,20167,38.57
11527,2023-02-18,高雄市,路竹區,40,20150,40.29
11895,2023-02-17,高雄市,路竹區,34,20110,42.14
12268,2023-02-16,高雄市,路竹區,29,20076,43.14
12644,2023-02-15,高雄市,路竹區,48,20047,47.86
13019,2023-02-14,高雄市,路竹區,51,19999,47.57
13390,2023-02-13,高雄市,路竹區,51,19948,49.43
13763,2023-02-12,高雄市,路竹區,29,19897,50.43
14126,2023-02-11,高雄市,路竹區,53,19868,52.14
14496,2023-02-10,高雄市,路竹區,41,19815,53.29
14868,2023-02-09,高雄市,路竹區,62,19774,56.86
15250,2023-02-08,高雄市,路竹區,46,19712,58.71
15628,2023-02-07,高雄市,路竹區,64,19666,60.43
16008,2023-02-06,高雄市,路竹區,58,19602,60.71
16383,2023-02-05,高雄市,路竹區,41,19544,63.29
16757,2023-02-04,高雄市,路竹區,61,19503,62.14
17136,2023-02-03,高雄市,路竹區,66,19442,59.57
17523,2023-02-02,高雄市,路竹區,75,19376,55.43
17903,2023-02-01,高雄市,路竹區,58,19301,50.86
18285,2023-01-31,高雄市,路竹區,66,19243,47.86
18670,2023-01-30,高雄市,路竹區,76,19177,43.43
19055,2023-01-29,高雄市,路竹區,33,19101,35.57
19433,2023-01-28,高雄市,路竹區,43,19068,33.14
19809,2023-01-27,高雄市,路竹區,37,19025,32.00
20188,2023-01-26,高雄市,路竹區,43,18988,33.29
20559,2023-01-25,高雄市,路竹區,37,18945,34.00
20928,2023-01-24,高雄市,路竹區,35,18908,35.00
21297,2023-01-23,高雄市,路竹區,21,18873,37.29
21668,2023-01-22,高雄市,路竹區,16,18852,38.14
22036,2023-01-21,高雄市,路竹區,35,18836,40.57
22405,2023-01-20,高雄市,路竹區,46,18801,43.14
22773,2023-01-19,高雄市,路竹區,48,18755,42.29
23145,2023-01-18,高雄市,路竹區,44,18707,42.29
23511,2023-01-17,高雄市,路竹區,51,18663,41.29
23880,2023-01-16,高雄市,路竹區,27,18612,41.43
24254,2023-01-15,高雄市,路竹區,33,18585,45.00
24620,2023-01-14,高雄市,路竹區,53,18552,45.14
24989,2023-01-13,高雄市,路竹區,40,18499,42.43
25361,2023-01-12,高雄市,路竹區,48,18459,44.14
25732,2023-01-11,高雄市,路竹區,37,18411,45.71
26110,2023-01-10,高雄市,路竹區,52,18374,50.71
26484,2023-01-09,高雄市,路竹區,52,18322,51.43
26853,2023-01-08,高雄市,路竹區,34,18270,51.29
27215,2023-01-07,高雄市,路竹區,34,18236,53.57
27589,2023-01-06,高雄市,路竹區,52,18202,57.86
27968,2023-01-05,高雄市,路竹區,59,18150,57.71
28348,2023-01-04,高雄市,路竹區,72,18091,56.14
28730,2023-01-03,高雄市,路竹區,57,18019,55.43
29108,2023-01-02,高雄市,路竹區,51,17962,55.71
29479,2023-01-01,高雄市,路竹區,50,17911,55.29
29839,2022-12-31,高雄市,路竹區,64,17861,52.43
30206,2022-12-30,高雄市,路竹區,51,17797,48.43
30579,2022-12-29,高雄市,路竹區,48,17746,50.00
30952,2022-12-28,高雄市,路竹區,67,17698,47.86
31325,2022-12-27,高雄市,路竹區,59,17631,46.43
31699,2022-12-26,高雄市,路竹區,48,17572,42.86
32061,2022-12-25,高雄市,路竹區,30,17524,43.14
32422,2022-12-24,高雄市,路竹區,36,17494,43.00
32781,2022-12-23,高雄市,路竹區,62,17458,43.43
33147,2022-12-22,高雄市,路竹區,33,17396,41.43
33513,2022-12-21,高雄市,路竹區,57,17363,41.57
33881,2022-12-20,高雄市,路竹區,34,17306,38.29
34247,2022-12-19,高雄市,路竹區,50,17272,40.71
34607,2022-12-18,高雄市,路竹區,29,17222,41.00
34962,2022-12-17,高雄市,路竹區,39,17193,40.86
35329,2022-12-16,高雄市,路竹區,48,17154,40.57
35690,2022-12-15,高雄市,路竹區,34,17106,40.00
36055,2022-12-14,高雄市,路竹區,34,17072,39.29
36421,2022-12-13,高雄市,路竹區,51,17038,39.71
36799,2022-12-12,高雄市,路竹區,52,16987,35.29
37157,2022-12-11,高雄市,路竹區,28,16935,32.86
37519,2022-12-10,高雄市,路竹區,37,16907,32.86
37885,2022-12-09,高雄市,路竹區,44,16870,32.71
38256,2022-12-08,高雄市,路竹區,29,16826,31.14
38630,2022-12-07,高雄市,路竹區,37,16797,32.00
38995,2022-12-06,高雄市,路竹區,20,16760,33.86
39371,2022-12-05,高雄市,路竹區,35,16740,36.43
39745,2022-12-04,高雄市,路竹區,28,16705,38.43
40112,2022-12-03,高雄市,路竹區,36,16677,38.86
40480,2022-12-02,高雄市,路竹區,33,16641,38.57
40849,2022-12-01,高雄市,路竹區,35,16608,38.29
41222,2022-11-30,高雄市,路竹區,50,16573,39.00
41597,2022-11-29,高雄市,路竹區,38,16523,38.00
41975,2022-11-28,高雄市,路竹區,49,16485,37.57
42348,2022-11-27,高雄市,路竹區,31,16436,36.71
42703,2022-11-26,高雄市,路竹區,34,16405,37.57
43068,2022-11-25,高雄市,路竹區,31,16371,37.00
43438,2022-11-24,高雄市,路竹區,40,16340,38.86
43805,2022-11-23,高雄市,路竹區,43,16300,38.43
44179,2022-11-22,高雄市,路竹區,35,16257,39.71
44558,2022-11-21,高雄市,路竹區,43,16222,42.14
44933,2022-11-20,高雄市,路竹區,37,16179,42.86
45301,2022-11-19,高雄市,路竹區,30,16142,45.14
45670,2022-11-18,高雄市,路竹區,44,16112,44.86
