UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
264,2023-06-14,高雄市,那瑪夏區,3,1061,0.43
1888,2023-03-17,高雄市,那瑪夏區,1,1058,0.71
2241,2023-03-16,高雄市,那瑪夏區,1,1057,0.57
2591,2023-03-15,高雄市,那瑪夏區,1,1056,0.57
3307,2023-03-13,高雄市,那瑪夏區,1,1055,0.57
3652,2023-03-12,高雄市,那瑪夏區,1,1054,0.57
4719,2023-03-09,高雄市,那瑪夏區,1,1053,0.86
5432,2023-03-07,高雄市,那瑪夏區,1,1052,0.86
5798,2023-03-06,高雄市,那瑪夏區,1,1051,1.00
6136,2023-03-05,高雄市,那瑪夏區,1,1050,0.86
6488,2023-03-04,高雄市,那瑪夏區,2,1049,0.71
7212,2023-03-02,高雄市,那瑪夏區,1,1047,0.43
7946,2023-02-28,高雄市,那瑪夏區,2,1046,0.29
10874,2023-02-20,高雄市,那瑪夏區,1,1044,0.14
15327,2023-02-08,高雄市,那瑪夏區,1,1043,0.43
17605,2023-02-02,高雄市,那瑪夏區,2,1042,1.86
17982,2023-02-01,高雄市,那瑪夏區,2,1040,1.71
18368,2023-01-31,高雄市,那瑪夏區,1,1038,1.57
18755,2023-01-30,高雄市,那瑪夏區,4,1037,1.86
19132,2023-01-29,高雄市,那瑪夏區,1,1033,1.57
19512,2023-01-28,高雄市,那瑪夏區,1,1032,2.29
19889,2023-01-27,高雄市,那瑪夏區,2,1031,2.14
20267,2023-01-26,高雄市,那瑪夏區,1,1029,2.00
20632,2023-01-25,高雄市,那瑪夏區,1,1028,2.29
21007,2023-01-24,高雄市,那瑪夏區,3,1027,2.43
21373,2023-01-23,高雄市,那瑪夏區,2,1024,2.14
21737,2023-01-22,高雄市,那瑪夏區,6,1022,2.86
22477,2023-01-20,高雄市,那瑪夏區,1,1016,2.29
22848,2023-01-19,高雄市,那瑪夏區,3,1015,2.14
23220,2023-01-18,高雄市,那瑪夏區,2,1012,2.86
23584,2023-01-17,高雄市,那瑪夏區,1,1010,3.29
23960,2023-01-16,高雄市,那瑪夏區,7,1009,4.00
24327,2023-01-15,高雄市,那瑪夏區,1,1002,4.86
24693,2023-01-14,高雄市,那瑪夏區,1,1001,4.86
25436,2023-01-12,高雄市,那瑪夏區,8,1000,6.43
25814,2023-01-11,高雄市,那瑪夏區,5,992,5.57
26185,2023-01-10,高雄市,那瑪夏區,6,987,5.14
26564,2023-01-09,高雄市,那瑪夏區,13,981,4.57
26922,2023-01-08,高雄市,那瑪夏區,1,968,2.86
27293,2023-01-07,高雄市,那瑪夏區,9,967,2.71
27668,2023-01-06,高雄市,那瑪夏區,3,958,1.43
28048,2023-01-05,高雄市,那瑪夏區,2,955,1.00
28429,2023-01-04,高雄市,那瑪夏區,2,953,0.71
28811,2023-01-03,高雄市,那瑪夏區,2,951,0.43
29183,2023-01-02,高雄市,那瑪夏區,1,949,0.14
33219,2022-12-22,高雄市,那瑪夏區,1,948,0.71
33953,2022-12-20,高雄市,那瑪夏區,2,947,0.57
34672,2022-12-18,高雄市,那瑪夏區,1,945,0.57
35397,2022-12-16,高雄市,那瑪夏區,1,944,0.71
36500,2022-12-13,高雄市,那瑪夏區,2,943,0.86
37224,2022-12-11,高雄市,那瑪夏區,2,941,1.00
37958,2022-12-09,高雄市,那瑪夏區,1,939,0.71
38331,2022-12-08,高雄市,那瑪夏區,1,938,0.57
39451,2022-12-05,高雄市,那瑪夏區,3,937,1.00
40925,2022-12-01,高雄市,那瑪夏區,3,934,0.86
41677,2022-11-29,高雄市,那瑪夏區,1,931,0.71
42055,2022-11-28,高雄市,那瑪夏區,1,930,0.71
42772,2022-11-26,高雄市,那瑪夏區,1,929,1.14
43885,2022-11-23,高雄市,那瑪夏區,2,928,1.71
44258,2022-11-22,高雄市,那瑪夏區,1,926,1.86
44640,2022-11-21,高雄市,那瑪夏區,1,925,2.43
45004,2022-11-20,高雄市,那瑪夏區,3,924,2.86
45378,2022-11-19,高雄市,那瑪夏區,1,921,2.71
45749,2022-11-18,高雄市,那瑪夏區,3,920,3.43
46122,2022-11-17,高雄市,那瑪夏區,1,917,3.14
46503,2022-11-16,高雄市,那瑪夏區,3,916,3.43
46884,2022-11-15,高雄市,那瑪夏區,5,913,3.57
47264,2022-11-14,高雄市,那瑪夏區,4,908,3.00
47634,2022-11-13,高雄市,那瑪夏區,2,904,3.29
48011,2022-11-12,高雄市,那瑪夏區,6,902,3.00
48390,2022-11-11,高雄市,那瑪夏區,1,896,3.43
48773,2022-11-10,高雄市,那瑪夏區,3,895,4.43
49156,2022-11-09,高雄市,那瑪夏區,4,892,4.29
49541,2022-11-08,高雄市,那瑪夏區,1,888,4.43
49926,2022-11-07,高雄市,那瑪夏區,6,887,5.00
50670,2022-11-05,高雄市,那瑪夏區,9,881,6.43
51056,2022-11-04,高雄市,那瑪夏區,8,872,6.00
51437,2022-11-03,高雄市,那瑪夏區,2,864,5.57
51822,2022-11-02,高雄市,那瑪夏區,5,862,6.14
52208,2022-11-01,高雄市,那瑪夏區,5,857,6.57
52591,2022-10-31,高雄市,那瑪夏區,11,852,6.86
52969,2022-10-30,高雄市,那瑪夏區,5,841,6.14
53348,2022-10-29,高雄市,那瑪夏區,6,836,5.71
53736,2022-10-28,高雄市,那瑪夏區,5,830,4.86
54121,2022-10-27,高雄市,那瑪夏區,6,825,4.29
54506,2022-10-26,高雄市,那瑪夏區,8,819,3.71
54894,2022-10-25,高雄市,那瑪夏區,7,811,2.57
55285,2022-10-24,高雄市,那瑪夏區,6,804,2.00
55663,2022-10-23,高雄市,那瑪夏區,2,798,1.57
56437,2022-10-21,高雄市,那瑪夏區,1,796,1.29
56823,2022-10-20,高雄市,那瑪夏區,2,795,1.57
57599,2022-10-18,高雄市,那瑪夏區,3,793,2.43
57989,2022-10-17,高雄市,那瑪夏區,3,790,2.71
59148,2022-10-14,高雄市,那瑪夏區,3,787,3.43
59538,2022-10-13,高雄市,那瑪夏區,4,784,3.43
