UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
769,2023-03-13,高雄市,阿蓮區,1,19,0.14
2110,2023-02-16,高雄市,阿蓮區,1,18,0.29
2178,2023-02-15,高雄市,阿蓮區,1,17,0.14
3414,2023-01-26,高雄市,阿蓮區,1,16,0.14
6583,2022-11-15,高雄市,阿蓮區,1,15,0.29
6760,2022-11-12,高雄市,阿蓮區,1,14,0.14
8248,2022-10-20,高雄市,阿蓮區,1,13,0.14
9013,2022-10-09,高雄市,阿蓮區,1,12,0.14
11029,2022-09-03,高雄市,阿蓮區,1,11,0.29
11233,2022-08-29,高雄市,阿蓮區,1,10,0.14
12279,2022-08-02,高雄市,阿蓮區,1,9,0.14
14630,2022-06-29,高雄市,阿蓮區,1,8,0.29
15224,2022-06-23,高雄市,阿蓮區,1,7,0.29
15671,2022-06-19,高雄市,阿蓮區,1,6,0.29
16050,2022-06-16,高雄市,阿蓮區,1,5,0.29
16548,2022-06-12,高雄市,阿蓮區,1,4,0.14
17529,2022-06-04,高雄市,阿蓮區,1,3,0.29
17761,2022-06-02,高雄市,阿蓮區,1,2,0.29
18367,2022-05-28,高雄市,阿蓮區,1,1,0.14
