UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
851,2023-03-20,高雄市,阿蓮區,1,9985,7.71
1175,2023-03-19,高雄市,阿蓮區,3,9984,8.57
1508,2023-03-18,高雄市,阿蓮區,12,9981,9.00
1862,2023-03-17,高雄市,阿蓮區,11,9969,8.71
2208,2023-03-16,高雄市,阿蓮區,8,9958,8.86
2561,2023-03-15,高雄市,阿蓮區,10,9950,9.00
2917,2023-03-14,高雄市,阿蓮區,9,9940,8.43
3276,2023-03-13,高雄市,阿蓮區,7,9931,10.00
3623,2023-03-12,高雄市,阿蓮區,6,9924,11.71
3979,2023-03-11,高雄市,阿蓮區,10,9918,11.57
4333,2023-03-10,高雄市,阿蓮區,12,9908,11.86
4684,2023-03-09,高雄市,阿蓮區,9,9896,11.29
5043,2023-03-08,高雄市,阿蓮區,6,9887,12.14
5398,2023-03-07,高雄市,阿蓮區,20,9881,14.57
5765,2023-03-06,高雄市,阿蓮區,19,9861,13.86
6109,2023-03-05,高雄市,阿蓮區,5,9842,13.00
6460,2023-03-04,高雄市,阿蓮區,12,9837,13.71
6814,2023-03-03,高雄市,阿蓮區,8,9825,15.14
7179,2023-03-02,高雄市,阿蓮區,15,9817,18.14
7544,2023-03-01,高雄市,阿蓮區,23,9802,17.86
7913,2023-02-28,高雄市,阿蓮區,15,9779,18.43
8273,2023-02-27,高雄市,阿蓮區,13,9764,19.43
8621,2023-02-26,高雄市,阿蓮區,10,9751,20.00
8985,2023-02-25,高雄市,阿蓮區,22,9741,20.57
9348,2023-02-24,高雄市,阿蓮區,29,9719,20.71
9715,2023-02-23,高雄市,阿蓮區,13,9690,18.71
10090,2023-02-22,高雄市,阿蓮區,27,9677,19.57
10461,2023-02-21,高雄市,阿蓮區,22,9650,18.14
10834,2023-02-20,高雄市,阿蓮區,17,9628,18.43
11196,2023-02-19,高雄市,阿蓮區,14,9611,19.00
11564,2023-02-18,高雄市,阿蓮區,23,9597,17.57
11936,2023-02-17,高雄市,阿蓮區,15,9574,16.57
12310,2023-02-16,高雄市,阿蓮區,19,9559,16.43
12682,2023-02-15,高雄市,阿蓮區,17,9540,17.86
13058,2023-02-14,高雄市,阿蓮區,24,9523,18.14
13433,2023-02-13,高雄市,阿蓮區,21,9499,18.86
13799,2023-02-12,高雄市,阿蓮區,4,9478,19.71
14168,2023-02-11,高雄市,阿蓮區,16,9474,20.29
14535,2023-02-10,高雄市,阿蓮區,14,9458,21.86
14910,2023-02-09,高雄市,阿蓮區,29,9444,23.57
15289,2023-02-08,高雄市,阿蓮區,19,9415,22.43
15670,2023-02-07,高雄市,阿蓮區,29,9396,22.29
16049,2023-02-06,高雄市,阿蓮區,27,9367,23.57
16422,2023-02-05,高雄市,阿蓮區,8,9340,24.71
16799,2023-02-04,高雄市,阿蓮區,27,9332,26.86
17179,2023-02-03,高雄市,阿蓮區,26,9305,28.14
17565,2023-02-02,高雄市,阿蓮區,21,9279,27.29
17945,2023-02-01,高雄市,阿蓮區,18,9258,26.71
18328,2023-01-31,高雄市,阿蓮區,38,9240,25.71
18713,2023-01-30,高雄市,阿蓮區,35,9202,22.00
19097,2023-01-29,高雄市,阿蓮區,23,9167,18.57
19475,2023-01-28,高雄市,阿蓮區,36,9144,17.57
19851,2023-01-27,高雄市,阿蓮區,20,9108,16.14
20228,2023-01-26,高雄市,阿蓮區,17,9088,15.86
20600,2023-01-25,高雄市,阿蓮區,11,9071,15.71
20969,2023-01-24,高雄市,阿蓮區,12,9060,15.57
21337,2023-01-23,高雄市,阿蓮區,11,9048,18.00
21706,2023-01-22,高雄市,阿蓮區,16,9037,20.43
22076,2023-01-21,高雄市,阿蓮區,26,9021,19.71
22443,2023-01-20,高雄市,阿蓮區,18,8995,19.43
22811,2023-01-19,高雄市,阿蓮區,16,8977,20.71
23183,2023-01-18,高雄市,阿蓮區,10,8961,22.14
23549,2023-01-17,高雄市,阿蓮區,29,8951,25.14
23922,2023-01-16,高雄市,阿蓮區,28,8922,24.29
24294,2023-01-15,高雄市,阿蓮區,11,8894,24.14
24660,2023-01-14,高雄市,阿蓮區,24,8883,24.00
25028,2023-01-13,高雄市,阿蓮區,27,8859,23.71
25402,2023-01-12,高雄市,阿蓮區,26,8832,23.57
25775,2023-01-11,高雄市,阿蓮區,31,8806,23.00
26149,2023-01-10,高雄市,阿蓮區,23,8775,21.57
26526,2023-01-09,高雄市,阿蓮區,27,8752,23.29
26892,2023-01-08,高雄市,阿蓮區,10,8725,22.43
27257,2023-01-07,高雄市,阿蓮區,22,8715,22.57
27629,2023-01-06,高雄市,阿蓮區,26,8693,22.00
28010,2023-01-05,高雄市,阿蓮區,22,8667,22.71
28390,2023-01-04,高雄市,阿蓮區,21,8645,23.00
28771,2023-01-03,高雄市,阿蓮區,35,8624,24.71
29146,2023-01-02,高雄市,阿蓮區,21,8589,22.86
29512,2023-01-01,高雄市,阿蓮區,11,8568,24.14
29879,2022-12-31,高雄市,阿蓮區,18,8557,24.00
30246,2022-12-30,高雄市,阿蓮區,31,8539,23.57
30618,2022-12-29,高雄市,阿蓮區,24,8508,21.71
30990,2022-12-28,高雄市,阿蓮區,33,8484,21.29
31365,2022-12-27,高雄市,阿蓮區,22,8451,19.57
31739,2022-12-26,高雄市,阿蓮區,30,8429,19.14
