UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
59,2023-06-16,高雄市,鳥松區,1,17918,0.29
223,2023-06-14,高雄市,鳥松區,1,17917,0.14
812,2023-03-20,高雄市,鳥松區,7,17916,12.57
1117,2023-03-19,高雄市,鳥松區,6,17909,15.71
1452,2023-03-18,高雄市,鳥松區,14,17903,16.00
1800,2023-03-17,高雄市,鳥松區,12,17889,16.00
2148,2023-03-16,高雄市,鳥松區,13,17877,15.86
2504,2023-03-15,高雄市,鳥松區,20,17864,15.00
2854,2023-03-14,高雄市,鳥松區,16,17844,16.29
3210,2023-03-13,高雄市,鳥松區,29,17828,16.57
3565,2023-03-12,高雄市,鳥松區,8,17799,16.57
3915,2023-03-11,高雄市,鳥松區,14,17791,17.29
4265,2023-03-10,高雄市,鳥松區,11,17777,19.14
4622,2023-03-09,高雄市,鳥松區,7,17766,20.43
4978,2023-03-08,高雄市,鳥松區,29,17759,24.00
5335,2023-03-07,高雄市,鳥松區,18,17730,24.29
5699,2023-03-06,高雄市,鳥松區,29,17712,25.86
6053,2023-03-05,高雄市,鳥松區,13,17683,24.86
6396,2023-03-04,高雄市,鳥松區,27,17670,25.43
6750,2023-03-03,高雄市,鳥松區,20,17643,25.29
7112,2023-03-02,高雄市,鳥松區,32,17623,25.57
7475,2023-03-01,高雄市,鳥松區,31,17591,25.57
7847,2023-02-28,高雄市,鳥松區,29,17560,26.29
8211,2023-02-27,高雄市,鳥松區,22,17531,28.71
8562,2023-02-26,高雄市,鳥松區,17,17509,30.14
8916,2023-02-25,高雄市,鳥松區,26,17492,30.00
9284,2023-02-24,高雄市,鳥松區,22,17466,29.86
9647,2023-02-23,高雄市,鳥松區,32,17444,30.29
10019,2023-02-22,高雄市,鳥松區,36,17412,30.00
10391,2023-02-21,高雄市,鳥松區,46,17376,29.71
10763,2023-02-20,高雄市,鳥松區,32,17330,29.57
11134,2023-02-19,高雄市,鳥松區,16,17298,31.29
11498,2023-02-18,高雄市,鳥松區,25,17282,31.71
11865,2023-02-17,高雄市,鳥松區,25,17257,35.00
12240,2023-02-16,高雄市,鳥松區,30,17232,37.00
12613,2023-02-15,高雄市,鳥松區,34,17202,37.43
12989,2023-02-14,高雄市,鳥松區,45,17168,37.57
13359,2023-02-13,高雄市,鳥松區,44,17123,37.14
13735,2023-02-12,高雄市,鳥松區,19,17079,36.86
14098,2023-02-11,高雄市,鳥松區,48,17060,37.57
14466,2023-02-10,高雄市,鳥松區,39,17012,37.14
14839,2023-02-09,高雄市,鳥松區,33,16973,39.86
15220,2023-02-08,高雄市,鳥松區,35,16940,43.00
15598,2023-02-07,高雄市,鳥松區,42,16905,46.86
15977,2023-02-06,高雄市,鳥松區,42,16863,50.43
16353,2023-02-05,高雄市,鳥松區,24,16821,53.86
16728,2023-02-04,高雄市,鳥松區,45,16797,56.00
17106,2023-02-03,高雄市,鳥松區,58,16752,56.00
17492,2023-02-02,高雄市,鳥松區,55,16694,55.71
17873,2023-02-01,高雄市,鳥松區,62,16639,53.57
18254,2023-01-31,高雄市,鳥松區,67,16577,49.43
18639,2023-01-30,高雄市,鳥松區,66,16510,43.71
19025,2023-01-29,高雄市,鳥松區,39,16444,37.29
19402,2023-01-28,高雄市,鳥松區,45,16405,34.14
19779,2023-01-27,高雄市,鳥松區,56,16360,32.00
20159,2023-01-26,高雄市,鳥松區,40,16304,27.43
20530,2023-01-25,高雄市,鳥松區,33,16264,26.71
20898,2023-01-24,高雄市,鳥松區,27,16231,27.57
21270,2023-01-23,高雄市,鳥松區,21,16204,28.43
21639,2023-01-22,高雄市,鳥松區,17,16183,29.71
22007,2023-01-21,高雄市,鳥松區,30,16166,30.57
22378,2023-01-20,高雄市,鳥松區,24,16136,34.29
22745,2023-01-19,高雄市,鳥松區,35,16112,37.00
23117,2023-01-18,高雄市,鳥松區,39,16077,37.86
23483,2023-01-17,高雄市,鳥松區,33,16038,39.43
23850,2023-01-16,高雄市,鳥松區,30,16005,42.71
24227,2023-01-15,高雄市,鳥松區,23,15975,46.00
24592,2023-01-14,高雄市,鳥松區,56,15952,47.14
24959,2023-01-13,高雄市,鳥松區,43,15896,47.43
25331,2023-01-12,高雄市,鳥松區,41,15853,48.86
25702,2023-01-11,高雄市,鳥松區,50,15812,49.86
26079,2023-01-10,高雄市,鳥松區,56,15762,51.57
26453,2023-01-09,高雄市,鳥松區,53,15706,54.43
26826,2023-01-08,高雄市,鳥松區,31,15653,52.71
27187,2023-01-07,高雄市,鳥松區,58,15622,53.14
27560,2023-01-06,高雄市,鳥松區,53,15564,49.57
27938,2023-01-05,高雄市,鳥松區,48,15511,47.86
28317,2023-01-04,高雄市,鳥松區,62,15463,47.43
