UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
110,2023-04-10,高雄市,鳳山區,1,199,0.29
135,2023-04-07,高雄市,鳳山區,1,198,0.14
439,2023-03-21,高雄市,鳳山區,1,197,0.29
471,2023-03-20,高雄市,鳳山區,1,196,0.14
761,2023-03-13,高雄市,鳳山區,1,195,0.57
800,2023-03-12,高雄市,鳳山區,1,194,0.57
987,2023-03-08,高雄市,鳳山區,1,193,0.86
1039,2023-03-07,高雄市,鳳山區,1,192,0.71
1081,2023-03-06,高雄市,鳳山區,1,191,0.57
1139,2023-03-05,高雄市,鳳山區,1,190,0.43
1251,2023-03-03,高雄市,鳳山區,1,189,0.43
1305,2023-03-02,高雄市,鳳山區,1,188,0.29
1580,2023-02-25,高雄市,鳳山區,1,187,0.43
1699,2023-02-23,高雄市,鳳山區,1,186,0.57
1927,2023-02-19,高雄市,鳳山區,1,185,1.00
1987,2023-02-18,高雄市,鳳山區,1,184,1.00
2041,2023-02-17,高雄市,鳳山區,1,183,0.86
2166,2023-02-15,高雄市,鳳山區,3,182,0.86
2232,2023-02-14,高雄市,鳳山區,1,179,0.57
2360,2023-02-12,高雄市,鳳山區,1,178,0.71
2555,2023-02-09,高雄市,鳳山區,1,177,0.57
2622,2023-02-08,高雄市,鳳山區,1,176,0.57
2695,2023-02-07,高雄市,鳳山區,1,175,0.71
2764,2023-02-06,高雄市,鳳山區,1,174,0.71
3005,2023-02-02,高雄市,鳳山區,1,173,1.00
3076,2023-02-01,高雄市,鳳山區,2,172,0.86
3135,2023-01-31,高雄市,鳳山區,1,170,0.71
3186,2023-01-30,高雄市,鳳山區,2,169,0.57
3350,2023-01-27,高雄市,鳳山區,1,167,0.29
3465,2023-01-25,高雄市,鳳山區,1,166,0.14
4102,2023-01-12,高雄市,鳳山區,1,165,0.14
4449,2023-01-05,高雄市,鳳山區,1,164,0.57
4556,2023-01-03,高雄市,鳳山區,1,163,0.43
4612,2023-01-02,高雄市,鳳山區,1,162,0.43
4718,2022-12-31,高雄市,鳳山區,1,161,0.43
4883,2022-12-27,高雄市,鳳山區,1,160,0.29
4935,2022-12-26,高雄市,鳳山區,1,159,0.14
5264,2022-12-17,高雄市,鳳山區,1,158,0.43
5339,2022-12-15,高雄市,鳳山區,1,157,0.43
5479,2022-12-11,高雄市,鳳山區,1,156,0.29
5515,2022-12-10,高雄市,鳳山區,1,155,0.14
5907,2022-11-30,高雄市,鳳山區,1,154,0.43
5944,2022-11-29,高雄市,鳳山區,1,153,0.71
6095,2022-11-25,高雄市,鳳山區,1,152,0.57
6195,2022-11-23,高雄市,鳳山區,3,151,0.43
6574,2022-11-15,高雄市,鳳山區,1,148,1.14
6627,2022-11-14,高雄市,鳳山區,1,147,1.00
6746,2022-11-12,高雄市,鳳山區,1,146,1.29
6870,2022-11-10,高雄市,鳳山區,3,145,1.29
6931,2022-11-09,高雄市,鳳山區,2,142,1.29
7046,2022-11-07,高雄市,鳳山區,2,140,1.43
7101,2022-11-06,高雄市,鳳山區,1,138,1.29
7218,2022-11-04,高雄市,鳳山區,1,137,1.29
7277,2022-11-03,高雄市,鳳山區,3,136,1.29
7333,2022-11-02,高雄市,鳳山區,2,133,1.00
7402,2022-11-01,高雄市,鳳山區,1,131,0.86
7468,2022-10-31,高雄市,鳳山區,1,130,0.86
7588,2022-10-29,高雄市,鳳山區,1,129,1.00
7657,2022-10-28,高雄市,鳳山區,1,128,1.00
7731,2022-10-27,高雄市,鳳山區,1,127,1.14
7804,2022-10-26,高雄市,鳳山區,1,126,1.14
7874,2022-10-25,高雄市,鳳山區,1,125,1.00
7942,2022-10-24,高雄市,鳳山區,1,124,0.86
8011,2022-10-23,高雄市,鳳山區,1,123,0.86
