UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
146,2023-06-14,高雄市,鳳山區,18,155996,2.57
301,2023-05-15,高雄市,鳳山區,1,155978,0.14
396,2023-03-23,高雄市,鳳山區,1,155977,59.14
517,2023-03-21,高雄市,鳳山區,5,155976,96.14
683,2023-03-20,高雄市,鳳山區,51,155971,116.14
973,2023-03-19,高雄市,鳳山區,91,155920,130.86
1302,2023-03-18,高雄市,鳳山區,128,155829,135.00
1641,2023-03-17,高雄市,鳳山區,138,155701,138.29
1994,2023-03-16,高雄市,鳳山區,141,155563,137.29
2346,2023-03-15,高雄市,鳳山區,119,155422,135.57
2697,2023-03-14,高雄市,鳳山區,145,155303,143.86
3055,2023-03-13,高雄市,鳳山區,154,155158,150.86
3413,2023-03-12,高雄市,鳳山區,120,155004,157.14
3759,2023-03-11,高雄市,鳳山區,151,154884,157.57
4111,2023-03-10,高雄市,鳳山區,131,154733,164.43
4467,2023-03-09,高雄市,鳳山區,129,154602,173.43
4826,2023-03-08,高雄市,鳳山區,177,154473,191.43
5179,2023-03-07,高雄市,鳳山區,194,154296,203.14
5539,2023-03-06,高雄市,鳳山區,198,154102,210.86
5903,2023-03-05,高雄市,鳳山區,123,153904,209.57
6242,2023-03-04,高雄市,鳳山區,199,153781,210.57
6595,2023-03-03,高雄市,鳳山區,194,153582,216.86
6954,2023-03-02,高雄市,鳳山區,255,153388,227.14
7318,2023-03-01,高雄市,鳳山區,259,153133,224.00
7689,2023-02-28,高雄市,鳳山區,248,152874,225.43
8052,2023-02-27,高雄市,鳳山區,189,152626,231.43
8411,2023-02-26,高雄市,鳳山區,130,152437,253.00
8755,2023-02-25,高雄市,鳳山區,243,152307,266.57
9125,2023-02-24,高雄市,鳳山區,266,152064,274.00
9486,2023-02-23,高雄市,鳳山區,233,151798,269.29
9857,2023-02-22,高雄市,鳳山區,269,151565,272.43
10231,2023-02-21,高雄市,鳳山區,290,151296,276.86
10601,2023-02-20,高雄市,鳳山區,340,151006,281.29
10980,2023-02-19,高雄市,鳳山區,225,150666,290.86
11339,2023-02-18,高雄市,鳳山區,295,150441,291.29
11705,2023-02-17,高雄市,鳳山區,233,150146,291.86
12078,2023-02-16,高雄市,鳳山區,255,149913,307.14
12453,2023-02-15,高雄市,鳳山區,300,149658,314.14
12826,2023-02-14,高雄市,鳳山區,321,149358,326.14
13198,2023-02-13,高雄市,鳳山區,407,149037,338.29
13576,2023-02-12,高雄市,鳳山區,228,148630,337.43
13934,2023-02-11,高雄市,鳳山區,299,148402,348.14
14306,2023-02-10,高雄市,鳳山區,340,148103,359.57
14679,2023-02-09,高雄市,鳳山區,304,147763,367.57
15056,2023-02-08,高雄市,鳳山區,384,147459,384.71
15435,2023-02-07,高雄市,鳳山區,406,147075,394.29
15814,2023-02-06,高雄市,鳳山區,401,146669,406.29
16195,2023-02-05,高雄市,鳳山區,303,146268,427.29
16564,2023-02-04,高雄市,鳳山區,379,145965,435.71
16943,2023-02-03,高雄市,鳳山區,396,145586,442.86
17329,2023-02-02,高雄市,鳳山區,424,145190,454.86
17712,2023-02-01,高雄市,鳳山區,451,144766,453.00
18089,2023-01-31,高雄市,鳳山區,490,144315,433.57
18474,2023-01-30,高雄市,鳳山區,548,143825,401.43
18863,2023-01-29,高雄市,鳳山區,362,143277,360.86
19239,2023-01-28,高雄市,鳳山區,429,142915,335.57
19618,2023-01-27,高雄市,鳳山區,480,142486,317.43
19996,2023-01-26,高雄市,鳳山區,411,142006,297.71
20373,2023-01-25,高雄市,鳳山區,315,141595,282.86
20738,2023-01-24,高雄市,鳳山區,265,141280,281.43
21113,2023-01-23,高雄市,鳳山區,264,141015,291.00
21480,2023-01-22,高雄市,鳳山區,185,140751,304.57
21844,2023-01-21,高雄市,鳳山區,302,140566,310.57
