UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
703,2023-06-14,高雄市,鹽埕區,5-9,367
704,2023-03-20,高雄市,鹽埕區,40-44,691
705,2023-03-20,高雄市,鹽埕區,45-49,563
706,2023-03-20,高雄市,鹽埕區,35-39,664
707,2023-03-19,高雄市,鹽埕區,10-14,317
708,2023-03-19,高雄市,鹽埕區,50-54,481
709,2023-03-19,高雄市,鹽埕區,60-64,593
710,2023-03-18,高雄市,鹽埕區,70+,1035
711,2023-03-18,高雄市,鹽埕區,25-29,783
712,2023-03-18,高雄市,鹽埕區,65-69,479
713,2023-03-17,高雄市,鹽埕區,30-34,725
714,2023-03-16,高雄市,鹽埕區,0,30
715,2023-03-16,高雄市,鹽埕區,20-24,697
716,2023-03-14,高雄市,鹽埕區,4,58
717,2023-03-13,高雄市,鹽埕區,3,67
718,2023-03-12,高雄市,鹽埕區,55-59,539
719,2023-03-11,高雄市,鹽埕區,1,56
720,2023-03-10,高雄市,鹽埕區,15-19,372
721,2023-02-15,高雄市,鹽埕區,2,47
