UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
213,2023-06-14,高雄市,鹽埕區,1,8564,0.14
795,2023-03-20,高雄市,鹽埕區,5,8563,5.57
1097,2023-03-19,高雄市,鹽埕區,4,8558,5.71
1430,2023-03-18,高雄市,鹽埕區,7,8554,5.71
1776,2023-03-17,高雄市,鹽埕區,5,8547,5.43
2128,2023-03-16,高雄市,鹽埕區,9,8542,5.29
2481,2023-03-15,高雄市,鹽埕區,5,8533,4.43
2831,2023-03-14,高雄市,鹽埕區,4,8528,4.71
3189,2023-03-13,高雄市,鹽埕區,6,8524,5.29
3543,2023-03-12,高雄市,鹽埕區,4,8518,6.14
3893,2023-03-11,高雄市,鹽埕區,5,8514,6.14
4243,2023-03-10,高雄市,鹽埕區,4,8509,7.14
4600,2023-03-09,高雄市,鹽埕區,3,8505,8.71
4956,2023-03-08,高雄市,鹽埕區,7,8502,9.86
5313,2023-03-07,高雄市,鹽埕區,8,8495,10.29
5675,2023-03-06,高雄市,鹽埕區,12,8487,10.43
6034,2023-03-05,高雄市,鹽埕區,4,8475,10.00
6375,2023-03-04,高雄市,鹽埕區,12,8471,10.43
6729,2023-03-03,高雄市,鹽埕區,15,8459,11.71
7090,2023-03-02,高雄市,鹽埕區,11,8444,11.14
7452,2023-03-01,高雄市,鹽埕區,10,8433,10.86
7824,2023-02-28,高雄市,鹽埕區,9,8423,13.00
8190,2023-02-27,高雄市,鹽埕區,9,8414,13.57
8541,2023-02-26,高雄市,鹽埕區,7,8405,15.29
8893,2023-02-25,高雄市,鹽埕區,21,8398,17.14
9262,2023-02-24,高雄市,鹽埕區,11,8377,17.14
9625,2023-02-23,高雄市,鹽埕區,9,8366,17.43
9995,2023-02-22,高雄市,鹽埕區,25,8357,18.00
10368,2023-02-21,高雄市,鹽埕區,13,8332,17.57
10740,2023-02-20,高雄市,鹽埕區,21,8319,18.57
11114,2023-02-19,高雄市,鹽埕區,20,8298,19.00
11476,2023-02-18,高雄市,鹽埕區,21,8278,17.71
11841,2023-02-17,高雄市,鹽埕區,13,8257,17.00
12217,2023-02-16,高雄市,鹽埕區,13,8244,17.00
12590,2023-02-15,高雄市,鹽埕區,22,8231,17.71
12965,2023-02-14,高雄市,鹽埕區,20,8209,17.43
13336,2023-02-13,高雄市,鹽埕區,24,8189,16.86
13713,2023-02-12,高雄市,鹽埕區,11,8165,16.43
14073,2023-02-11,高雄市,鹽埕區,16,8154,16.71
14442,2023-02-10,高雄市,鹽埕區,13,8138,17.57
14816,2023-02-09,高雄市,鹽埕區,18,8125,19.29
15196,2023-02-08,高雄市,鹽埕區,20,8107,22.00
