UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
684,2023-06-14,高雄市,鼓山區,50-54,3841
685,2023-03-23,高雄市,鼓山區,5-9,3637
686,2023-03-22,高雄市,鼓山區,55-59,3268
687,2023-03-21,高雄市,鼓山區,70+,4338
688,2023-03-21,高雄市,鼓山區,2,495
689,2023-03-20,高雄市,鼓山區,20-24,3622
690,2023-03-20,高雄市,鼓山區,25-29,4263
691,2023-03-20,高雄市,鼓山區,10-14,3289
692,2023-03-20,高雄市,鼓山區,65-69,2694
693,2023-03-20,高雄市,鼓山區,45-49,4927
694,2023-03-20,高雄市,鼓山區,30-34,4445
695,2023-03-19,高雄市,鼓山區,35-39,4846
696,2023-03-19,高雄市,鼓山區,60-64,2987
697,2023-03-19,高雄市,鼓山區,1,448
698,2023-03-19,高雄市,鼓山區,15-19,2934
699,2023-03-19,高雄市,鼓山區,40-44,5823
700,2023-03-18,高雄市,鼓山區,0,330
701,2023-03-17,高雄市,鼓山區,4,583
702,2023-03-16,高雄市,鼓山區,3,496
