UID,個案死亡日,縣市別,區域,新增死亡人數,累計死亡人數,七天移動平均新增死亡人數
552,2023-03-18,高雄市,鼓山區,1,87,0.14
988,2023-03-08,高雄市,鼓山區,1,86,0.29
1082,2023-03-06,高雄市,鼓山區,1,85,0.14
1459,2023-02-27,高雄市,鼓山區,1,84,0.43
1581,2023-02-25,高雄市,鼓山區,1,83,0.29
1765,2023-02-22,高雄市,鼓山區,1,82,0.43
2042,2023-02-17,高雄市,鼓山區,1,81,0.43
2101,2023-02-16,高雄市,鼓山區,1,80,0.29
2361,2023-02-12,高雄市,鼓山區,1,79,0.29
2623,2023-02-08,高雄市,鼓山區,1,78,0.57
2874,2023-02-04,高雄市,鼓山區,1,77,0.57
2933,2023-02-03,高雄市,鼓山區,1,76,0.43
3006,2023-02-02,高雄市,鼓山區,1,75,0.29
3253,2023-01-29,高雄市,鼓山區,1,74,0.57
3400,2023-01-26,高雄市,鼓山區,1,73,0.43
3512,2023-01-24,高雄市,鼓山區,1,72,0.29
3567,2023-01-23,高雄市,鼓山區,1,71,0.14
4153,2023-01-11,高雄市,鼓山區,1,70,0.43
4301,2023-01-08,高雄市,鼓山區,1,69,0.29
4402,2023-01-06,高雄市,鼓山區,1,68,0.29
4665,2023-01-01,高雄市,鼓山區,1,67,0.29
4769,2022-12-30,高雄市,鼓山區,1,66,0.29
4973,2022-12-25,高雄市,鼓山區,1,65,0.43
5108,2022-12-21,高雄市,鼓山區,1,64,0.29
5193,2022-12-19,高雄市,鼓山區,1,63,0.14
5985,2022-11-28,高雄市,鼓山區,1,62,0.14
6332,2022-11-20,高雄市,鼓山區,1,61,0.43
6484,2022-11-17,高雄市,鼓山區,1,60,0.29
6628,2022-11-14,高雄市,鼓山區,1,59,0.43
6989,2022-11-08,高雄市,鼓山區,2,58,0.43
7161,2022-11-05,高雄市,鼓山區,1,56,0.29
7403,2022-11-01,高雄市,鼓山區,1,55,0.29
7589,2022-10-29,高雄市,鼓山區,1,54,0.14
8369,2022-10-18,高雄市,鼓山區,1,53,0.14
8929,2022-10-10,高雄市,鼓山區,1,52,0.29
9247,2022-10-05,高雄市,鼓山區,1,51,0.29
9586,2022-09-30,高雄市,鼓山區,1,50,0.14
10000,2022-09-23,高雄市,鼓山區,1,49,0.29
10271,2022-09-18,高雄市,鼓山區,1,48,0.29
10611,2022-09-12,高雄市,鼓山區,1,47,0.14
11023,2022-09-03,高雄市,鼓山區,1,46,0.14
11340,2022-08-26,高雄市,鼓山區,1,45,0.29
11571,2022-08-20,高雄市,鼓山區,1,44,0.14
12013,2022-08-08,高雄市,鼓山區,1,43,0.29
12174,2022-08-04,高雄市,鼓山區,1,42,0.14
12588,2022-07-27,高雄市,鼓山區,1,41,0.29
12873,2022-07-22,高雄市,鼓山區,1,40,0.29
13115,2022-07-18,高雄市,鼓山區,1,39,0.29
13312,2022-07-15,高雄市,鼓山區,1,38,0.43
13600,2022-07-11,高雄市,鼓山區,1,37,0.71
13669,2022-07-10,高雄市,鼓山區,1,36,0.57
13878,2022-07-07,高雄市,鼓山區,1,35,0.86
14048,2022-07-05,高雄市,鼓山區,2,34,0.71
14238,2022-07-03,高雄市,鼓山區,2,32,0.57
14316,2022-07-02,高雄市,鼓山區,1,30,0.43
14797,2022-06-27,高雄市,鼓山區,1,29,0.57
14902,2022-06-26,高雄市,鼓山區,1,28,0.71
15196,2022-06-23,高雄市,鼓山區,1,27,1.14
15311,2022-06-22,高雄市,鼓山區,1,26,1.14
15540,2022-06-20,高雄市,鼓山區,2,25,1.29
15642,2022-06-19,高雄市,鼓山區,1,23,1.14
15761,2022-06-18,高雄市,鼓山區,2,22,1.00
15897,2022-06-17,高雄市,鼓山區,1,20,0.86
16022,2022-06-16,高雄市,鼓山區,1,19,0.86
16149,2022-06-15,高雄市,鼓山區,1,18,0.86
16284,2022-06-14,高雄市,鼓山區,1,17,0.71
16404,2022-06-13,高雄市,鼓山區,1,16,0.57
16651,2022-06-11,高雄市,鼓山區,1,15,0.71
16777,2022-06-10,高雄市,鼓山區,1,14,0.71
16886,2022-06-09,高雄市,鼓山區,1,13,0.57
17387,2022-06-05,高雄市,鼓山區,2,12,1.29
17502,2022-06-04,高雄市,鼓山區,1,10,1.14
17743,2022-06-02,高雄市,鼓山區,1,9,1.00
17864,2022-06-01,高雄市,鼓山區,2,8,0.86
17996,2022-05-31,高雄市,鼓山區,2,6,0.57
18119,2022-05-30,高雄市,鼓山區,1,4,0.29
18244,2022-05-29,高雄市,鼓山區,1,3,0.14
19151,2022-05-19,高雄市,鼓山區,1,2,0.29
19286,2022-05-17,高雄市,鼓山區,1,1,0.14
