UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
145,2023-06-14,高雄市,鼓山區,1,57266,0.14
395,2023-03-23,高雄市,鼓山區,1,57265,20.71
425,2023-03-22,高雄市,鼓山區,1,57264,27.57
516,2023-03-21,高雄市,鼓山區,2,57263,34.14
682,2023-03-20,高雄市,鼓山區,17,57261,41.57
972,2023-03-19,高雄市,鼓山區,19,57244,44.57
1301,2023-03-18,高雄市,鼓山區,54,57225,48.29
1640,2023-03-17,高雄市,鼓山區,51,57171,46.43
1993,2023-03-16,高雄市,鼓山區,49,57120,46.57
2345,2023-03-15,高雄市,鼓山區,47,57071,46.86
2696,2023-03-14,高雄市,鼓山區,54,57024,45.86
3054,2023-03-13,高雄市,鼓山區,38,56970,47.14
3412,2023-03-12,高雄市,鼓山區,45,56932,52.57
3758,2023-03-11,高雄市,鼓山區,41,56887,52.00
4110,2023-03-10,高雄市,鼓山區,52,56846,54.14
4466,2023-03-09,高雄市,鼓山區,51,56794,57.43
4825,2023-03-08,高雄市,鼓山區,40,56743,62.71
5178,2023-03-07,高雄市,鼓山區,63,56703,67.71
5538,2023-03-06,高雄市,鼓山區,76,56640,66.57
5902,2023-03-05,高雄市,鼓山區,41,56564,64.00
6241,2023-03-04,高雄市,鼓山區,56,56523,65.14
6594,2023-03-03,高雄市,鼓山區,75,56467,67.71
6953,2023-03-02,高雄市,鼓山區,88,56392,72.29
7317,2023-03-01,高雄市,鼓山區,75,56304,70.57
7688,2023-02-28,高雄市,鼓山區,55,56229,71.29
8051,2023-02-27,高雄市,鼓山區,58,56174,75.57
8410,2023-02-26,高雄市,鼓山區,49,56116,80.14
8754,2023-02-25,高雄市,鼓山區,74,56067,84.00
9124,2023-02-24,高雄市,鼓山區,107,55993,87.86
9485,2023-02-23,高雄市,鼓山區,76,55886,86.29
9856,2023-02-22,高雄市,鼓山區,80,55810,88.29
10230,2023-02-21,高雄市,鼓山區,85,55730,92.57
10600,2023-02-20,高雄市,鼓山區,90,55645,94.86
10979,2023-02-19,高雄市,鼓山區,76,55555,100.29
11338,2023-02-18,高雄市,鼓山區,101,55479,102.29
11704,2023-02-17,高雄市,鼓山區,96,55378,103.14
12077,2023-02-16,高雄市,鼓山區,90,55282,104.43
12452,2023-02-15,高雄市,鼓山區,110,55192,109.86
12825,2023-02-14,高雄市,鼓山區,101,55082,113.71
13197,2023-02-13,高雄市,鼓山區,128,54981,122.14
13575,2023-02-12,高雄市,鼓山區,90,54853,131.71
13933,2023-02-11,高雄市,鼓山區,107,54763,133.00
14305,2023-02-10,高雄市,鼓山區,105,54656,137.57
14678,2023-02-09,高雄市,鼓山區,128,54551,143.43
15055,2023-02-08,高雄市,鼓山區,137,54423,153.14
15434,2023-02-07,高雄市,鼓山區,160,54286,160.86
15813,2023-02-06,高雄市,鼓山區,195,54126,165.14
16194,2023-02-05,高雄市,鼓山區,99,53931,172.14
16563,2023-02-04,高雄市,鼓山區,139,53832,179.43
16942,2023-02-03,高雄市,鼓山區,146,53693,182.00
17328,2023-02-02,高雄市,鼓山區,196,53547,187.71
17711,2023-02-01,高雄市,鼓山區,191,53351,181.43
18088,2023-01-31,高雄市,鼓山區,190,53160,174.86
18473,2023-01-30,高雄市,鼓山區,244,52970,161.43
18862,2023-01-29,高雄市,鼓山區,150,52726,143.14
19238,2023-01-28,高雄市,鼓山區,157,52576,130.86
19617,2023-01-27,高雄市,鼓山區,186,52419,127.71
19995,2023-01-26,高雄市,鼓山區,152,52233,118.43
20372,2023-01-25,高雄市,鼓山區,145,52081,111.29
20737,2023-01-24,高雄市,鼓山區,96,51936,106.43
21112,2023-01-23,高雄市,鼓山區,116,51840,110.71
21479,2023-01-22,高雄市,鼓山區,64,51724,114.57
21843,2023-01-21,高雄市,鼓山區,135,51660,120.14
22215,2023-01-20,高雄市,鼓山區,121,51525,120.57
22582,2023-01-19,高雄市,鼓山區,102,51404,123.14
22953,2023-01-18,高雄市,鼓山區,111,51302,127.14
23324,2023-01-17,高雄市,鼓山區,126,51191,128.86
23689,2023-01-16,高雄市,鼓山區,143,51065,130.43
24065,2023-01-15,高雄市,鼓山區,103,50922,131.43
24431,2023-01-14,高雄市,鼓山區,138,50819,131.43
24800,2023-01-13,高雄市,鼓山區,139,50681,129.43
25168,2023-01-12,高雄市,鼓山區,130,50542,129.57
25543,2023-01-11,高雄市,鼓山區,123,50412,139.14
25919,2023-01-10,高雄市,鼓山區,137,50289,146.00
26291,2023-01-09,高雄市,鼓山區,150,50152,159.71
26669,2023-01-08,高雄市,鼓山區,103,50002,161.86
27026,2023-01-07,高雄市,鼓山區,124,49899,158.86
27398,2023-01-06,高雄市,鼓山區,140,49775,161.29
27774,2023-01-05,高雄市,鼓山區,197,49635,159.71
28154,2023-01-04,高雄市,鼓山區,171,49438,154.57
28535,2023-01-03,高雄市,鼓山區,233,49267,153.14
28916,2023-01-02,高雄市,鼓山區,165,49034,143.57
29288,2023-01-01,高雄市,鼓山區,82,48869,140.86
29650,2022-12-31,高雄市,鼓山區,141,48787,142.43
30016,2022-12-30,高雄市,鼓山區,129,48646,138.57
30388,2022-12-29,高雄市,鼓山區,161,48517,133.43
30760,2022-12-28,高雄市,鼓山區,161,48356,127.57
31131,2022-12-27,高雄市,鼓山區,166,48195,122.14
31508,2022-12-26,高雄市,鼓山區,146,48029,114.29
31880,2022-12-25,高雄市,鼓山區,93,47883,112.00
32234,2022-12-24,高雄市,鼓山區,114,47790,107.43
32594,2022-12-23,高雄市,鼓山區,93,47676,104.43
32958,2022-12-22,高雄市,鼓山區,120,47583,103.71
33325,2022-12-21,高雄市,鼓山區,123,47463,100.29
33695,2022-12-20,高雄市,鼓山區,111,47340,98.14
34058,2022-12-19,高雄市,鼓山區,130,47229,98.14
